gene,MG3,DAM
Spp1,1.75934109,4.312911
Myo1e,1.724654431,2.317389
Apoe,1.682775035,3.428991
Lpl,1.630189604,4.946601
Cd74,1.558784814,2.020314
Csf1,1.452483221,5.225405
Apbb2,1.348090461,2.651927
Apobec1,1.31456933,-0.637101
Bcl2,1.219063027,0.429636
Fam20c,1.218137949,5.700718
Chst11,1.155606477,1.251339
Itgax,1.115689599,7.860371
Lyz2,1.068813051,3.455854
Etl4,1.03733828,3.625511
Ank,1.001714456,4.87659
Axl,0.977701807,4.290287
Mitf,0.97399325,0.20772
Trps1,0.972252223,-1.274953
Neat1,0.942070702,0.423051
Osbpl8,0.92556509,0.405064
Arhgap25,0.91506944,-0.10863
Fat3,0.897877554,0.637146
Cd9,0.824047866,2.06811
Rassf3,0.780571619,0.420465
Acaca,0.761754506,2.382977
Cd84,0.75046946,0.399617
Nrp1,0.741018734,0.851862
Plekhm2,0.73536617,1.168997
Csf2ra,0.735129779,1.864095
Nrp2,0.726918099,-0.272627
Slc16a10,0.726476065,1.02634
Arhgap26,0.718867655,3.820647
Ctsb,0.715170824,2.04363
Asph,0.705347784,-0.161976
Rnf149,0.689565994,1.111186
Myo1f,0.681930731,0.594321
Ptprc,0.680777221,0.31096
Gng12,0.674271512,1.544904
Cdk6,0.669417389,0.340109
Fmnl2,0.661634683,-0.262675
Dtnbp1,0.660777871,0.661494
Dgkz,0.652487495,0.951757
Agap1,0.634015182,-0.915272
Vps13c,0.628407405,1.090274
Cadm1,0.620242949,2.492552
Tpd52,0.612150244,1.686402
Itpkb,0.611445714,0.100451
Plek,0.594752296,0.642127
Nfe2l2,0.59272116,0.370642
Tank,0.587076452,0.548169
Arid5b,0.577073186,-0.618396
Soat1,0.573804637,1.224973
Myo9b,0.56397261,1.270586
Bcl2l1,0.560490721,-0.286433
Tns3,0.556227131,0.460236
Slc23a2,0.542834619,1.791496
Actr3,0.531507675,-0.652994
Rufy3,0.518000118,-0.232168
Sh3bp2,0.517379085,-1.00873
Acer3,0.501453936,0.165088
Rbpj,0.495130185,-1.271467
Ctsz,0.492703487,1.684372
Abca1,0.481632814,-0.903497
Atp2b1,0.48130945,-1.229721
Plekha1,0.47839789,0.688227
Tec,0.477633891,0.333804
Rbm47,0.476492262,-1.248326
Litaf,0.47542853,0.540399
Akt3,0.466054479,0.581154
Ncf2,0.463986088,-0.355456
Pi4ka,0.457591317,-0.54099
Dnmt3a,0.44916557,0.447717
Cdk17,0.447110026,-0.313088
Dock2,0.434622623,-0.675471
Slc11a1,0.4329847,0.486455
Zeb2,0.423344737,-1.097303
Sgpl1,0.423285402,0.21522
Usp12,0.421058816,1.267177
Adcy7,0.419453626,-1.257006
Cotl1,0.41654018,0.477058
Cpeb2,0.413345073,0.305416
Ehd4,0.406336871,-0.366399
Pfkfb3,0.404084665,0.259029
Akap10,0.403978877,-0.827547
Ctsc,0.394779807,0.223483
Ccdc88a,0.391781146,1.850626
Plekhm3,0.387456366,0.294788
Nfkb1,0.383797627,-0.5472
Gna13,0.383196113,-0.62646
Gpr183,0.373532789,-0.901523
Atp6v1c1,0.363727883,1.115971
H2-D1,0.362370526,2.988854
Cux1,0.361663016,0.295032
Sat1,0.347505277,0.197418
Fnip1,0.341070944,-0.567239
Skap2,0.338569361,-0.859159
Elf2,0.335957663,-0.53482
Abhd12,0.334393446,0.423508
Nsmce2,0.33291249,0.494927
Anxa3,0.332412736,0.715602
Traf3,0.33231556,-1.085576
Abr,0.32948618,-0.405367
Rabep1,0.327540096,-0.615151
Tns1,0.3270628,-0.168038
Fyb,0.326730145,-0.675365
Abl2,0.326125991,-0.21458
Klhl6,0.321275984,1.04843
Nptn,0.317137757,0.478979
Sh3kbp1,0.317072062,0.501507
Clint1,0.310826536,0.549927
Cd180,0.308660809,1.147347
Ptk2b,0.298295326,0.459259
H2-K1,0.297021721,2.197553
Msn,0.295057402,-0.183356
Grb2,0.293598324,-0.920644
Fbxl17,0.293091022,-1.681662
Mctp1,0.29069133,1.151422
Spag9,0.289747188,-0.894313
Daglb,0.288982701,0.250636
Samsn1,0.285858149,0.283553
Ctsa,0.285478241,1.195445
Atp8a1,0.28371551,-0.295793
Atp6v0a1,0.282394574,-0.538725
Ascc3,0.27815928,0.247
Rps6ka3,0.276808375,-0.998113
Arhgef2,0.274940616,-0.777167
Lcp1,0.274171884,-0.362887
Tbc1d22a,0.273430532,-0.710875
Nf1,0.272819484,0.162683
Tmcc1,0.272382854,-1.653465
Runx1,0.270241555,-0.578379
Mthfs,0.268086124,1.303268
Lrrc8d,0.266832101,0.962612
Kpna3,0.266281463,0.34129
Lamp2,0.26458367,0.750789
Frrs1,0.263207814,1.693831
Gnas,0.262595821,2.152279
Cap1,0.26145359,-0.463559
Mkl1,0.26043741,-0.856094
Pign,0.260355969,0.808878
Ankrd12,0.258962002,0.378504
Ctsl,0.256088152,1.456878
Creb3l2,0.256039105,0.871888
Myo9a,0.255481838,-0.161963
Atxn10,0.251243301,1.062343
Vps54,0.249500669,-0.264253
Celf1,0.248781658,-1.35619
Fndc3b,0.247935886,0.253986
Asap1,0.24754108,0.912999
Abcd2,0.244867167,1.384188
Psap,0.242833678,0.420527
Clip1,0.242246459,0.498668
B2m,0.241320214,1.374797
Zmiz1,0.240113415,-0.716931
Gnb1,0.238237712,-0.351357
Map4k3,0.236560421,0.285219
Man1c1,0.233714743,0.388203
Tgfbr1,0.231501129,-0.674167
Atp7a,0.230604558,0.343076
Larp1,0.229479375,-0.370855
Ccny,0.227742783,1.063098
Snx30,0.223591658,-0.668243
Kcnk13,0.217202086,-1.620082
Spop,0.217068013,0.405926
Atp9b,0.215468733,-1.006757
St6gal1,0.215088959,1.314178
Btbd9,0.212755163,-1.383975
Adam17,0.212043335,-0.247093
Fgd4,0.210690969,0.508072
Oxct1,0.209817299,0.919019
Ralgapa1,0.208563748,1.247
Ptpra,0.20574388,0.1392
Dgkd,0.205480983,0.661682
Rasa1,0.205405946,-0.156065
Ccnl1,0.203926456,0.303943
Stx7,0.202084921,0.61604
Cnot6l,0.200813716,-0.313315
Aff4,0.194810067,-0.386729
Rin2,0.194528165,-0.116083
Trip12,0.194104903,-0.396662
Ifngr2,0.194054698,-0.166537
Mgat5,0.192767199,0.32792
Srpk2,0.190576384,0.853657
AI314180,0.190409316,-0.66884
Lmo2,0.188266726,0.377358
Zfp407,0.185962744,-3.513813
Blnk,0.185497949,-0.350984
Gab2,0.184457665,-0.497606
Tcirg1,0.181218736,0.18211
Ankhd1,0.181148521,-0.636882
Arid1b,0.177730699,-0.489966
Pitpna,0.175992047,0.529238
Vps13b,0.17222023,-0.154863
Rab8b,0.170458452,-0.422892
Etv6,0.169759499,-0.179751
Asah1,0.168504045,-0.658532
Elk3,0.167097885,0.201294
Snd1,0.164029919,0.314025
Tle4,0.162620298,-0.201669
Rap1a,0.159094917,-1.040469
Ptpre,0.158872407,-0.71432
Evl,0.158355974,-0.585185
Basp1,0.157835953,-0.629928
Abi1,0.155925667,0.428823
Tnpo1,0.153879161,-1.623644
Rb1,0.152068734,-1.460219
Lamp1,0.151715625,0.653564
Thrap3,0.151268411,-0.374703
Galnt1,0.149791689,-0.431072
P2rx7,0.149581601,-1.407166
Tra2b,0.148945626,-0.440261
P4ha1,0.148499761,-0.997375
Ankrd17,0.148315919,-0.670183
Chd7,0.143663372,-0.324687
Tnks2,0.143462449,-0.187403
Prkcb,0.141809625,0.303203
Zfc3h1,0.141206253,-0.348073
Rab2a,0.139509837,-0.521176
Ppp1r12a,0.136939279,-0.193275
Tnfrsf11a,0.136738582,-1.783502
Pcmtd1,0.131266044,-0.466611
Ewsr1,0.131201139,-0.909505
Ctsh,0.130193581,0.398422
Fth1,0.12865177,1.514116
Arih1,0.127025904,0.667986
Ppm1h,0.125590054,0.389527
Fcer1g,0.124774284,0.691891
Lcorl,0.124448469,-0.503022
Tgfbr2,0.119337072,0.644069
Exoc4,0.118579612,-0.566904
Kdm2a,0.117189634,-0.986798
Usp9x,0.116689759,-1.335416
App,0.116366604,-0.339083
Btaf1,0.114766375,0.800078
Ash1l,0.112138992,-1.060823
Larp4b,0.109458546,0.20587
Smad7,0.108695972,-1.478429
Ppt1,0.108423005,0.541104
Elf1,0.107651976,-0.382371
Nufip2,0.107650188,-0.339489
Prkcd,0.106508983,-1.622503
Actr2,0.105631046,-0.314339
Gapvd1,0.10509721,-0.1829
Cbl,0.104972109,-0.859129
Wls,0.104350708,0.218497
Mbtd1,0.100536625,-0.326186
Pak2,0.100282283,-0.349574
Senp2,-0.100868446,-0.128258
Dst,-0.106122981,-1.0127
Osbpl11,-0.10790237,-0.654019
Tbc1d5,-0.108963106,-1.003582
Cul1,-0.111685027,-0.261434
Snx29,-0.114934248,-3.149891
Zfp292,-0.117056853,-1.351484
Pou2f2,-0.119461625,-1.022187
Plekho1,-0.119741352,-0.914253
Nsd1,-0.12074485,-0.784225
Sft2d1,-0.125342461,-0.14978
Apc,-0.127653508,-1.292027
Sppl3,-0.127981622,-0.38149
Mkln1,-0.135274067,-1.108166
Spire1,-0.136816864,-0.148561
Zcchc11,-0.137926114,-1.030295
Ubash3b,-0.138275562,-0.508877
Ddx17,-0.141572128,-0.907667
Srsf7,-0.141694472,-0.945645
