symbol,LogFC,FDR
Smtnl2,-2.132590308,1.44E-11
Begain,-1.86731046,1.94E-21
Col2a1,-1.855549033,7.71E-14
Plin3,-1.829773513,7.76E-31
Cbs,-1.820430745,9.86E-21
Agmo,-1.705779003,1.49E-21
Unc5d,-1.66564387,3.62E-11
Dclk3,-1.658274747,4.72E-16
Kdr,-1.656966336,6.19E-21
Paqr6,-1.604855052,0.000217177
Dab1,-1.57720378,2.58E-10
Nkx2-9,-1.534331215,3.10E-12
Rapgef5,-1.515743136,1.49E-21
Grik1,-1.484639244,1.24E-11
Rgag4,-1.4332495,6.08E-12
Ppp1r1b,-1.417191407,5.71E-09
Nucb2,-1.415686973,0.000000026
Deptor,-1.381818463,6.39E-13
Aven,-1.368478342,0.000000158
Prim2,-1.317431263,1.58E-13
Nedd9,-1.31236444,0.000000323
Col9a1,-1.278214937,0.000000016
Clic5,-1.276578442,2.63E-10
Ldhb,-1.275585178,4.23E-18
Plekhh2,-1.261560138,1.85E-17
Aif1l,-1.251600449,3.02E-11
Shroom1,-1.2335963,1.76E-16
Paqr7,-1.223884017,1.22E-11
Nppc,-1.220234102,4.84E-15
Bmp2,-1.219920739,5.58E-09
Enpp6,-1.179991452,9.59E-20
Acy3,-1.151957937,0.000000449
Thsd4,-1.147252762,0.0000022
H1fx,-1.127989704,0.0000277
Selenop,-1.120714489,2.98E-22
Gstm6,-1.108380203,3.64E-17
Slc25a27,-1.104677445,5.66E-21
Fam210b,-1.095830665,3.02E-09
Ndrg2,-1.090245817,0.000000058
Hdac9,-1.079176671,3.89E-08
Casq1,-1.074540698,1.41E-11
Tln2,-1.072638816,9.33E-24
Slc34a3,-1.071798258,3.89E-08
Sowaha,-1.069219829,4.51E-11
Creg2,-1.060259999,2.50E-10
Serpinb1a,-1.053809164,5.53E-22
Tenm4,-1.049987116,0.0000475
Arhgdig,-1.043494302,0.00000149
S100b,-1.019361413,8.03E-08
Tdrd6,-1.015118672,8.68E-09
Plagl1,-1.005283659,6.79E-12
Car13,-1.00473364,1.14E-11
Asphd1,-0.993076772,5.76E-09
Depdc7,-0.992547256,5.21E-18
Ccdc187,-0.985881069,1.96E-10
Fam212a,-0.9686144,0.00000142
B3galnt1,-0.965220813,9.00E-10
Col9a2,-0.964321197,0.000000376
Phldb2,-0.961158603,6.41E-08
Cds1,-0.954345008,1.06E-09
Bricd5,-0.952189144,0.000000047
BC024139,-0.950518593,2.78E-08
Pdlim1,-0.944803075,3.65E-15
Rasl12,-0.933642818,0.000005
Pxdn,-0.933315613,0.000156319
Klhl4,-0.922474405,5.53E-22
Palm,-0.922137657,0.00000614
Msrb2,-0.914298677,1.07E-09
Serpind1,-0.913062008,3.62E-09
Clec2l,-0.908882137,0.000655891
Arl4d,-0.900513449,0.0000436
Trim7,-0.898865935,0.000000397
Csdc2,-0.898712546,0.000134977
Asah2,-0.894934618,2.16E-08
Tmem81,-0.893196125,0.000000011
Anln,-0.891839208,4.96E-16
Mfsd2a,-0.889808416,0.000000426
Cyp27a1,-0.888532051,7.85E-16
Lrrn3,-0.886172852,6.86E-12
Per3,-0.88610558,0.000000065
Syt9,-0.885027544,0.000000856
Gpr61,-0.878081293,0.000000329
Fam117a,-0.871287052,0.00000483
Aldh2,-0.855430727,1.33E-12
Rnd2,-0.852137692,0.000000323
Tmem117,-0.850645558,4.62E-11
Pla2g4a,-0.843167557,6.41E-13
Slc1a3,-0.840985532,2.05E-11
Slc12a8,-0.837275987,0.00010956
aa,-0.836368554,3.07E-11
Folh1,-0.835102012,4.48E-14
Aldoc,-0.834827305,9.53E-08
Chst12,-0.828545103,1.19E-14
Kctd4,-0.823290355,1.77E-12
Hip1r,-0.819057158,1.04E-10
Dync1i1,-0.815146367,8.94E-13
Sall1,-0.810688487,3.47E-17
Spock3,-0.807075227,1.14E-12
Sez6l2,-0.803768002,7.26E-08
Slc25a42,-0.803004348,1.14E-12
Bdkrb2,-0.800154316,0.0000071
Il11,-0.795955581,0.0000013
Sqor,-0.794374934,5.31E-10
Psd2,-0.7924445,0.000000103
Rab37,-0.790429633,0.00000349
Slc1a2,-0.7890203,9.94E-08
Gng11,-0.78726359,3.29E-26
Lpcat2,-0.785027665,5.48E-09
Sostdc1,-0.777994508,0.017930515
Cpox,-0.76933504,2.29E-16
Abcb9,-0.769316449,0.00000609
Fancc,-0.763739874,8.57E-08
Cntn3,-0.760366709,0.00018296
Atp10b,-0.759481647,3.29E-12
Thsd7a,-0.755863885,3.51E-11
Pcdhb6,-0.753190259,0.0000645
Fbxo2,-0.744190622,3.38E-10
Spata13,-0.738490333,0.00000711
Gcfc2,-0.737236821,5.44E-12
Rhpn2,-0.735708793,2.78E-09
Fam234a,-0.73391923,4.93E-12
Efr3b,-0.7321611,7.16E-12
Prrg1,-0.728534217,3.09E-10
Wfdc18,-0.725394706,0.0000107
Ctn3,-0.724589673,1.86E-09
Grm7,-0.719825619,0.00000221
Cavin4,-0.712103578,0.00000943
Epb41l4a,-0.70875012,2.98E-08
Cyp39a1,-0.705614576,0.000000132
Lypd6b,-0.701977105,7.19E-08
Actn1,-0.701528415,0.00000183
Tmem121,-0.701172682,1.91E-12
Usp31,-0.700242468,1.15E-12
Cdh8,-0.699519333,0.000213199
Carns1,-0.699444545,2.53E-09
Cldn10,-0.697353263,0.010971244
Amigo1,-0.693661404,0.0000088
Trim36,-0.691099042,5.46E-12
Cdh10,-0.686861629,1.54E-11
Fn3k,-0.686193332,2.74E-09
Chdh,-0.681363639,2.48E-08
Mapre2,-0.68086888,2.41E-18
Kctd13,-0.679741018,0.000000123
Tdo2,-0.677845183,0.0000226
Ccdc13,-0.677786256,3.75E-11
Lama2,-0.677733701,3.36E-08
6430573F11Rik,-0.673699314,0.0000173
Rab33a,-0.671849823,0.000473685
Gstk1,-0.67160848,5.70E-14
Maob,-0.670622429,2.41E-09
Kcnu1,-0.668436281,0.00000127
Fam189a2,-0.667338835,0.001404742
Pbx3,-0.666805447,2.02E-11
Bcat1,-0.666092449,0.0000433
Sobp,-0.662215405,0.0000346
Pacsin1,-0.65967298,8.10E-11
Alcam,-0.659352647,1.07E-09
Wnt5b,-0.658644539,0.000000146
Fhdc1,-0.657628764,5.28E-08
Pla2g7,-0.656876356,0.000386258
Dhcr7,-0.653215361,1.03E-09
Ptpre,-0.650711923,5.81E-10
Tmem97,-0.649365614,0.016403604
Mgll,-0.645006853,0.007902912
Jph1,-0.644663547,3.35E-11
2310022B05Rik,-0.644420377,2.92E-12
Prtg,-0.644304171,0.000179608
Pdgfc,-0.643708093,0.002752883
Dhcr24,-0.643157242,0.001956602
Robo1,-0.641697762,0.000024
Slc27a1,-0.641101294,0.000000512
Gss,-0.637591859,2.75E-09
Acsbg1,-0.637362332,0.006682482
3110082J24Rik,-0.635991205,0.008046999
Pmp22,-0.634395112,1.18E-12
Matn2,-0.632270226,0.001926717
Nipal3,-0.629696262,1.36E-09
Flrt3,-0.629064914,0.0000131
Itga4,-0.628984923,0.000832041
Rftn1,-0.628586824,3.62E-11
Fgf1,-0.628010494,1.26E-12
Grhpr,-0.628002082,2.08E-09
Acaa2,-0.627077652,0.000676104
Acss2,-0.624434945,0.000000397
Scd1,-0.623117984,2.93E-09
Gpr137b,-0.621909009,0.00013227
Gsn,-0.621566484,0.0000975
Fut9,-0.621509501,0.0000162
Slc45a3,-0.620013165,0.000164031
Gstm7,-0.616940739,7.12E-17
Slc9a3r1,-0.615386279,2.41E-08
Nlgn1,-0.615347186,0.000000256
Scg5,-0.613542171,2.72E-11
Fgd6,-0.60929376,0.000011
Nrn1l,-0.605156056,0.00000144
Dixdc1,-0.600791856,0.000000082
Cd200,-0.598603919,0.000486107
Ddc,-0.598513034,3.78E-09
Sh3bp1,-0.59744622,0.00073436
p1l3,-0.59551024,0.00000011
Adgrb1,-0.594282293,1.96E-08
Itgb5,-0.592993732,0.000000236
Cyp2d22,-0.59269036,0.012313683
