gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Tsix,2.86E-33,0.759259621,0.354,0.182,7.16E-29,4
Ttr,2.75E-27,0.686750072,0.367,0.226,6.88E-23,4
Xist,6.18E-52,0.564192853,0.725,0.407,1.55E-47,4
Gm26573,1.60E-12,0.275754405,0.319,0.298,4.00E-08,4
Gm37240,8.44E-11,0.273479101,0.462,0.434,2.11E-06,4
Gm26733,1.27E-09,0.272423618,0.322,0.294,3.19E-05,4
B430010I23Rik,6.41E-08,0.267795478,0.289,0.247,0.001604898,4
Gm48678,1.42E-08,0.253886531,0.352,0.326,0.000356564,4
Lrrc4,3.44E-09,0.251763528,0.327,0.306,8.62E-05,4
Gm20275,2.20E-10,0.237365437,0.317,0.312,5.51E-06,4
Fam196b,1.00E-11,0.233462967,0.386,0.383,2.51E-07,4
Gm16337,1.89E-12,0.226627084,0.367,0.364,4.74E-08,4
Gm26561,1.25E-09,0.224263534,0.28,0.267,3.14E-05,4
Gm35188,1.26E-08,0.220250984,0.783,0.762,0.000316169,4
Lysmd4,8.24E-11,0.21718816,0.795,0.815,2.06E-06,4
Fgfr2,3.52E-13,0.214187413,0.484,0.495,8.82E-09,4
Usp50,2.58E-11,0.214185571,0.339,0.345,6.47E-07,4
Gm26804,1.26E-12,0.194419485,0.469,0.488,3.16E-08,4
Olfr56,1.12E-08,0.191985921,0.275,0.286,0.000280315,4
Gm20388,5.51E-14,0.190914049,0.826,0.83,1.38E-09,4
Malat1,9.40E-36,0.186158053,1,1,2.36E-31,4
Meg3,1.05E-07,0.184734952,0.474,0.459,0.002618067,4
Srsf11,4.09E-13,0.172043115,0.232,0.254,1.02E-08,4
Gm32036,2.98E-08,0.171845968,0.407,0.41,0.000745258,4
Med12l,1.73E-08,0.171383366,0.466,0.459,0.000434413,4
Calm2,1.75E-05,0.170787053,0.262,0.245,0.437787269,4
Rnf169,4.58E-08,0.16930348,0.324,0.316,0.001146883,4
