"","DAO","OL4","gene"
"Map7",-0.196515391,-2.372922057,"Map7"
"Mog",-0.241000483,-2.750348495,"Mog"
"Nkain2",-0.196622413,-1.065522178,"Nkain2"
"Pde4b",0.132967658,-0.946852165,"Pde4b"
"Plcl1",-0.286647678,-1.812396141,"Plcl1"
"Plp1",-0.246877607,-3.046961403,"Plp1"
"Prr5l",-0.245568946,-2.6542963,"Prr5l"
"Lrp1b",-0.215030358,-1.278318182,"Lrp1b"
"Ano4",-0.181684948,-2.247603723,"Ano4"
"Aspa",-0.220640758,-2.382303375,"Aspa"
"Phlpp1",-0.147251072,-1.381663885,"Phlpp1"
"Mast4",-0.181921087,-1.163600935,"Mast4"
"Enpp2",-0.209342398,-1.831835044,"Enpp2"
"Mobp",-0.22934604,-1.902037962,"Mobp"
"Grm3",-0.415496699,-1.40570786,"Grm3"
"Abca1",0.487710513,1.454461459,"Abca1"
"Ugt8a",-0.349567269,-1.77298631,"Ugt8a"
"Tubb4a",-0.269113184,-1.808296115,"Tubb4a"
"Prickle2",-0.296459294,-1.415164552,"Prickle2"
"Cdc37l1",-0.209188978,-1.424204696,"Cdc37l1"
"Daam2",-0.415711708,-1.594353376,"Daam2"
"Hapln2",-0.548017046,-1.90519035,"Hapln2"
"Fa2h",-0.406083069,-1.602502842,"Fa2h"
"Anln",-0.891839208,-1.945811958,"Anln"
"Spock3",-0.807075227,-1.471668128,"Spock3"
"Sorcs1",-0.272025236,-1.300581782,"Sorcs1"
"Pak7",-0.383774468,-1.202408072,"Pak7"
"Tenm4",-1.049987116,1.589382409,"Tenm4"
"Plekhh1",-0.407421907,-1.561797762,"Plekhh1"
"Ank3",0.159616435,-0.97930207,"Ank3"
"Zmiz1",0.251924065,1.409173107,"Zmiz1"
"Tmeff2",-0.188162028,-0.632805442,"Tmeff2"
"Aplp1",-0.15347491,-1.453348747,"Aplp1"
"Gpm6b",-0.384074086,-0.929404039,"Gpm6b"
"Dip2c",0.397110695,1.047949802,"Dip2c"
"Il33",0.319395109,-1.44751081,"Il33"
"Dlg2",-0.370297528,-1.011939541,"Dlg2"
"Shtn1",-0.370181989,-1.391428759,"Shtn1"
"Nbas",-0.227180677,-1.384132529,"Nbas"
"Cdk19",-0.120203116,-1.022719642,"Cdk19"
"Ddhd1",0.256774551,1.293308521,"Ddhd1"
"Gab2",0.386982066,1.121862936,"Gab2"
"Nfasc",0.268653362,-1.119086179,"Nfasc"
"Gfra1",1.163058237,1.30012637,"Gfra1"
"Scd2",-0.202168047,-1.147880503,"Scd2"
"Dip2a",-0.283215489,-1.360499423,"Dip2a"
"H3f3b",0.157885953,1.255359055,"H3f3b"
"Grm7",-0.719825619,-1.591657348,"Grm7"
"Exoc4",0.184972103,0.786744311,"Exoc4"
"Mdm2",0.58557766,1.238608711,"Mdm2"
"Hecw2",-0.211264068,-0.75195582,"Hecw2"
"Pip4k2a",-0.244089695,-1.019960426,"Pip4k2a"
"Cnp",-0.217193603,-1.307491813,"Cnp"
"Hepacam",-0.186378775,-1.194327023,"Hepacam"
"Cdh10",-0.686861629,-1.122816719,"Cdh10"
"Mdga2",-0.232706868,-0.748623145,"Mdga2"
"Maml3",0.652846398,1.141161174,"Maml3"
"Arhgef10",-0.155142061,-1.014464316,"Arhgef10"
"Hipk2",-0.151446535,-0.992728047,"Hipk2"
"Cyth1",-0.279380585,-1.153765449,"Cyth1"
"Cdh19",-0.240133882,-1.138497892,"Cdh19"
"Ermn",-0.150696139,-1.114981663,"Ermn"
"Grb14",0.296694688,-1.064645822,"Grb14"
"Cadm1",0.162930327,0.791472035,"Cadm1"
"Tmem178b",-0.515631501,-0.839480101,"Tmem178b"
"Kif1b",-0.192027254,-0.799827529,"Kif1b"
"Slain1",-0.139536204,-0.899682694,"Slain1"
"Zdhhc20",-0.550912802,-1.002544964,"Zdhhc20"
"Dock1",0.274716305,0.598827075,"Dock1"
"Arhgef28",-0.360701708,-1.030753522,"Arhgef28"
"Bin1",-0.303829558,-0.713670702,"Bin1"
"Frmd4a",0.392780953,0.89099737,"Frmd4a"
"Actr2",0.17899776,0.942030731,"Actr2"
"Phactr1",-0.235194618,-0.828017166,"Phactr1"
"Dusp10",0.510593953,0.922474778,"Dusp10"
"Atxn1",-0.378488038,0.982043696,"Atxn1"
"Myo1e",-0.330702994,0.919005443,"Myo1e"
"B3galt1",-0.186889123,-0.759312867,"B3galt1"
"4930402H24Rik",-0.231849065,-0.807191983,"4930402H24Rik"
"Elmo1",-0.153065536,-0.542209136,"Elmo1"
"Lrrc8c",0.816342534,0.928691628,"Lrrc8c"
"Gjc3",-0.246154649,-0.487991734,"Gjc3"
