"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"1","Spp1",1.53e-228,1.75934109,0.26,0.008,3.82e-224,3,0.035588,4.312911,29.102839,27.069563
"2","Myo1e",1.03e-292,1.724654431,0.541,0.089,2.58e-288,3,0.05,2.317389,14.878018,13.406874
"3","Apoe",0,1.682775035,0.821,0.37,0,3,2.924118,3.428991,62.739188,59.915861
"4","Lpl",2.18e-271,1.630189604,0.353,0.02,5.45e-267,3,0.097353,4.946601,69.184014,66.059657
"5","Cd74",3.14e-195,1.558784814,0.311,0.03,7.87e-191,3,0.185588,2.020314,15.442088,13.961184
"6","Csf1",4.22e-205,1.452483221,0.369,0.046,1.06e-200,3,0.017941,5.225405,27.866522,25.888294
"7","Apbb2",1.36e-306,1.348090461,0.758,0.261,3.4e-302,3,0.052647,2.651927,13.819744,12.394357
"8","Apobec1",6.11e-203,1.31456933,0.557,0.167,1.53e-198,3,0.154706,-0.637101,0.141998,0.268468
"9","Bcl2",2.43e-157,1.219063027,0.342,0.056,6.09e-153,3,0.066471,0.429636,2.75436,2.060294
"10","Fam20c",2.25e-194,1.218137949,0.291,0.023,5.65e-190,3,0.006765,5.700718,21.584578,19.802644
"11","Chst11",2.18e-120,1.155606477,0.44,0.163,5.46e-116,3,0.073235,1.251339,5.961936,4.953744
"12","Itgax",2.79e-181,1.115689599,0.282,0.024,6.98e-177,3,0.003235,7.860371,45.544294,43.198088
"13","Lyz2",4.17e-113,1.068813051,0.262,0.044,1.04e-108,3,0.421176,3.455854,70.382141,67.081693
"14","Etl4",1.33e-110,1.03733828,0.293,0.06,3.32e-106,3,0.004412,3.625511,5.27286,4.301809
"15","Ank",5.39e-94,1.001714456,0.345,0.1,1.35e-89,3,0.055,4.87659,51.962204,49.47467
"16","Axl",4.38e-141,0.977701807,0.288,0.04,1.1e-136,3,0.069706,4.290287,48.126161,45.728803
"17","Mitf",8.08e-196,0.97399325,0.772,0.415,2.02e-191,3,0.071176,0.20772,0.20243,0.288838
"18","Trps1",5.88e-101,0.972252223,0.309,0.073,1.47e-96,3,0.016471,-1.274953,0.574574,0.47182
"19","Neat1",4.21e-121,0.942070702,0.401,0.108,1.05e-116,3,0.069118,0.423051,1.854732,1.323292
"20","Osbpl8",1.61e-111,0.92556509,0.499,0.191,4.02e-107,3,0.083824,0.405064,1.56737,1.108907
"21","Arhgap25",1.19e-121,0.91506944,0.586,0.255,2.98e-117,3,0.230882,-0.10863,0.316647,0.345902
"22","Fat3",5.26e-87,0.897877554,0.574,0.304,1.32e-82,3,0.027941,0.637146,0.720598,0.547093
"23","Cd9",2.98e-106,0.824047866,0.572,0.249,7.47e-102,3,1.399118,2.06811,53.356627,50.83433
"24","Rassf3",4.31e-110,0.780571619,0.54,0.214,1.08e-105,3,0.119706,0.420465,4.84817,3.908505
"25","Acaca",8.08e-80,0.761754506,0.293,0.082,2.02e-75,3,0.012647,2.382977,4.23655,3.356883
"26","Cd84",2.71e-113,0.75046946,0.693,0.368,6.78e-109,3,0.345294,0.399617,3.895051,3.05324
"27","Nrp1",9.12e-85,0.741018734,0.512,0.227,2.28e-80,3,0.825882,0.851862,8.998915,7.820683
"28","Plekhm2",4.86e-78,0.73536617,0.396,0.149,1.22e-73,3,0.039118,1.168997,4.004838,3.153097
"29","Csf2ra",1.67e-85,0.735129779,0.357,0.116,4.18e-81,3,0.065294,1.864095,9.577174,8.363086
"30","Nrp2",9.1e-92,0.726918099,0.36,0.113,2.28e-87,3,0.084118,-0.272627,0.477207,0.422765
"31","Slc16a10",1.23e-79,0.726476065,0.312,0.095,3.08e-75,3,0.030588,1.02634,0.695796,0.536327
"32","Arhgap26",8e-77,0.718867655,0.258,0.066,2e-72,3,0.004706,3.820647,0.944637,0.679819
"33","Ctsb",1.82e-90,0.715170824,0.574,0.272,4.55e-86,3,3.778235,2.04363,68.255592,65.256173
"34","Asph",2.12e-90,0.705347784,0.638,0.341,5.31e-86,3,0.558824,-0.161976,0.076501,0.237026
"35","Rnf149",2.14e-66,0.689565994,0.291,0.094,5.35e-62,3,0.112941,1.111186,3.831626,2.998786
"36","Myo1f",1.41e-118,0.681930731,0.786,0.475,3.54e-114,3,0.251765,0.594321,2.30387,1.678283
"37","Ptprc",5.77e-122,0.680777221,0.82,0.507,1.44e-117,3,0.434706,0.31096,2.200002,1.59372
"38","Gng12",1.01e-65,0.674271512,0.343,0.129,2.54e-61,3,0.096176,1.544904,7.11711,6.018059
"39","Cdk6",3.98e-38,0.669417389,0.357,0.19,9.97e-34,3,0.026471,0.340109,0.019651,0.215994
"40","Fmnl2",1.38e-60,0.661634683,0.496,0.254,3.46e-56,3,0.037059,-0.262675,0.31713,0.345877
"41","Dtnbp1",5.99e-60,0.660777871,0.329,0.126,1.5e-55,3,0.097647,0.661494,1.967157,1.409827
"42","Dgkz",1.24e-67,0.652487495,0.395,0.162,3.11e-63,3,0.067941,0.951757,1.806534,1.284961
"43","Agap1",1.44e-50,0.634015182,0.255,0.09,3.6e-46,3,0.027647,-0.915272,0.224041,0.301719
"44","Vps13c",1.39e-68,0.628407405,0.385,0.154,3.49e-64,3,0.03,1.090274,2.238905,1.625093
"45","Cadm1",1.76e-56,0.620242949,0.646,0.431,4.4e-52,3,0.225882,2.492552,33.410246,31.300129
"46","Tpd52",1.64e-55,0.612150244,0.369,0.161,4.11e-51,3,0.124118,1.686402,9.801211,8.567089
"47","Itpkb",5.7e-51,0.611445714,0.377,0.173,1.43e-46,3,0.103529,0.100451,0.442415,0.400963
"48","Plek",1.7e-49,0.594752296,0.47,0.252,4.25e-45,3,0.625,0.642127,6.487806,5.441422
"49","Nfe2l2",6.4e-55,0.59272116,0.396,0.182,1.6e-50,3,0.562059,0.370642,2.059819,1.479944
"50","Tank",8.99e-43,0.587076452,0.269,0.11,2.25e-38,3,0.032941,0.548169,1.040961,0.748687
"51","Arid5b",8.21e-43,0.577073186,0.397,0.204,2.06e-38,3,0.093235,-0.618396,0.322751,0.348023
"52","Soat1",3.2e-58,0.573804637,0.276,0.097,8.01e-54,3,0.116471,1.224973,4.470088,3.56584
"53","Myo9b",1.05e-68,0.56397261,0.424,0.185,2.63e-64,3,0.080294,1.270586,0.51347,0.441422
"54","Bcl2l1",3.93e-51,0.560490721,0.387,0.181,9.84e-47,3,0.145588,-0.286433,0.36049,0.357803
"55","Tns3",4.33e-73,0.556227131,0.706,0.435,1.08e-68,3,0.205882,0.460236,1.337305,0.95252
"56","Slc23a2",4.5e-48,0.542834619,0.34,0.153,1.13e-43,3,0.069118,1.791496,5.407386,4.43019
"57","Actr3",6.19e-51,0.531507675,0.393,0.188,1.55e-46,3,0.360588,-0.652994,0.079245,0.238189
"58","Rufy3",6.04e-42,0.518000118,0.299,0.133,1.51e-37,3,0.054118,-0.232168,0.010417,0.212601
"59","Sh3bp2",2.43e-52,0.517379085,0.269,0.101,6.09e-48,3,0.057941,-1.00873,0.103663,0.248897
"60","Acer3",3.29e-53,0.501453936,0.575,0.335,8.23e-49,3,0.317059,0.165088,1.967167,1.409444
"61","Rbpj",1.43e-29,0.495130185,0.265,0.128,3.58e-25,3,0.093529,-1.271467,0.43015,0.394165
"62","Ctsz",6.11e-63,0.492703487,0.51,0.262,1.53e-58,3,1.6,1.684372,45.806799,43.43577
"63","Abca1",9.1e-49,0.481632814,0.61,0.38,2.28e-44,3,0.469118,-0.903497,2.906122,2.188873
"64","Atp2b1",5.8e-51,0.48130945,0.591,0.356,1.45e-46,3,0.456765,-1.229721,1.786482,1.268507
"65","Plekha1",1.14e-48,0.47839789,0.32,0.142,2.84e-44,3,0.102353,0.688227,2.045684,1.470739
"66","Tec",9.85e-52,0.477633891,0.417,0.208,2.47e-47,3,0.113824,0.333804,0.912089,0.66395
"67","Rbm47",1.2e-48,0.476492262,0.537,0.311,3.02e-44,3,0.103235,-1.248326,1.25887,0.898938
"68","Litaf",4.15e-44,0.47542853,0.272,0.115,1.04e-39,3,0.252353,0.540399,1.851324,1.320254
"69","Akt3",3.06e-47,0.466054479,0.472,0.259,7.67e-43,3,0.027647,0.581154,0.941588,0.678766
"70","Ncf2",1.56e-36,0.463986088,0.329,0.165,3.9e-32,3,0.451471,-0.355456,0.553619,0.462552
"71","Pi4ka",2.54e-46,0.457591317,0.282,0.119,6.37e-42,3,0.076176,-0.54099,0.384935,0.370494
"72","Dnmt3a",1.28e-47,0.44916557,0.57,0.344,3.2e-43,3,0.140882,0.447717,0.363158,0.359595
"73","Cdk17",1.13e-39,0.447110026,0.306,0.145,2.84e-35,3,0.033824,-0.313088,0.088481,0.24303
"74","Dock2",1.1e-56,0.434622623,0.816,0.643,2.76e-52,3,0.330294,-0.675471,0.9024,0.657522
"75","Slc11a1",4.63e-43,0.4329847,0.318,0.15,1.16e-38,3,0.494412,0.486455,3.853579,3.015529
"76","Zeb2",5.93e-60,0.423344737,0.894,0.764,1.48e-55,3,0.468235,-1.097303,4.523535,3.613138
"77","Sgpl1",4.34e-44,0.423285402,0.274,0.119,1.09e-39,3,0.398235,0.21522,1.175401,0.844136
"78","Usp12",1.3e-39,0.421058816,0.349,0.179,3.25e-35,3,0.062647,1.267177,3.977535,3.12964
"79","Adcy7",3.96e-35,0.419453626,0.282,0.138,9.92e-31,3,0.211471,-1.257006,1.505332,1.067909
"80","Cotl1",9.74e-44,0.41654018,0.369,0.188,2.44e-39,3,0.465294,0.477058,2.695302,2.004448
"81","Cpeb2",1.79e-46,0.413345073,0.296,0.134,4.48e-42,3,0.106765,0.305416,1.321445,0.942684
"82","Ehd4",3.56e-35,0.406336871,0.326,0.171,8.91e-31,3,0.414412,-0.366399,0.359198,0.357821
"83","Pfkfb3",1.41e-34,0.404084665,0.292,0.147,3.53e-30,3,0.122941,0.259029,1.346915,0.958689
"84","Akap10",2.23e-38,0.403978877,0.415,0.232,5.58e-34,3,0.081765,-0.827547,0.10304,0.248974
"85","Ctsc",2.92e-20,0.394779807,0.289,0.169,7.32e-16,3,0.964118,0.223483,1.369774,0.972144
"86","Ccdc88a",4.52e-36,0.391781146,0.295,0.147,1.13e-31,3,0.056471,1.850626,1.395739,0.99016
"87","Plekhm3",3.46e-34,0.387456366,0.391,0.222,8.67e-30,3,0.056765,0.294788,1.332877,0.950984
"88","Nfkb1",2.57e-28,0.383797627,0.498,0.327,6.43e-24,3,0.260882,-0.5472,0.105261,0.249794
"89","Gna13",3.75e-38,0.383196113,0.288,0.14,9.38e-34,3,0.420294,-0.62646,2.026047,1.455573
"90","Gpr183",1.05e-24,0.373532789,0.287,0.16,2.64e-20,3,0.487059,-0.901523,2.291816,1.668518
"91","Atp6v1c1",3.45e-39,0.363727883,0.273,0.129,8.64e-35,3,0.140588,1.115971,3.615115,2.812977
"92","H2-D1",1.41e-34,0.362370526,0.318,0.169,3.52e-30,3,0.337941,2.988854,51.773366,49.318016
"93","Cux1",4.37e-36,0.361663016,0.639,0.439,1.09e-31,3,0.169412,0.295032,2.719414,2.026957
"94","Sat1",2.3e-29,0.347505277,0.469,0.3,5.76e-25,3,0.326471,0.197418,1.178919,0.84672
"95","Fnip1",6.3e-41,0.341070944,0.43,0.25,1.58e-36,3,0.177647,-0.567239,0.817441,0.603175
"96","Skap2",7.37e-35,0.338569361,0.663,0.468,1.84e-30,3,0.215588,-0.859159,0.080589,0.239307
"97","Elf2",1.41e-33,0.335957663,0.336,0.187,3.52e-29,3,0.187353,-0.53482,0.156858,0.274545
"98","Abhd12",2.01e-31,0.334393446,0.674,0.49,5.04e-27,3,1.500588,0.423508,2.114691,1.52605
"99","Nsmce2",3.49e-30,0.33291249,0.369,0.217,8.73e-26,3,0.035294,0.494927,0.821,0.605664
