,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Tlr7,1.31E-58,-0.860204302,0.254,0.367,3.29E-54,Tlr7
Csmd3,7.53E-78,-0.77642117,0.75,0.806,1.89E-73,Csmd3
Fkbp5,3.28E-58,-0.760895705,0.334,0.406,8.21E-54,Fkbp5
Tmsb4x,1.27E-60,-0.750465089,0.343,0.41,3.18E-56,Tmsb4x
Ivns1abp,3.71E-67,-0.700338575,0.492,0.554,9.28E-63,Ivns1abp
Cst3,1.45E-41,-0.608952291,0.683,0.702,3.63E-37,Cst3
P3h2,2.24E-38,-0.565244558,0.344,0.383,5.61E-34,P3h2
Pld4,1.47E-25,-0.501824088,0.272,0.316,3.68E-21,Pld4
Gm44511,3.18E-22,-0.453038578,0.359,0.43,7.96E-18,Gm44511
Laptm5,8.06E-48,-0.446461527,0.316,0.299,2.02E-43,Laptm5
Picalm,2.29E-42,-0.440904174,0.521,0.522,5.74E-38,Picalm
Cacnb2,4.18E-24,-0.434917394,0.399,0.418,1.05E-19,Cacnb2
Gm42418,5.32E-24,-0.430726536,0.895,0.906,1.33E-19,Gm42418
Arglu1,3.15E-30,-0.418433544,0.426,0.442,7.88E-26,Arglu1
Sparc,2.88E-42,-0.40332993,0.269,0.253,7.21E-38,Sparc
Maf,4.05E-26,-0.402695959,0.267,0.277,1.02E-21,Maf
Ccnd3,3.20E-28,-0.397857179,0.579,0.609,8.02E-24,Ccnd3
AY036118,6.36E-37,-0.389143576,0.58,0.575,1.59E-32,AY036118
Ktn1,4.60E-26,-0.358979423,0.252,0.251,1.15E-21,Ktn1
Cmss1,1.59E-29,-0.351964735,0.635,0.619,3.99E-25,Cmss1
Arhgap12,2.39E-40,-0.348614839,0.288,0.266,5.98E-36,Arhgap12
Serinc3,3.02E-35,-0.344152117,0.505,0.491,7.57E-31,Serinc3
Nfia,1.90E-34,-0.339637021,0.469,0.456,4.75E-30,Nfia
Pid1,2.46E-27,-0.337067686,0.425,0.413,6.17E-23,Pid1
Selplg,3.60E-30,-0.334939427,0.443,0.428,9.01E-26,Selplg
Pard3b,3.73E-34,-0.333041514,0.298,0.275,9.35E-30,Pard3b
Fcho2,1.76E-37,-0.327722411,0.375,0.358,4.41E-33,Fcho2
Srgap2,7.75E-20,-0.319305351,0.825,0.838,1.94E-15,Srgap2
Prkca,6.94E-27,-0.314041459,0.327,0.312,1.74E-22,Prkca
Fhit,6.39E-17,-0.302715363,0.39,0.391,1.60E-12,Fhit
Ptprm,2.73E-27,-0.297580288,0.416,0.4,6.85E-23,Ptprm
Man1a,1.03E-30,-0.297472739,0.307,0.281,2.58E-26,Man1a
Clk1,1.08E-39,-0.295823227,0.38,0.347,2.72E-35,Clk1
Pten,1.84E-39,-0.291548828,0.317,0.289,4.62E-35,Pten
Il6ra,3.71E-28,-0.291494233,0.31,0.297,9.29E-24,Il6ra
Siglech,6.56E-30,-0.288209155,0.403,0.381,1.64E-25,Siglech
Entpd1,1.08E-29,-0.287603525,0.493,0.47,2.71E-25,Entpd1
Cx3cr1,1.26E-44,-0.287336606,0.651,0.59,3.16E-40,Cx3cr1
Bbs9,5.10E-26,-0.286271153,0.364,0.349,1.28E-21,Bbs9
Gphn,1.17E-25,-0.285317039,0.374,0.364,2.92E-21,Gphn
Prkce,5.07E-32,-0.283801874,0.31,0.274,1.27E-27,Prkce
Gm17231,3.59E-19,-0.281097369,0.25,0.245,8.98E-15,Gm17231
Zbtb20,7.22E-31,-0.276400728,0.657,0.611,1.81E-26,Zbtb20
Plxna4,7.17E-20,-0.262089817,0.363,0.352,1.80E-15,Plxna4
Peak1,4.20E-23,-0.259738171,0.299,0.277,1.05E-18,Peak1
Tbc1d9,2.08E-31,-0.25898392,0.287,0.26,5.22E-27,Tbc1d9
Pde3b,2.01E-29,-0.2585813,0.635,0.59,5.03E-25,Pde3b
Dock10,1.80E-34,-0.256806102,0.592,0.548,4.51E-30,Dock10
Nav3,9.73E-14,-0.249842424,0.716,0.723,2.44E-09,Nav3
Hk2,1.57E-25,-0.247056768,0.385,0.365,3.92E-21,Hk2
Dip2b,1.26E-26,-0.242687994,0.566,0.542,3.15E-22,Dip2b
Pik3r1,3.20E-29,-0.23930451,0.369,0.337,8.01E-25,Pik3r1
Zfhx3,7.09E-21,-0.237671816,0.738,0.717,1.78E-16,Zfhx3
Nrip1,2.80E-36,-0.236118212,0.397,0.347,7.02E-32,Nrip1
Mir142hg,7.78E-27,-0.23348518,0.254,0.216,1.95E-22,Mir142hg
Adap2os,7.01E-31,-0.230250438,0.436,0.395,1.76E-26,Adap2os
Son,1.42E-32,-0.22993775,0.633,0.59,3.57E-28,Son
Fam105a,5.45E-34,-0.229488978,0.456,0.413,1.37E-29,Fam105a
Elmo1,2.38E-13,-0.226612446,0.868,0.861,5.96E-09,Elmo1
Ints6l,3.38E-28,-0.224779374,0.346,0.314,8.47E-24,Ints6l
Peli1,2.44E-32,-0.222819824,0.321,0.274,6.11E-28,Peli1
Apba1,4.00E-20,-0.220525578,0.319,0.303,1.00E-15,Apba1
Lrba,2.47E-25,-0.22045893,0.25,0.223,6.19E-21,Lrba
Dock4,1.44E-13,-0.21990755,0.802,0.795,3.62E-09,Dock4
Ikzf1,9.18E-31,-0.21570765,0.626,0.569,2.30E-26,Ikzf1
Ctss,3.60E-26,-0.210543013,0.612,0.566,9.01E-22,Ctss
Pip4k2a,1.99E-36,-0.208709632,0.628,0.563,4.98E-32,Pip4k2a
Tsc22d4,2.23E-24,-0.208456567,0.353,0.328,5.59E-20,Tsc22d4
Rnf169,1.51E-34,-0.207378301,0.353,0.307,3.78E-30,Rnf169
Rbm26,7.49E-35,-0.206636783,0.408,0.361,1.88E-30,Rbm26
Csf1r,8.44E-31,-0.205501446,0.612,0.564,2.11E-26,Csf1r
St3gal6,6.92E-35,-0.205401525,0.413,0.363,1.73E-30,St3gal6
Abca9,3.07E-32,-0.204898504,0.353,0.308,7.68E-28,Abca9
Pld1,5.71E-20,-0.202548758,0.284,0.268,1.43E-15,Pld1
Ddx5,1.55E-29,-0.202147077,0.779,0.746,3.87E-25,Ddx5
Clasp2,7.09E-37,-0.197969766,0.406,0.351,1.78E-32,Clasp2
