,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Plp1,2.99E-276,-1.624605742,0.501,0.72,7.49E-272
1700047M11Rik,1.97E-143,-1.433043557,0.082,0.265,4.94E-139
Aspa,1.32E-144,-1.298237214,0.187,0.393,3.31E-140
Mag,2.34E-123,-1.216011559,0.183,0.409,5.87E-119
C030029H02Rik,2.61E-110,-1.205685951,0.152,0.333,6.53E-106
Pacrg,6.34E-106,-1.19689569,0.202,0.355,1.59E-101
Gm16168,3.79E-84,-1.131708044,0.142,0.275,9.48E-80
Map7,3.05E-152,-1.122488644,0.338,0.519,7.63E-148
Mog,8.17E-98,-1.104021569,0.174,0.351,2.05E-93
Mast3,3.04E-105,-1.040408827,0.229,0.405,7.61E-101
Mbp,7.84E-205,-1.019144999,0.551,0.775,1.96E-200
Aplp1,3.19E-104,-1.00170007,0.255,0.398,7.99E-100
Ano4,4.02E-128,-0.988951674,0.359,0.554,1.01E-123
Ptn,7.58E-104,-0.972348558,0.27,0.426,1.90E-99
Grm7,3.98E-66,-0.946297884,0.233,0.355,9.97E-62
Ctnna3,3.13E-100,-0.938570462,0.332,0.519,7.84E-96
Scd2,5.34E-146,-0.933398766,0.436,0.566,1.34E-141
Apod,9.08E-64,-0.933009309,0.246,0.385,2.27E-59
Mobp,6.58E-119,-0.914794289,0.377,0.527,1.65E-114
Enpp2,9.04E-132,-0.912828318,0.391,0.55,2.26E-127
Daam2,3.05E-92,-0.90796205,0.23,0.36,7.65E-88
Clmn,5.55E-78,-0.891749162,0.188,0.303,1.39E-73
Cnp,1.20E-73,-0.89047564,0.159,0.255,3.00E-69
Tenm2,1.65E-47,-0.88803303,0.205,0.299,4.14E-43
Sgk1,9.74E-89,-0.886308944,0.227,0.342,2.44E-84
7-Sep,4.95E-104,-0.882019617,0.286,0.407,1.24E-99
Ttll7,7.48E-102,-0.880749954,0.284,0.416,1.87E-97
Edil3,2.75E-198,-0.868455392,0.691,0.865,6.89E-194
Cdh2,3.78E-65,-0.858406088,0.159,0.271,9.47E-61
Cdc37l1,3.49E-125,-0.845224843,0.43,0.558,8.75E-121
Spock3,6.44E-82,-0.841929225,0.3,0.446,1.61E-77
Ermn,5.92E-73,-0.832964037,0.192,0.292,1.48E-68
Tmod2,2.14E-99,-0.825875417,0.303,0.414,5.35E-95
