,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Csmd3,0,-2.6597911,0.487,0.84,0
Siglech,0,-2.254236495,0.148,0.691,0
Gm10790,0,-1.970714881,0.244,0.73,0
8030442B05Rik,4.32E-293,-1.86038677,0.067,0.46,1.16E-288
P2ry12,0,-1.690517693,0.347,0.759,0
Selplg,3.70E-282,-1.572230255,0.277,0.656,9.90E-278
Prkca,9.10E-206,-1.470698509,0.19,0.523,2.44E-201
Cst3,8.05E-237,-1.466249675,0.634,0.845,2.16E-232
Fgd2,4.25E-290,-1.448795017,0.265,0.671,1.14E-285
Ptgs1,6.49E-209,-1.37475396,0.075,0.398,1.74E-204
4933406I18Rik,1.33E-264,-1.359410895,0.513,0.791,3.57E-260
Rapgef5,4.90E-256,-1.354616373,0.463,0.759,1.31E-251
Rhobtb1,1.47E-190,-1.29240363,0.073,0.374,3.93E-186
Nav3,5.53E-222,-1.288904603,0.634,0.812,1.48E-217
Pde3b,4.27E-285,-1.268891199,0.596,0.841,1.14E-280
Fchsd2,6.35E-225,-1.253158895,0.49,0.752,1.70E-220
Abca9,3.04E-189,-1.238273456,0.223,0.549,8.13E-185
Tanc2,0,-1.204186522,0.912,0.958,0
Sparc,1.95E-161,-1.198379137,0.154,0.45,5.22E-157
Gm35188,1.59E-230,-1.185862622,0.653,0.84,4.25E-226
Cacnb2,3.30E-152,-1.184912675,0.257,0.555,8.84E-148
Ccr5,7.04E-136,-1.174833038,0.151,0.414,1.89E-131
Zfhx3,0,-1.168594217,0.791,0.919,0
Cdh23,3.17E-157,-1.165541319,0.203,0.498,8.50E-153
Srgap2,0,-1.159832458,0.878,0.952,0
A830008E24Rik,6.01E-127,-1.144406356,0.203,0.459,1.61E-122
Maf,8.90E-152,-1.139546316,0.265,0.553,2.38E-147
Bbs9,5.41E-142,-1.137738113,0.273,0.538,1.45E-137
Med12l,1.74E-173,-1.136569282,0.338,0.626,4.66E-169
Atp8a2,1.97E-209,-1.134175903,0.464,0.74,5.28E-205
St3gal6,4.21E-172,-1.124404265,0.335,0.623,1.13E-167
Elmo1,0.00E+00,-1.111955152,0.867,0.956,2.70E-305
Sall1,2.13E-145,-1.111745568,0.135,0.41,5.70E-141
Capn3,9.77E-141,-1.106477073,0.175,0.445,2.62E-136
Ltc4s,2.53E-128,-1.092796591,0.075,0.309,6.77E-124
Pld1,1.41E-143,-1.080077666,0.238,0.51,3.77E-139
Numb,4.78E-200,-1.075410639,0.616,0.813,1.28E-195
Agmo,2.85E-145,-1.074775223,0.367,0.643,7.63E-141
Arhgap5,1.18E-208,-1.066409357,0.596,0.799,3.15E-204
Slc24a3,1.33E-119,-1.039018985,0.175,0.435,3.56E-115
