"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsix",0,2.28171884962861,0.602,0.004,0
"Xist",0,4.85670532138201,0.981,0.002,0
"Uty",2.85145756839953e-254,-1.57247374564637,0.001,0.391,7.63734395120131e-250
"Ctsd",8.66367620086987e-43,0.683993592967946,0.796,0.686,2.32047903364099e-38
"Cmss1",1.60453963181376e-41,-0.562248604741578,0.527,0.751,4.29759894984996e-37
"Cacna1a",7.6978314616002e-34,0.753470141783267,0.586,0.399,2.061787178675e-29
"Apoe",2.44907566713112e-33,0.810308505230433,0.953,0.922,6.559604266844e-29
"H2-D1",4.80116316868499e-33,0.637674283532853,0.551,0.401,1.28594354310059e-28
"Tlr7",6.29016207507489e-33,-0.591935353572687,0.429,0.626,1.68475701018806e-28
"Cst3",8.86723729295101e-33,0.669657021764622,0.739,0.626,2.375000836544e-28
"C1qa",9.07192955958777e-32,0.562740069182531,0.744,0.639,2.42982561323999e-27
"Itm2b",2.87617641035244e-26,0.482816927136276,0.752,0.651,7.70355089748798e-22
"Gm42418",6.13514155780197e-24,-0.462402239446948,0.918,0.952,1.64323631484168e-19
"Rbm39",3.35120557476866e-21,0.372038050381671,0.905,0.846,8.97586901146037e-17
"Lysmd4",9.88677021960681e-21,-0.396318526463202,0.832,0.899,2.64807253561949e-16
"Gria2",1.93009208543582e-20,0.442921220782162,0.443,0.282,5.1695586416313e-16
"Tmsb4x",2.65050524064747e-18,-0.393360770059589,0.511,0.664,7.09911323655019e-14
"C1qc",3.63586550770941e-18,0.442678905042547,0.685,0.591,9.73830217584889e-14
"Atp6v0c",6.9795974016346e-17,0.464329457394906,0.307,0.224,1.86941536805381e-12
"AY036118",7.37016668868656e-17,-0.323757960357365,0.781,0.866,1.97402544589781e-12
"Ptprc",3.1457392528821e-16,0.345397642295948,0.883,0.832,8.42554801491942e-12
"Ctsl",3.46450780082236e-16,0.463127396329716,0.432,0.325,9.2793376937226e-12
"4930469K13Rik",1.29932897173525e-15,-0.393370987499944,0.18,0.302,3.48012271789569e-11
"Prkg1",2.60460585737286e-15,0.471341078524093,0.442,0.306,6.97617632838747e-11
"Ttr",5.289004292712e-15,0.616970881350736,0.293,0.24,1.41660690975998e-10
"Paxbp1",1.39554700988852e-14,-0.332408452381193,0.374,0.513,3.73783311128542e-10
"Gm47283",1.73999512219259e-14,0.419610080733718,0.521,0.399,4.66040293528064e-10
"Cd81",1.99533757279706e-14,0.434442853157235,0.4,0.323,5.34431215497963e-10
"Fgd2",5.23675758437409e-14,-0.419995608726857,0.492,0.599,1.40261315139876e-09
"Rrbp1",8.05727924229226e-14,-0.310824268407226,0.722,0.818,2.15806167225556e-09
"Gpr34",8.28403501019911e-14,0.455610185345276,0.509,0.426,2.21879593713173e-09
"H2-K1",2.52935173113313e-13,0.36092610816042,0.517,0.477,6.77461567666698e-09
"Whrn",2.6522099228982e-13,-0.355003799708769,0.175,0.286,7.10367905749055e-09
"Kdm6a",3.81956455476532e-13,0.406676186612567,0.393,0.277,1.02303217034834e-08
"Snhg11",5.93824132857862e-13,0.364941689479316,0.653,0.529,1.5904985574465e-08
"Grn",6.99475927486337e-13,0.326847952267874,0.412,0.363,1.87347632417941e-08
"Camk1",7.98092356508086e-13,-0.43218156516583,0.395,0.509,2.13761056767126e-08
"Adap2os",9.2290547910208e-13,-0.358900288314324,0.541,0.66,2.47191003522701e-08
"Camk1d",9.58044673726802e-13,-0.244448241346508,0.896,0.946,2.56602685410987e-08
"Fth1",1.82253142194721e-12,0.410085254373075,0.533,0.462,4.88146816054342e-08
"Cacnb2",2.27173421535498e-12,-0.446781623003833,0.374,0.478,6.08461292240679e-08
"Ctsz",2.34225711001648e-12,0.360219392341832,0.579,0.506,6.27350144346815e-08
"Gab2",4.66985703785878e-12,0.189320508158326,0.913,0.935,1.25077450902009e-07
