"","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","Gene","X","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1",0,2.28171884962861,0.602,0.004,0,"Tsix","Tsix",1.14e-272,2.755422777,0.412,0.001,2.86e-268
"2",0,4.85670532138201,0.981,0.002,0,"Xist","Xist",0,4.348677935,0.807,0,0
"3",1.60453963181376e-41,-0.562248604741578,0.527,0.751,4.29759894984996e-37,"Cmss1","Cmss1",1.59e-29,-0.351964735,0.635,0.619,3.99e-25
"4",7.6978314616002e-34,0.753470141783267,0.586,0.399,2.061787178675e-29,"Cacna1a","Cacna1a",4.13e-48,0.968994309,0.269,0.091,1.03e-43
"5",2.44907566713112e-33,0.810308505230433,0.953,0.922,6.559604266844e-29,"Apoe","Apoe",2.49e-76,0.778239956,0.62,0.326,6.23e-72
"6",4.80116316868499e-33,0.637674283532853,0.551,0.401,1.28594354310059e-28,"H2-D1","H2-D1",3.74e-24,0.408572962,0.283,0.165,9.38e-20
"7",6.29016207507489e-33,-0.591935353572687,0.429,0.626,1.68475701018806e-28,"Tlr7","Tlr7",1.31e-58,-0.860204302,0.254,0.367,3.29e-54
"8",8.86723729295101e-33,0.669657021764622,0.739,0.626,2.375000836544e-28,"Cst3","Cst3",1.45e-41,-0.608952291,0.683,0.702,3.63e-37
"9",6.13514155780197e-24,-0.462402239446948,0.918,0.952,1.64323631484168e-19,"Gm42418","Gm42418",5.32e-24,-0.430726536,0.895,0.906,1.33e-19
"10",2.65050524064747e-18,-0.393360770059589,0.511,0.664,7.09911323655019e-14,"Tmsb4x","Tmsb4x",1.27e-60,-0.750465089,0.343,0.41,3.18e-56
"11",3.63586550770941e-18,0.442678905042547,0.685,0.591,9.73830217584889e-14,"C1qc","C1qc",1.06e-33,-0.104427609,0.548,0.454,2.65e-29
"12",7.37016668868656e-17,-0.323757960357365,0.781,0.866,1.97402544589781e-12,"AY036118","AY036118",6.36e-37,-0.389143576,0.58,0.575,1.59e-32
"13",3.1457392528821e-16,0.345397642295948,0.883,0.832,8.42554801491942e-12,"Ptprc","Ptprc",4.53e-24,0.115797377,0.617,0.494,1.13e-19
"14",5.289004292712e-15,0.616970881350736,0.293,0.24,1.41660690975998e-10,"Ttr","Ttr",2.29e-16,0.517057996,0.458,0.333,5.73e-12
"15",1.39554700988852e-14,-0.332408452381193,0.374,0.513,3.73783311128542e-10,"Paxbp1","Paxbp1",1.46e-27,0.177101699,0.276,0.181,3.66e-23
"16",1.99533757279706e-14,0.434442853157235,0.4,0.323,5.34431215497963e-10,"Cd81","Cd81",1.29e-29,-0.153525568,0.319,0.268,3.24e-25
"17",5.23675758437409e-14,-0.419995608726857,0.492,0.599,1.40261315139876e-09,"Fgd2","Fgd2",1.33e-21,-0.10275535,0.417,0.367,3.33e-17
"18",2.52935173113313e-13,0.36092610816042,0.517,0.477,6.77461567666698e-09,"H2-K1","H2-K1",1.33e-30,0.427213157,0.254,0.13,3.32e-26
"19",5.93824132857862e-13,0.364941689479316,0.653,0.529,1.5904985574465e-08,"Snhg11","Snhg11",1.98e-13,0.325679385,0.41,0.295,4.95e-09
"20",6.99475927486337e-13,0.326847952267874,0.412,0.363,1.87347632417941e-08,"Grn","Grn",5.43e-31,-0.106456039,0.265,0.209,1.36e-26
