Gene,3 wk avg_log2FC,5 wk avg_log2FC
Plp1,-1.624605742,0.710283611
Map7,-1.122488644,0.252508072
Mog,-1.104021569,0.293968072
Aplp1,-1.00170007,0.313299104
Apod,-0.933009309,0.673021056
Mobp,-0.914794289,0.278735599
Tenm2,-0.88803303,-0.292016403
Sgk1,-0.886308944,0.520647132
Edil3,-0.868455392,0.26026842
Cdh2,-0.858406088,0.53842599
Zbtb16,-0.781078337,0.485520146
Plcl1,-0.757976575,0.599416164
Ptprd,-0.73274315,0.303492004
Gm42418,-0.697274425,-0.284548502
Phlpp1,-0.695687415,0.193181326
St18,-0.659732968,0.282425795
Apoe,-0.651031363,0.450256697
Tubb4a,-0.618903222,0.250918151
Ncam1,-0.577948993,0.130489974
Cmss1,-0.542652607,-0.437557123
Atp8a1,-0.510988036,0.227780997
AY036118,-0.508662434,-0.267829915
Hecw2,-0.49381006,0.282928743
Qk,-0.487549447,0.22535151
Cdc42bpa,-0.46726833,0.249198901
Mast4,-0.457038058,0.311533072
Pcdh9,-0.426844973,0.191654772
Frmd5,-0.389202492,0.207008253
Itsn2,-0.372079549,0.279007526
4930419G24Rik,-0.351367234,-0.535835032
Npas3,-0.332342066,-0.315067556
Arhgef2,-0.318814503,-0.32826465
Rsrp1,-0.259104364,0.252293114
Vmp1,-0.250405743,0.337965875
Neat1,-0.215445954,-0.426729186
Fmnl2,-0.20185666,0.249151959
Slc44a1,-0.197755594,0.299275439
Gm37459,-0.186624932,-0.653111862
Rbm39,0.12779543,0.260414381
Camk1d,0.133361487,-0.505422069
Sox10,0.19084997,-0.313324231
Kdm6a,0.273065827,0.490592719
Creb5,0.293274412,-0.292926363
Dock1,0.345098874,-0.306410712
Kirrel3,0.366716965,-0.303069944
Snhg11,0.609489632,0.336620385
Ttr,0.621416336,0.797882741
H3f3b,0.794858699,-0.250471813
Xist,3.034398921,3.884816211
