"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","Gene","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","color"
"1","Insyn2a",5.08e-30,-0.668323594,0.352,0.495,1.36e-25,"Insyn2a",9.38356958490722e-19,-0.23914142235261,0.428,0.447,2.51329527762155e-14,"blue"
"2","Gm37459",6.44e-35,-0.653111862,0.616,0.746,1.72e-30,"Gm37459",3.17100848932861e-29,-0.328397787759398,0.689,0.731,8.49322913781774e-25,"blue"
"3","4930419G24Rik",9.78e-31,-0.535835032,0.786,0.886,2.62e-26,"4930419G24Rik",6.93435685225469e-23,-0.289976508727924,0.826,0.862,1.8572981393079e-18,"blue"
"4","Epha5",1.42e-09,-0.452371216,0.225,0.296,3.8e-05,"Epha5",2.14806286628347e-24,-0.525667340520716,0.252,0.312,5.75337158105365e-20,"blue"
"5","Cmss1",2.4e-20,-0.437557123,0.543,0.69,6.42e-16,"Cmss1",6.45840455922279e-15,0.238929791784827,0.62,0.531,1.72981907714223e-10,"red"
"6","Neat1",6.69e-26,-0.426729186,0.889,0.944,1.79e-21,"Neat1",8.69261273023843e-12,-0.203097619023816,0.917,0.938,2.32822939366706e-07,"blue"
"7","2900052L18Rik",8.84e-11,-0.405592652,0.279,0.372,2.37e-06,"2900052L18Rik",2.37350777516533e-11,-0.172550837940312,0.335,0.351,6.35720322500282e-07,"blue"
"8","Tmod1",4.92e-12,-0.403264742,0.419,0.526,1.32e-07,"Tmod1",1.21226663262085e-22,-0.329068434555482,0.443,0.518,3.24693494881169e-18,"blue"
"9","Sorcs3",4.05e-10,-0.386452197,0.305,0.408,1.09e-05,"Sorcs3",1.05683834244145e-43,-0.537830616991464,0.347,0.466,2.83063581639517e-39,"blue"
"10","Bcas1os2",6.5e-10,-0.384663995,0.403,0.494,1.74e-05,"Bcas1os2",2.80584596160653e-08,-0.134555390474543,0.455,0.464,0.000751517782356694,"blue"
"11","Galnt5",3.96e-07,-0.35615989,0.222,0.299,0.010611242,"Galnt5",1.81453070579196e-12,-0.268584024512404,0.247,0.3,4.86003904239319e-08,"blue"
"12","Syne1",3.81e-10,-0.354062977,0.403,0.482,1.02e-05,"Syne1",1.35743077632212e-22,-0.314948439761263,0.434,0.486,3.63574259130117e-18,"blue"
"13","Sytl2",1.25e-12,-0.341876975,0.557,0.673,3.34e-08,"Sytl2",5.82951319965517e-19,-0.279640413273823,0.574,0.643,1.56137681539564e-14,"blue"
"14","Prex1",1.26e-07,-0.338204444,0.218,0.29,0.003378339,"Prex1",6.08023408355015e-10,-0.140552206348671,0.254,0.262,1.62852989693807e-05,"blue"
"15","Arhgef2",4.88e-11,-0.32826465,0.581,0.66,1.31e-06,"Arhgef2",2.14625721671112e-11,-0.171791298279094,0.639,0.657,5.74853532923907e-07,"blue"
"16","Pex5l",9.91e-18,-0.319957694,0.961,0.979,2.65e-13,"Pex5l",6.3991412408603e-16,-0.194946458401285,0.97,0.975,1.71394598995202e-11,"blue"
"17","Gm26917",2.31e-09,-0.318883316,0.34,0.42,6.18e-05,"Gm26917",6.17238555840434e-14,0.180646071088842,0.405,0.32,1.65321174796302e-09,"red"
"18","Npas3",5e-12,-0.315067556,0.764,0.829,1.34e-07,"Npas3",1.3239166283049e-38,-0.368177864444464,0.784,0.848,3.54597829725183e-34,"blue"
"19","Zfhx2",1.97e-07,-0.313137694,0.275,0.353,0.005279245,"Zfhx2",5.34823711934128e-13,-0.19991626892832,0.3,0.328,1.43247183004437e-08,"blue"
"20","Dock1",4.81e-15,-0.306410712,0.822,0.889,1.29e-10,"Dock1",4.97638915279122e-17,-0.204579279905093,0.853,0.871,1.3328760706836e-12,"blue"
"21","Creb5",7.07e-09,-0.292926363,0.62,0.688,0.000189394,"Creb5",8.3292446785153e-28,-0.307118318522538,0.649,0.697,2.23090489469354e-23,"blue"
"22","Tenm2",1.94e-09,-0.292016403,0.412,0.413,5.19e-05,"Tenm2",1.89790489432877e-13,-0.343106410254802,0.381,0.426,5.08334846897018e-09,"blue"
"23","Gm42418",1.92e-12,-0.284548502,0.911,0.95,5.14e-08,"Gm42418",1.56546042171735e-21,0.272997877421214,0.938,0.9,4.19292919352775e-17,"red"
"24","Fnbp1",2.8e-17,-0.283726828,0.932,0.943,7.5e-13,"Fnbp1",2.32502388544101e-49,-0.30925449602992,0.937,0.947,6.2273439747652e-45,"blue"
"25","Arap2",4.44e-14,-0.278517002,0.828,0.875,1.19e-09,"Arap2",2.42531107505245e-10,-0.161904234583162,0.864,0.878,6.49595318342048e-06,"blue"
"26","AY036118",3.44e-09,-0.267829915,0.703,0.758,9.22e-05,"AY036118",3.57425945563044e-10,0.131468450545485,0.785,0.719,9.57329652596057e-06,"red"
"27","Bcas1",1.7e-09,-0.242438654,0.833,0.856,4.56e-05,"Bcas1",1.43534805687307e-07,-0.110202342855092,0.846,0.851,0.00384443623552882,"blue"
"28","Anks1b",1.68e-06,-0.221833526,0.739,0.787,0.044916732,"Anks1b",4.28813925229952e-13,-0.228367878510964,0.737,0.769,1.1485352173359e-08,"blue"
"29","Pakap",7.3e-07,-0.199738886,0.765,0.789,0.019551012,"Pakap",3.15336033054343e-20,-0.234043549994855,0.794,0.82,8.44596030932751e-16,"blue"
"30","Sox2ot",2.72e-07,-0.156555926,0.958,0.97,0.007298542,"Sox2ot",1.46704385224266e-09,-0.117153412736229,0.966,0.973,3.92933025384674e-05,"blue"
"31","Gm47283",1.27e-10,0.12448368,0.504,0.399,3.4e-06,"Gm47283",8.01605032534223e-10,-0.180984940842728,0.437,0.461,2.14701891913966e-05,"blue"
"32","Phlpp1",5.7e-10,0.193181326,0.976,0.963,1.53e-05,"Phlpp1",3.97228392909231e-07,0.106946302470675,0.968,0.955,0.0106393652756808,"red"
"33","Frmd5",3.19e-09,0.207008253,0.984,0.969,8.53e-05,"Frmd5",1.07371421035061e-14,0.16116573789555,0.983,0.98,2.87583614100309e-10,"red"
"34","Qk",2.48e-13,0.22535151,0.995,0.996,6.65e-09,"Qk",2.38182565703861e-22,0.182021529232003,0.992,0.993,6.37948183981221e-18,"red"
"35","Fus",3e-07,0.248141912,0.53,0.437,0.008030025,"Fus",3.53840288488598e-18,0.197758831855511,0.543,0.44,9.47725828687861e-14,"red"
"36","Fmnl2",1.13e-06,0.249151959,0.761,0.683,0.030257581,"Fmnl2",3.20149940075265e-21,0.292698180239471,0.76,0.671,8.57489599497589e-17,"red"
"37","Tubb4a",9.65e-07,0.250918151,0.755,0.692,0.025853209,"Tubb4a",6.12534787640629e-12,0.192191838571459,0.77,0.707,1.64061317521666e-07,"red"
"38","Rsrp1",8.03e-09,0.252293114,0.754,0.653,0.000215073,"Rsrp1",4.342420735792e-26,0.249109954407745,0.788,0.681,1.16307396987453e-21,"red"
"39","Map7",1.86e-08,0.252508072,0.886,0.843,0.000498496,"Map7",7.54039523749931e-08,0.143949689384969,0.87,0.829,0.00201961946041182,"red"
"40","Edil3",3.63e-17,0.26026842,0.962,0.969,9.71e-13,"Edil3",2.44210321859105e-10,0.102611512862034,0.961,0.972,6.54092926067428e-06,"red"
"41","Jam3",4.26e-07,0.265255272,0.514,0.422,0.011397002,"Jam3",1.1936411843831e-13,0.17664535880931,0.496,0.408,3.19704854825171e-09,"red"
"42","Mobp",1.46e-08,0.278735599,0.79,0.728,0.000391408,"Mobp",1.51953435653049e-23,0.300160703735366,0.781,0.689,4.06992082053126e-19,"red"
"43","Itsn2",8.34e-07,0.279007526,0.626,0.536,0.022348899,"Itsn2",1.84181838690446e-08,0.110051396079564,0.616,0.552,0.000493312636748491,"red"
"44","Mog",1.01e-09,0.293968072,0.825,0.771,2.71e-05,"Mog",3.91594215205957e-13,0.213366597159798,0.824,0.768,1.04884594600763e-08,"red"
"45","Slc44a1",2.72e-11,0.299275439,0.783,0.695,7.29e-07,"Slc44a1",1.03619234889306e-32,0.317955898994313,0.785,0.68,2.77533758727518e-28,"red"
"46","Mast4",1.23e-11,0.311533072,0.946,0.92,3.3e-07,"Mast4",8.06869250068312e-23,0.263055517180147,0.941,0.921,2.16111859938297e-18,"red"
"47","Aplp1",4.05e-10,0.313299104,0.736,0.64,1.08e-05,"Aplp1",1.83732765592786e-30,0.338996947812626,0.758,0.648,4.92109839363718e-26,"red"
"48","Srsf2",1.07e-07,0.318632612,0.402,0.306,0.002861513,"Srsf2",3.03265551291213e-16,0.240471821883757,0.418,0.323,8.12266452578384e-12,"red"
"49","Igsf11",1.74e-08,0.3205262,0.464,0.359,0.000466937,"Igsf11",2.70541287356444e-14,0.205989114743951,0.448,0.359,7.24617784055499e-10,"red"
"50","Tmeff1",1.26e-08,0.323705083,0.411,0.306,0.00033823,"Tmeff1",9.61688890383722e-09,0.154032699092239,0.372,0.307,0.000257578752400376,"red"
"51","Cd9",3.46e-09,0.332354893,0.372,0.266,9.26e-05,"Cd9",9.44157872768164e-26,0.313348433560567,0.402,0.284,2.52883244642225e-21,"red"
"52","Vmp1",1.94e-11,0.337965875,0.723,0.617,5.2e-07,"Vmp1",8.29552932987396e-13,0.126032866600699,0.727,0.649,2.22187457571344e-08,"red"
"53","Atp6v0c",4.05e-08,0.3383484,0.266,0.196,0.001083782,"Atp6v0c",1.99495420267246e-11,0.246869811830717,0.288,0.219,5.34328533643792e-07,"red"
"54","Gm11659",6.89e-08,0.347692969,0.355,0.268,0.00184669,"Gm11659",6.8568729357296e-10,0.145996590776779,0.358,0.293,1.83654484710581e-05,"red"
"55","Abca2",3.34e-09,0.348931944,0.359,0.254,8.94e-05,"Abca2",1.90061154418921e-16,0.255362461689962,0.339,0.249,5.09059795995638e-12,"red"
"56","Tmbim1",4.91e-09,0.354634883,0.325,0.234,0.000131576,"Tmbim1",6.35990724903019e-09,0.135698084863837,0.318,0.259,0.000170343755758025,"red"
"57","Lpar1",1.4e-08,0.381701725,0.29,0.202,0.000375754,"Lpar1",8.29820081807055e-07,0.13875800400359,0.273,0.222,0.0222259010711202,"red"
"58","Hsp90b1",1.89e-08,0.382595123,0.322,0.231,0.000505758,"Hsp90b1",7.18896677160274e-28,0.421070694981249,0.313,0.203,1.92549286010608e-23,"red"
"59","Sez6l2",3.93e-09,0.398959629,0.379,0.297,0.000105327,"Sez6l2",1.03211330004165e-08,0.23105437359186,0.357,0.292,0.000276441226283156,"red"
"60","Mal",1.07e-09,0.404793451,0.508,0.429,2.86e-05,"Mal",6.04831955361934e-16,0.298249345657851,0.504,0.41,1.6199819092414e-11,"red"
"61","Shisa4",1.06e-10,0.405390169,0.359,0.263,2.84e-06,"Shisa4",3.59435394618462e-09,0.173142042477874,0.383,0.315,9.62711760946088e-05,"red"
"62","Kctd13",1.42e-10,0.40569145,0.382,0.288,3.79e-06,"Kctd13",4.29925028902068e-13,0.242289342425912,0.379,0.297,1.1515111974113e-08,"red"
"63","Dbndd2",2.29e-11,0.407065025,0.524,0.412,6.12e-07,"Dbndd2",4.95018386499162e-19,0.289720132327848,0.535,0.429,1.32585724639936e-14,"red"
"64","Gsn",6.25e-10,0.418830461,0.273,0.184,1.67e-05,"Gsn",4.6939863042596e-22,0.364222374638046,0.263,0.171,1.25723729173289e-17,"red"
"65","Apoe",3.42e-21,0.450256697,0.907,0.841,9.15e-17,"Apoe",1.32675880700212e-40,0.358692382150004,0.924,0.849,3.55359078867448e-36,"red"
"66","Zbtb16",2.77e-18,0.485520146,0.496,0.339,7.41e-14,"Zbtb16",6.58959962243836e-68,0.618775518968422,0.453,0.265,1.76495836287389e-63,"red"
"67","Itm2b",1.52e-19,0.513444924,0.534,0.379,4.06e-15,"Itm2b",6.66182380867851e-32,0.34269995203091,0.553,0.416,1.78430288891645e-27,"red"
"68","Cd81",1.25e-18,0.520636905,0.505,0.355,3.34e-14,"Cd81",3.49403024168264e-26,0.333954747883715,0.518,0.394,9.35841059932277e-22,"red"
