"","X.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","Gene","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","color.x","X.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","color.y"
"1","Insyn2a",5.08e-30,-0.668323594,0.352,0.495,1.36e-25,"Insyn2a",6.41801961445148e-42,-0.293269590489296,0.34,0.44,1.71900237353468e-37,"blue","Insyn2a",5.08e-30,-0.668323594,0.352,0.495,1.36e-25,9.38356958490722e-19,-0.23914142235261,0.428,0.447,2.51329527762155e-14,"blue"
"2","Gm37459",6.44e-35,-0.653111862,0.616,0.746,1.72e-30,"Gm37459",2.73377901586758e-17,-0.16062182124123,0.637,0.699,7.32215371609972e-13,"blue","Gm37459",6.44e-35,-0.653111862,0.616,0.746,1.72e-30,3.17100848932861e-29,-0.328397787759398,0.689,0.731,8.49322913781774e-25,"blue"
"3","4930419G24Rik",9.78e-31,-0.535835032,0.786,0.886,2.62e-26,"4930419G24Rik",6.70477372671591e-12,-0.137093788987374,0.806,0.838,1.79580659496359e-07,"blue","4930419G24Rik",9.78e-31,-0.535835032,0.786,0.886,2.62e-26,6.93435685225469e-23,-0.289976508727924,0.826,0.862,1.8572981393079e-18,"blue"
"4","Cmss1",2.4e-20,-0.437557123,0.543,0.69,6.42e-16,"Cmss1",1.15352968534604e-65,-0.320481910459404,0.508,0.632,3.08961390923083e-61,"blue","Cmss1",2.4e-20,-0.437557123,0.543,0.69,6.42e-16,6.45840455922279e-15,0.238929791784827,0.62,0.531,1.72981907714223e-10,"red"
"5","Neat1",6.69e-26,-0.426729186,0.889,0.944,1.79e-21,"Neat1",1.71178790760743e-31,-0.160835401989512,0.908,0.942,4.58485273173573e-27,"blue","Neat1",6.69e-26,-0.426729186,0.889,0.944,1.79e-21,8.69261273023843e-12,-0.203097619023816,0.917,0.938,2.32822939366706e-07,"blue"
"6","2900052L18Rik",8.84e-11,-0.405592652,0.279,0.372,2.37e-06,"2900052L18Rik",1.36680942681173e-20,-0.149443640420108,0.293,0.357,3.66086236877253e-16,"blue","2900052L18Rik",8.84e-11,-0.405592652,0.279,0.372,2.37e-06,2.37350777516533e-11,-0.172550837940312,0.335,0.351,6.35720322500282e-07,"blue"
"7","Bcas1os2",6.5e-10,-0.384663995,0.403,0.494,1.74e-05,"Bcas1os2",6.4290540835336e-17,-0.133959204239575,0.406,0.468,1.72195784573364e-12,"blue","Bcas1os2",6.5e-10,-0.384663995,0.403,0.494,1.74e-05,2.80584596160653e-08,-0.134555390474543,0.455,0.464,0.000751517782356694,"blue"
"8","Gm26917",2.31e-09,-0.318883316,0.34,0.42,6.18e-05,"Gm26917",7.10052364340744e-22,-0.198091320546516,0.265,0.332,1.90180425265025e-17,"blue","Gm26917",2.31e-09,-0.318883316,0.34,0.42,6.18e-05,6.17238555840434e-14,0.180646071088842,0.405,0.32,1.65321174796302e-09,"red"
"9","Zfhx2",1.97e-07,-0.313137694,0.275,0.353,0.005279245,"Zfhx2",3.50059119500387e-18,-0.135835736683001,0.313,0.374,9.37598345669836e-14,"blue","Zfhx2",1.97e-07,-0.313137694,0.275,0.353,0.005279245,5.34823711934128e-13,-0.19991626892832,0.3,0.328,1.43247183004437e-08,"blue"
"10","Gm42418",1.92e-12,-0.284548502,0.911,0.95,5.14e-08,"Gm42418",1.8764545199871e-198,-0.550844683234696,0.917,0.97,5.02589578633346e-194,"blue","Gm42418",1.92e-12,-0.284548502,0.911,0.95,5.14e-08,1.56546042171735e-21,0.272997877421214,0.938,0.9,4.19292919352775e-17,"red"
