"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","Gene","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","color"
"1","Eif2s3y",1.2e-178,-1.336044597,0,0.32,3.21e-174,"Eif2s3y",0,-1.58205161398817,0,0.426,0,"blue"
"2","Uty",3.65e-136,-1.072509829,0.001,0.256,9.78e-132,"Uty",0,-1.17269852921909,0,0.293,0,"blue"
"3","Insyn2a",5.08e-30,-0.668323594,0.352,0.495,1.36e-25,"Insyn2a",6.41801961445148e-42,-0.293269590489296,0.34,0.44,1.71900237353468e-37,"blue"
"4","Gm37459",6.44e-35,-0.653111862,0.616,0.746,1.72e-30,"Gm37459",2.73377901586758e-17,-0.16062182124123,0.637,0.699,7.32215371609972e-13,"blue"
"5","4930419G24Rik",9.78e-31,-0.535835032,0.786,0.886,2.62e-26,"4930419G24Rik",6.70477372671591e-12,-0.137093788987374,0.806,0.838,1.79580659496359e-07,"blue"
"6","Camk1d",2.77e-23,-0.505422069,0.367,0.538,7.43e-19,"Camk1d",1.97836482982219e-86,-0.410924250424437,0.364,0.502,5.29885236019576e-82,"blue"
"7","Cmss1",2.4e-20,-0.437557123,0.543,0.69,6.42e-16,"Cmss1",1.15352968534604e-65,-0.320481910459404,0.508,0.632,3.08961390923083e-61,"blue"
"8","Neat1",6.69e-26,-0.426729186,0.889,0.944,1.79e-21,"Neat1",1.71178790760743e-31,-0.160835401989512,0.908,0.942,4.58485273173573e-27,"blue"
"9","2900052L18Rik",8.84e-11,-0.405592652,0.279,0.372,2.37e-06,"2900052L18Rik",1.36680942681173e-20,-0.149443640420108,0.293,0.357,3.66086236877253e-16,"blue"
"10","Bcas1os2",6.5e-10,-0.384663995,0.403,0.494,1.74e-05,"Bcas1os2",6.4290540835336e-17,-0.133959204239575,0.406,0.468,1.72195784573364e-12,"blue"
"11","Gm32036",5.81e-08,-0.328603007,0.348,0.433,0.001557134,"Gm32036",7.93084182242862e-21,-0.188705890991807,0.292,0.36,2.12419667371928e-16,"blue"
"12","Gm26917",2.31e-09,-0.318883316,0.34,0.42,6.18e-05,"Gm26917",7.10052364340744e-22,-0.198091320546516,0.265,0.332,1.90180425265025e-17,"blue"
"13","Zfhx2",1.97e-07,-0.313137694,0.275,0.353,0.005279245,"Zfhx2",3.50059119500387e-18,-0.135835736683001,0.313,0.374,9.37598345669836e-14,"blue"
"14","Kirrel3",5.34e-07,-0.303069944,0.723,0.797,0.014315228,"Kirrel3",7.65280271488579e-15,-0.17401766192992,0.664,0.717,2.04972667915501e-10,"blue"
"15","Gm42418",1.92e-12,-0.284548502,0.911,0.95,5.14e-08,"Gm42418",1.8764545199871e-198,-0.550844683234696,0.917,0.97,5.02589578633346e-194,"blue"
"16","AY036118",3.44e-09,-0.267829915,0.703,0.758,9.22e-05,"AY036118",9.66526039109948e-147,-0.486306119896247,0.717,0.831,2.58874334315209e-142,"blue"
"17","H3f3b",1.57e-06,-0.250471813,0.338,0.372,0.042079229,"H3f3b",2.41746811696379e-11,-0.109323926594109,0.273,0.318,6.47494660447582e-07,"blue"
"18","Gm47283",1.27e-10,0.12448368,0.504,0.399,3.4e-06,"Gm47283",9.80787804822458e-14,0.155495833966222,0.435,0.402,2.62694205643647e-09,"red"
"19","Pcdh9",3.95e-08,0.191654772,0.999,0.999,0.001057973,"Pcdh9",1.72670038839621e-45,0.139469093277751,1,0.999,4.62479432028041e-41,"red"
"20","Rsrp1",8.03e-09,0.252293114,0.754,0.653,0.000215073,"Rsrp1",2.00084464532958e-15,-0.113382275426703,0.746,0.794,5.35906229805075e-11,"blue"
"21","Rbm39",1.56e-11,0.260414381,0.862,0.773,4.19e-07,"Rbm39",1.45853702889872e-11,0.106156615584692,0.836,0.833,3.90654557820233e-07,"red"
"22","Gria2",1.01e-10,0.296620064,0.526,0.401,2.71e-06,"Gria2",4.34955863114942e-09,0.156776363483432,0.444,0.412,0.000116498578376706,"red"
"23","Ptprd",4.95e-11,0.303492004,0.975,0.968,1.33e-06,"Ptprd",5.26788559791622e-22,0.151002073267613,0.988,0.985,1.41095047854588e-17,"red"
"24","Kdm5c",6.37e-07,0.323751224,0.268,0.189,0.017053552,"Kdm5c",6.55743401604141e-36,0.280522634513529,0.258,0.205,1.75634312685653e-31,"red"
"25","Snhg11",4.53e-15,0.336620385,0.668,0.52,1.21e-10,"Snhg11",4.57695079209887e-11,0.154779651624617,0.638,0.59,1.22589050015576e-06,"red"
"26","Atp6v0c",4.05e-08,0.3383484,0.266,0.196,0.001083782,"Atp6v0c",2.57218277511885e-11,-0.105644325882244,0.252,0.295,6.88933434487834e-07,"blue"
"27","Lpar1",1.4e-08,0.381701725,0.29,0.202,0.000375754,"Lpar1",2.86329599610244e-11,0.111588843178894,0.35,0.338,7.66905199596078e-07,"red"
"28","Kdm6a",7.32e-18,0.490592719,0.511,0.382,1.96e-13,"Kdm6a",9.10437723367831e-79,0.396858372886384,0.528,0.442,2.4385163982684e-74,"red"
"29","Sgk1",1.21e-21,0.520647132,0.624,0.459,3.24e-17,"Sgk1",3.08478271444972e-53,-0.3637580740044,0.387,0.496,8.26228202238213e-49,"blue"
"30","Cst3",9.42e-22,0.639890736,0.41,0.255,2.52e-17,"Cst3",4.68782308156166e-12,-0.116819516679316,0.367,0.419,1.25558653416548e-07,"blue"
"31","AC149090.1",1.02e-34,0.643720295,0.443,0.228,2.72e-30,"AC149090.1",7.53407975046904e-22,0.215168999938025,0.392,0.332,2.01792792036563e-17,"red"
"32","Ttr",1.12e-19,0.797882741,0.322,0.243,3.01e-15,"Ttr",1.07946426697271e-318,0.958404091602008,0.471,0.207,2.8912370926597e-314,"red"
"33","Tsix",3.8e-203,1.647838645,0.429,0.002,1.02e-198,"Tsix",0,1.70632952713747,0.427,0.001,0,"red"
