,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Eif2s3y,1.20E-178,-1.336044597,0,0.32,3.21E-174,Eif2s3y
Uty,3.65E-136,-1.072509829,0.001,0.256,9.78E-132,Uty
Insyn2a,5.08E-30,-0.668323594,0.352,0.495,1.36E-25,Insyn2a
Gm37459,6.44E-35,-0.653111862,0.616,0.746,1.72E-30,Gm37459
4930419G24Rik,9.78E-31,-0.535835032,0.786,0.886,2.62E-26,4930419G24Rik
Camk1d,2.77E-23,-0.505422069,0.367,0.538,7.43E-19,Camk1d
Epha5,1.42E-09,-0.452371216,0.225,0.296,3.80E-05,Epha5
Cmss1,2.40E-20,-0.437557123,0.543,0.69,6.42E-16,Cmss1
Neat1,6.69E-26,-0.426729186,0.889,0.944,1.79E-21,Neat1
2900052L18Rik,8.84E-11,-0.405592652,0.279,0.372,2.37E-06,2900052L18Rik
Rbfox1,3.95E-14,-0.403780476,0.142,0.254,1.06E-09,Rbfox1
Tmod1,4.92E-12,-0.403264742,0.419,0.526,1.32E-07,Tmod1
Sorcs3,4.05E-10,-0.386452197,0.305,0.408,1.09E-05,Sorcs3
Bcas1os2,6.50E-10,-0.384663995,0.403,0.494,1.74E-05,Bcas1os2
1-Mar,1.61E-21,-0.371411114,0.858,0.899,4.31E-17,1-Mar
Galnt5,3.96E-07,-0.35615989,0.222,0.299,0.010611242,Galnt5
Syne1,3.81E-10,-0.354062977,0.403,0.482,1.02E-05,Syne1
Sytl2,1.25E-12,-0.341876975,0.557,0.673,3.34E-08,Sytl2
Prex1,1.26E-07,-0.338204444,0.218,0.29,0.003378339,Prex1
Gm32036,5.81E-08,-0.328603007,0.348,0.433,0.001557134,Gm32036
Arhgef2,4.88E-11,-0.32826465,0.581,0.66,1.31E-06,Arhgef2
Pex5l,9.91E-18,-0.319957694,0.961,0.979,2.65E-13,Pex5l
Gm26917,2.31E-09,-0.318883316,0.34,0.42,6.18E-05,Gm26917
Npas3,5.00E-12,-0.315067556,0.764,0.829,1.34E-07,Npas3
Sox10,1.23E-07,-0.313324231,0.556,0.594,0.003304406,Sox10
Zfhx2,1.97E-07,-0.313137694,0.275,0.353,0.005279245,Zfhx2
Dock1,4.81E-15,-0.306410712,0.822,0.889,1.29E-10,Dock1
Kirrel3,5.34E-07,-0.303069944,0.723,0.797,0.014315228,Kirrel3
Creb5,7.07E-09,-0.292926363,0.62,0.688,0.000189394,Creb5
Tenm2,1.94E-09,-0.292016403,0.412,0.413,5.19E-05,Tenm2
Gm42418,1.92E-12,-0.284548502,0.911,0.95,5.14E-08,Gm42418
Fnbp1,2.80E-17,-0.283726828,0.932,0.943,7.50E-13,Fnbp1
Arap2,4.44E-14,-0.278517002,0.828,0.875,1.19E-09,Arap2
