"","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","Gene","X","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1",0,3.8848162108343,0.882,0.001,0,"Xist","Xist",0,3.034398921,0.486,0.001,0
"2",6.13431813921427e-55,0.71028361149062,0.974,0.943,1.64301577040715e-50,"Plp1","Plp1",2.99e-276,-1.624605742,0.501,0.72,7.49e-272
"3",2.57266550288992e-48,0.599416163956248,0.977,0.95,6.89062728294037e-44,"Plcl1","Plcl1",2.7e-135,-0.757976575,0.714,0.85,6.75e-131
"4",6.43798700997723e-35,-0.65311186220634,0.616,0.746,1.7243504407523e-30,"Gm37459","Gm37459",1.34e-22,-0.186624932,0.526,0.515,3.35e-18
"5",9.78300970378746e-31,-0.535835032189733,0.786,0.886,2.62028131906243e-26,"4930419G24Rik","4930419G24Rik",1.51e-44,-0.351367234,0.656,0.651,3.77e-40
"6",6.6898681226792e-26,-0.426729186446916,0.889,0.944,1.7918142779784e-21,"Neat1","Neat1",6.91e-15,-0.215445954,0.815,0.835,1.73e-10
"7",2.77243793792208e-23,-0.505422068565946,0.367,0.538,7.4256977729305e-19,"Camk1d","Camk1d",3.8e-27,0.133361487,0.359,0.271,9.53e-23
"8",1.20917905241086e-21,0.520647132325278,0.624,0.459,3.23866517397724e-17,"Sgk1","Sgk1",9.74e-89,-0.886308944,0.227,0.342,2.44e-84
"9",1.81398182626997e-21,0.53842599001714,0.568,0.41,4.85856892348149e-17,"Cdh2","Cdh2",3.78e-65,-0.858406088,0.159,0.271,9.47e-61
"10",3.41756179866849e-21,0.450256696630352,0.907,0.841,9.15359752155369e-17,"Apoe","Apoe",1.22e-75,-0.651031363,0.445,0.49,3.05e-71
"11",2.3956644251292e-20,-0.43755712298539,0.543,0.69,6.41654759626606e-16,"Cmss1","Cmss1",3.75e-79,-0.542652607,0.628,0.66,9.38e-75
"12",1.1232020138635e-19,0.797882740849034,0.322,0.243,3.00838427393201e-15,"Ttr","Ttr",4.97e-40,0.621416336,0.58,0.435,1.24e-35
"13",2.76569850239109e-18,0.485520146463141,0.496,0.339,7.4076468688043e-14,"Zbtb16","Zbtb16",2.91e-74,-0.781078337,0.227,0.309,7.28e-70
"14",7.31636458865791e-18,0.490592718721168,0.511,0.382,1.95961509142614e-13,"Kdm6a","Kdm6a",1.05e-34,0.273065827,0.271,0.177,2.63e-30
"15",3.62630676523407e-17,0.260268419941176,0.962,0.969,9.71270004000293e-13,"Edil3","Edil3",2.75e-198,-0.868455392,0.691,0.865,6.89e-194
"16",4.52926780429268e-15,0.336620385285944,0.668,0.52,1.21311908870175e-10,"Snhg11","Snhg11",6.51e-58,0.609489632,0.429,0.256,1.63e-53
"17",4.80529866396836e-15,-0.306410712368676,0.822,0.889,1.28705119415729e-10,"Dock1","Dock1",7.47e-42,0.345098874,0.725,0.571,1.87e-37
"18",2.48197551293378e-13,0.225351509681524,0.995,0.996,6.64772321384184e-09,"Qk","Qk",6.78e-91,-0.487549447,0.8,0.837,1.7e-86
"19",1.92030670076765e-12,-0.284548502049093,0.911,0.95,5.14334946733607e-08,"Gm42418","Gm42418",1.27e-92,-0.697274425,0.912,0.919,3.17e-88
"20",4.99510224120689e-12,-0.315067555872977,0.764,0.829,1.33788818428485e-07,"Npas3","Npas3",1.63e-25,-0.332342066,0.471,0.512,4.09e-21
"21",1.23233240746914e-11,0.311533071622314,0.946,0.92,3.30067912016534e-07,"Mast4","Mast4",4.6e-63,-0.457038058,0.702,0.782,1.15e-58
"22",1.56370589719008e-11,0.260414381293387,0.862,0.773,4.18822987503391e-07,"Rbm39","Rbm39",3.1e-25,0.12779543,0.524,0.432,7.77e-21
"23",1.94061351905846e-11,0.337965875192213,0.723,0.617,5.19773924944619e-07,"Vmp1","Vmp1",1.95e-31,-0.250405743,0.419,0.418,4.89e-27
"24",2.72215460636716e-11,0.299275438619914,0.783,0.695,7.2910188976938e-07,"Slc44a1","Slc44a1",1.64e-38,-0.197755594,0.396,0.368,4.12e-34
"25",4.88003560519123e-11,-0.328264650235076,0.581,0.66,1.30706873649442e-06,"Arhgef2","Arhgef2",4.25e-46,-0.318814503,0.268,0.264,1.06e-41
"26",4.95038364235111e-11,0.303492003626338,0.975,0.968,1.32591075476732e-06,"Ptprd","Ptprd",9.25e-132,-0.73274315,0.72,0.843,2.32e-127
"27",1.25347364518567e-10,0.2491989011715,0.893,0.819,3.35730381126529e-06,"Cdc42bpa","Cdc42bpa",3.13e-58,-0.46726833,0.562,0.624,7.84e-54
"28",1.29467707044951e-10,0.673021055969703,0.768,0.713,3.46766306549197e-06,"Apod","Apod",9.08e-64,-0.933009309,0.246,0.385,2.27e-59
"29",1.39933091673909e-10,0.282425794551612,0.959,0.951,3.74796792739397e-06,"St18","St18",9.67e-99,-0.659732968,0.63,0.767,2.42e-94
"30",4.04890344292018e-10,0.313299104349269,0.736,0.64,1.08445829815174e-05,"Aplp1","Aplp1",3.19e-104,-1.00170007,0.255,0.398,7.99e-100
"31",5.69699449630359e-10,0.193181325576854,0.976,0.963,1.52588300588995e-05,"Phlpp1","Phlpp1",5.27e-131,-0.695687415,0.659,0.79,1.32e-126
"32",8.87697677985228e-10,0.282928742658386,0.869,0.803,2.37760946071563e-05,"Hecw2","Hecw2",1.61e-59,-0.49381006,0.585,0.653,4.02e-55
"33",1.01032175520065e-09,0.293968071939409,0.825,0.771,2.70604578912942e-05,"Mog","Mog",8.17e-98,-1.104021569,0.174,0.351,2.05e-93
"34",1.93935312119409e-09,-0.292016402582511,0.412,0.413,5.19436339980626e-05,"Tenm2","Tenm2",1.65e-47,-0.88803303,0.205,0.299,4.14e-43
"35",3.1853619321112e-09,0.207008253400545,0.984,0.969,8.53167339896665e-05,"Frmd5","Frmd5",4.64e-55,-0.389202492,0.792,0.866,1.16e-50
"36",3.44353011360122e-09,-0.267829915125267,0.703,0.758,9.22315105626952e-05,"AY036118","AY036118",1.07e-67,-0.508662434,0.499,0.531,2.69e-63
"37",7.07117662979975e-09,-0.292926362514411,0.62,0.688,0.000189394394852557,"Creb5","Creb5",7.17e-47,0.293274412,0.434,0.296,1.8e-42
"38",8.02991449625143e-09,0.252293114058256,0.754,0.653,0.000215073229867598,"Rsrp1","Rsrp1",6.21e-28,-0.259104364,0.433,0.436,1.55e-23
"39",1.46134909381435e-08,0.278735598933743,0.79,0.728,0.000391407741287235,"Mobp","Mobp",6.58e-119,-0.914794289,0.377,0.527,1.65e-114
"40",1.86117088340933e-08,0.252508072387719,0.886,0.843,0.000498496009412355,"Map7","Map7",3.05e-152,-1.122488644,0.338,0.519,7.63e-148
"41",3.95001682864622e-08,0.191654771967628,0.999,0.999,0.0010579725073846,"Pcdh9","Pcdh9",2.37e-100,-0.426844973,0.945,0.985,5.95e-96
"42",1.23372388964077e-07,-0.3133242314636,0.556,0.594,0.00330440606601383,"Sox10","Sox10",6.22e-31,0.19084997,0.272,0.193,1.56e-26
"43",2.38714883869559e-07,0.22778099702901,0.809,0.772,0.00639373944956228,"Atp8a1","Atp8a1",7.74e-60,-0.510988036,0.398,0.453,1.94e-55
"44",5.34469387234467e-07,-0.30306994382532,0.723,0.797,0.014315228067688,"Kirrel3","Kirrel3",4.38e-28,0.366716965,0.746,0.629,1.1e-23
"45",8.34412294423359e-07,0.279007525911201,0.626,0.536,0.0223488988938353,"Itsn2","Itsn2",2.27e-40,-0.372079549,0.264,0.282,5.7e-36
"46",8.94146648370357e-07,0.130489973729951,0.947,0.899,0.0239488238299516,"Ncam1","Ncam1",8.74e-83,-0.577948993,0.612,0.709,2.19e-78
"47",9.65248250840973e-07,0.250918151091436,0.755,0.692,0.0258532091505246,"Tubb4a","Tubb4a",1.17e-44,-0.618903222,0.222,0.291,2.94e-40
"48",1.12968864100139e-06,0.249151958599784,0.761,0.683,0.0302575805605813,"Fmnl2","Fmnl2",1.61e-27,-0.20185666,0.436,0.42,4.04e-23
"49",1.57105842530249e-06,-0.250471812751711,0.338,0.372,0.0420792288633019,"H3f3b","H3f3b",2.01e-73,0.794858699,0.354,0.17,5.03e-69
