"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"1","Csmd3",0,-2.6597911,0.487,0.84,0,"Csmd3",0.114118,-0.578126,0.684409,0.529623
"2","Siglech",0,-2.254236495,0.148,0.691,0,"Siglech",4.717353,-0.917863,19.102279,17.42508
"3","P2ry12",0,-1.690517693,0.347,0.759,0,"P2ry12",10.954118,-2.051548,61.168903,58.412523
"4","Selplg",3.7e-282,-1.572230255,0.277,0.656,9.9e-278,"Selplg",9.069412,-1.225303,39.41363,37.192363
"5","Prkca",9.1e-206,-1.470698509,0.19,0.523,2.44e-201,"Prkca",0.096471,-0.925677,1.516313,1.074703
"6","Cst3",8.05e-237,-1.466249675,0.634,0.845,2.16e-232,"Cst3",46.351765,-0.22888,6.059475,5.045708
"7","Fgd2",4.25e-290,-1.448795017,0.265,0.671,1.14e-285,"Fgd2",0.632647,-1.816765,10.540515,9.263319
"8","Ptgs1",6.49e-209,-1.37475396,0.075,0.398,1.74e-204,"Ptgs1",1.647941,-1.032244,9.702954,8.481687
"9","4933406I18Rik",1.33e-264,-1.359410895,0.513,0.791,3.57e-260,"4933406I18Rik",0.004706,-2.168038,0.033458,0.220785
"10","Rapgef5",4.9e-256,-1.354616373,0.463,0.759,1.31e-251,"Rapgef5",0.148235,-2.787766,3.547346,2.749325
"11","Nav3",5.53e-222,-1.288904603,0.634,0.812,1.48e-217,"Nav3",0.360588,-1.278034,2.538153,1.877191
"12","Pde3b",4.27e-285,-1.268891199,0.596,0.841,1.14e-280,"Pde3b",0.862941,-1.007211,4.120014,3.254134
"13","Fchsd2",6.35e-225,-1.253158895,0.49,0.752,1.7e-220,"Fchsd2",0.327647,-1.797718,4.469631,3.566253
"14","Abca9",3.04e-189,-1.238273456,0.223,0.549,8.13e-185,"Abca9",0.476765,-1.460019,3.565944,2.76587
"15","Tanc2",0,-1.204186522,0.912,0.958,0,"Tanc2",0.775294,-0.956633,4.307414,3.421104
"16","Sparc",1.95e-161,-1.198379137,0.154,0.45,5.22e-157,"Sparc",11.989706,-0.83641,28.630962,26.609267
"17","Ccr5",7.04e-136,-1.174833038,0.151,0.414,1.89e-131,"Ccr5",1.477353,-2.340838,22.33377,20.517622
"18","Zfhx3",0,-1.168594217,0.791,0.919,0,"Zfhx3",1.213235,-1.976092,17.675709,16.069866
