Gene,DAM,MG2
Apbb2,2.651927,1.504718643
Apobec1,-0.637101,1.561307741
Apoe,3.428991,1.392987049
Csmd3,-0.578126,-2.6597911
Fam20c,5.700718,1.766716614
Igf1,4.222486,1.953848598
Lpl,4.946601,2.218905562
Myo1e,2.317389,2.235594819
P2ry12,-2.051548,-1.690517693
Siglech,-0.917863,-2.254236495
Spp1,4.312911,2.627225152
Srgap2,-1.736531,-1.159832458
Tanc2,-0.956633,-1.204186522
Zfhx3,-1.976092,-1.168594217
Osbpl8,0.405064,1.260012621
Lgals3,2.672484,1.480003773
Elmo1,-1.463565,-1.111955152
Fgd2,-1.816765,-1.448795017
Pde3b,-1.007211,-1.268891199
Selplg,-1.225303,-1.572230255
Inpp5d,-0.829083,-0.821105632
Cybb,2.691001,1.521728376
4933406I18Rik,-2.168038,-1.359410895
Csf1,5.225405,1.649992417
Rapgef5,-2.787766,-1.354616373
Chd9,-2.494331,-1.016728043
Mitf,0.20772,0.984881191
Acaca,2.382977,1.298352059
Dock4,-1.3263,-0.811767688
Cst3,-0.22888,-1.466249675
Fchsd2,-1.797718,-1.253158895
Ssh2,-1.334791,-0.841172565
Plekhm2,1.168997,1.08372915
Itgax,7.860371,1.141335636
Nav3,-1.278034,-1.288904603
Axl,4.290287,1.092729242
Arhgap25,-0.10863,1.05587488
Csf1r,-0.468992,-0.902433789
Ptgs1,-1.032244,-1.37475396
Arhgap5,-0.809996,-1.066409357
Prkca,-0.925677,-1.470698509
Gpnmb,4.174354,1.678805801
Serinc3,-0.907111,-0.969833481
Numb,-1.136548,-1.075410639
Ctsb,2.04363,0.922852383
Chst11,1.251339,1.356096469
Cd9,2.06811,1.083161092
Ank,4.87659,1.476616308
Abca9,-1.460019,-1.238273456
Frmd4a,-1.284002,-0.805033605
Neat1,0.423051,0.99262149
Cd74,2.020314,1.50936657
Ptprc,0.31096,0.681719399
Bcl2,0.429636,0.923512413
Lyz2,3.455854,1.245943184
Med12l,-3.53626,-1.136569282
St3gal6,-1.05862,-1.124404265
Ophn1,-1.642211,-0.804846984
Slco2b1,-1.270084,-0.913269323
Dock10,-1.366818,-0.833332496
Cx3cr1,-1.359911,-0.914137147
Trps1,-1.274953,1.022860763
Slc9a9,-1.395844,-0.823736225
Sparc,-0.83641,-1.198379137
Lpcat2,-1.311565,-0.834298264
Mertk,-0.261147,-0.689916868
Asph,-0.161976,0.852655972
Maf,-2.252391,-1.139546316
Bin1,-1.170324,-0.884618267
Cd84,0.399617,0.705811065
Sall1,-1.189528,-1.111745568
Agmo,-0.396307,-1.074775223
Pld1,-2.348494,-1.080077666
Bbs9,-1.328503,-1.137738113
Capn3,0.299384,-1.106477073
Etl4,3.625511,1.178083276
Myo1f,0.594321,0.615333199
Gpr34,-0.85822,-1.023929603
Ccr5,-2.340838,-1.174833038
Qk,-0.540553,-0.53434335
Sh3bp2,-1.00873,0.903364933
Soat1,1.224973,0.859053005
Phyhd1,-0.878654,-0.921204834
Ltc4s,-1.530531,-1.092796591
Fat3,0.637146,1.018843431
Lgmn,-0.652843,-0.696760243
Ankrd44,-1.280359,-0.666034533
Nrp1,0.851862,0.802035693
Arhgap26,3.820647,0.858553426
Csf2ra,1.864095,0.829458049
Gng12,1.544904,0.854968981
Slc24a3,-0.736322,-1.039018985
Aplp2,2.283658,0.863302184
Litaf,0.540399,0.874877133
Atp2b1,-1.229721,0.662254624
Myo9b,1.270586,0.692852837
Dip2b,-0.860929,-0.676512736
Rnf149,1.111186,0.858930842
Itgam,-1.124086,-0.854270424
Fmnl2,-0.262675,0.830593641
Pag1,-1.08746,-0.550725759
Gtf2h2,-1.282858,-0.85788844
Gnptab,1.131522,0.795615654
Ivns1abp,-1.274347,-0.69876654
0610040J01Rik,-0.983298,-0.865749498
Adap2,-1.264355,-0.654296536
Dgkz,0.951757,0.741707748
Nfia,-1.026808,-0.783964388
Dennd4a,-0.35963,-0.623731884
Inpp4b,-1.840463,-0.680187637
Fam102b,-0.688795,-0.915375522
Col27a1,-0.995361,-0.925272743
Nrp2,-0.272627,0.790885486
Zfp710,-1.790281,-0.675086882
Dnmt3a,0.447717,0.665381459
Tns3,0.460236,0.574462762
Itga9,-1.940203,-0.958016106
Rassf3,0.420465,0.733254099
Itga5,4.568928,0.784907541
Ikzf1,-1.019037,-0.589364724
Bin2,-1.735722,-0.834843806
Nceh1,3.240047,0.76968989
Ntpcr,-1.122088,-0.842388798
Plxna4,-3.054751,-0.910002937
Tpd52,1.686402,0.73322969
Anxa4,0.178287,0.725149097
Plxdc2,0.487538,-0.290409713
Eef2k,-2.447587,-0.863225713
Agap1,-0.915272,0.893955851
Cd33,-1.369259,-0.806629901
Nrip1,-1.510853,-0.741994684
Abcg1,-0.20862,0.730817327
Hif1a,1.50198,0.761284371
Tank,0.548169,0.863573746
Nfe2l2,0.370642,0.742869742
Bcl2l1,-0.286433,0.766193352
Maml3,-1.131845,-0.553788772
Abca1,-0.903497,0.586011369
Rbm47,-1.248326,0.638552746
Dtnbp1,0.661494,0.652488375
Cd63,2.326131,0.687326418
Tec,0.333804,0.653728734
St3gal5,-0.62747,-0.836319738
Vps13c,1.090274,0.626476325
Slc23a2,1.791496,0.704270529
Itpkb,0.100451,0.739477011
Slc16a10,1.02634,0.720404816
Plekha1,0.688227,0.599502659
St8sia6,2.455586,0.70218818
Atp6v1a,1.110475,0.708216119
Slc25a25,0.75396,0.764793015
Nos1ap,-0.10245,-0.865416757
Lrba,-2.646691,-0.83305388
Rabep1,-0.615151,0.573814705
Cd48,1.208018,0.69179792
Mgat4a,-0.925985,-0.64455068
Ell2,2.903912,0.776538477
Herc2,-0.841641,-0.610298076
Sgk1,-0.312957,0.766373483
Mtus1,-0.792919,-0.748993289
Garnl3,-1.305541,-0.800058347
Golm1,-0.806389,-0.706563352
Ctnnb1,0.318409,0.660398409
Coro1c,1.166986,0.648872725
Nlrc5,3.04828,0.665300955
Wnk1,-1.179866,-0.497248967
Plin2,1.030376,0.630969849
Ulk2,-0.626876,-0.63340916
Rtn1,-2.012213,-0.758722797
Atg7,0.413461,0.622994177
Zeb1,-1.905003,-0.628229207
Slc16a6,-0.251375,-0.729904059
Plek,0.642127,0.715262548
Fli1,-0.721944,-0.495216862
Il6ra,-1.789221,-0.635735514
Ppp1r9a,-1.831003,-0.589346498
Dock8,-0.393235,-0.414249519
Cpd,2.603934,0.662111
Rufy3,-0.232168,0.6307223
Fam49b,-0.846747,-0.446174178
Tln2,0.194867,-0.730649691
Map4k3,0.285219,0.578061002
Rps6ka1,-1.448061,-0.695964758
Alpk1,0.763249,0.660709639
Pgap1,0.590954,0.574389377
Cd81,-0.1491,-0.670045438
Tjp1,-1.802008,-0.670709471
Man1a,-1.164555,-0.702166919
Scoc,-0.857843,-0.694035548
Slc15a3,0.862034,0.65543042
Rgs10,-0.485482,-0.614149039
Fnip1,-0.567239,0.515369137
Pard3b,-0.7729,-0.731904
Entpd1,-1.189364,-0.507060591
Ctsz,1.684372,0.473233446
Akt3,0.581154,0.541743483
Susd3,-1.685886,-0.660533269
Scamp2,-0.98273,-0.629053126
Pik3r1,-2.078308,-0.575869479
Abr,-0.405367,0.514023948
Abi3,-0.592831,-0.595342807
Akap10,-0.827547,0.519535519
Dapp1,-2.863098,-0.599007234
Ncf2,-0.355456,0.574446632
Pkig,-0.172226,-0.659930525
B4galt5,-1.484613,0.599050436
Spag9,-0.894313,0.537947727
Tubgcp5,-1.318844,-0.622657994
Map4k4,-0.611048,-0.50713928
