,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL-15,2.528804425,-0.308365988,5.954725631,8.47E-06,0.000194889,3.661061353
MIP1b,1.890988131,0.592860059,5.084751072,5.89E-05,0.000677826,1.745646059
IL-10,1.203955012,-0.785522968,4.307870593,0.000352117,0.001627203,-0.011827155
MIP-2,1.161821922,-0.056196721,3.522835197,0.002174549,0.006251827,-1.783053754
MCP-1,1.091926381,0.167008027,2.749164691,0.012472185,0.026078205,-3.44557964
MIG,1.062194995,0.107134423,3.699656915,0.001445258,0.004748704,-1.388083456
IFNg,1.054461871,-0.561649893,2.820633729,0.010658181,0.026078205,-3.298254284
IL-12p40,1.047531908,-0.263437958,2.66678081,0.014928055,0.028612105,-3.613338365
IL-7,1.01614594,0.016356275,3.82060876,0.001091903,0.004185627,-1.116071682
KC,0.991513081,0.08954889,4.765702839,0.000122244,0.0009372,1.026989627
RANTES,0.882097618,0.098895238,4.305889018,0.00035374,0.001627203,-0.016330249
IP-10,0.858542816,0.615458805,2.411311769,0.025776993,0.045605449,-4.117726165
MCSF,0.844044322,-0.241252255,2.791029521,0.011376699,0.026078205,-3.359474658
IL-17a,0.561524718,0.024773157,1.741839928,0.097110972,0.142953188,-5.292711585
IL-12p70,0.471736057,-0.079675677,1.712301815,0.10251982,0.142953188,-5.338558005
VEGF,0.459911295,0.101993145,2.001311542,0.059309274,0.097436665,-4.866454501
IL-1a,0.389272365,0.185060724,1.695755473,0.105661052,0.142953188,-5.363987149
IL-1b,0.259466924,-0.200829317,0.800845785,0.43276271,0.497677117,-6.427009868
IL-9,0.254687939,-0.011823292,0.848386444,0.406401673,0.497677117,-6.387741973
IL-13,0.221789367,0.086301808,0.804016643,0.430971889,0.497677117,-6.424456599
MIP1a,0.119131266,0.083392441,0.576295956,0.570933761,0.625308405,-6.583393763
TNFa,0.085841173,-0.005267746,0.516143865,0.611492204,0.639287304,-6.616939947
IL-2,0.043426262,-0.059261297,0.166730935,0.86927922,0.86927922,-6.739694442
