Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XX(O),878,IFNg,Normal,4.46,3.843333333
XX(O),881,IFNg,Normal,3.67,3.843333333
XX(O),784,IFNg,Normal,3.14,3.843333333
XX(O),837,IFNg,Cuprizone,6.03,3.843333333
XX(O),803,IFNg,Cuprizone,9.12,3.843333333
XX(O),815,IFNg,Cuprizone,2.88,3.843333333
XX(O),871,IFNg,Cuprizone,4.46,3.843333333
XX(O),874,IFNg,Cuprizone,3.93,3.843333333
XY(O),859,IFNg,Normal,6.8,3.843333333
XY(O),839,IFNg,Normal,9.37,3.843333333
XY(O),895,IFNg,Normal,8.99,3.843333333
XY(O),882,IFNg,Cuprizone,3.41,3.843333333
XY(O),896,IFNg,Cuprizone,5.51,3.843333333
XY(O),866,IFNg,Cuprizone,1.34,3.843333333
XY(O),819,IFNg,Cuprizone,1.4,3.843333333
XX(T),832,IFNg,Normal,1.34,3.843333333
XX(T),902,IFNg,Normal,1.53,3.843333333
XX(T),899,IFNg,Cuprizone,1.34,3.843333333
XX(T),846,IFNg,Cuprizone,2.88,3.843333333
XX(T),845,IFNg,Cuprizone,3.67,3.843333333
XY(T),854,IFNg,Normal,2.61,3.843333333
XY(T),863,IFNg,Normal,1.34,3.843333333
XY(T),891,IFNg,Normal,1.34,3.843333333
XY(T),887,IFNg,Normal,1.53,3.843333333
XY(T),869,IFNg,Cuprizone,1.34,3.843333333
XY(T),901,IFNg,Cuprizone,1.34,3.843333333
XY(T),900,IFNg,Cuprizone,1.34,3.843333333
XY(T),948,IFNg,Cuprizone,1.34,3.843333333
XX(O),878,IL-1a,Normal,73.79,94.76416667
XX(O),881,IL-1a,Normal,71.29,94.76416667
XX(O),784,IL-1a,Normal,85.87,94.76416667
XX(O),837,IL-1a,Cuprizone,140.93,94.76416667
XX(O),803,IL-1a,Cuprizone,91.1,94.76416667
XX(O),815,IL-1a,Cuprizone,101.81,94.76416667
XX(O),871,IL-1a,Cuprizone,110.54,94.76416667
XX(O),874,IL-1a,Cuprizone,78.7,94.76416667
XY(O),859,IL-1a,Normal,120.08,94.76416667
XY(O),839,IL-1a,Normal,120.08,94.76416667
XY(O),895,IL-1a,Normal,148.3,94.76416667
XY(O),882,IL-1a,Cuprizone,146.34,94.76416667
XY(O),896,IL-1a,Cuprizone,181.32,94.76416667
XY(O),866,IL-1a,Cuprizone,123.2,94.76416667
XY(O),819,IL-1a,Cuprizone,152.18,94.76416667
XX(T),832,IL-1a,Normal,45.44,94.76416667
XX(T),902,IL-1a,Normal,147.32,94.76416667
XX(T),899,IL-1a,Cuprizone,89.37,94.76416667
XX(T),846,IL-1a,Cuprizone,169.29,94.76416667
XX(T),845,IL-1a,Cuprizone,98.48,94.76416667
XY(T),854,IL-1a,Normal,82.31,94.76416667
XY(T),863,IL-1a,Normal,78.7,94.76416667
XY(T),891,IL-1a,Normal,70.03,94.76416667
XY(T),887,IL-1a,Normal,93.96,94.76416667
XY(T),869,IL-1a,Cuprizone,65.54,94.76416667
XY(T),901,IL-1a,Cuprizone,94.53,94.76416667
XY(T),900,IL-1a,Cuprizone,65.54,94.76416667
XY(T),948,IL-1a,Cuprizone,96.23,94.76416667
XX(O),878,IL-1b,Normal,3.61,6.021666667
XX(O),881,IL-1b,Normal,3.61,6.021666667
XX(O),784,IL-1b,Normal,14.12,6.021666667
XX(O),837,IL-1b,Cuprizone,7.12,6.021666667
XX(O),803,IL-1b,Cuprizone,3.61,6.021666667
XX(O),815,IL-1b,Cuprizone,5.27,6.021666667
XX(O),871,IL-1b,Cuprizone,5.91,6.021666667
XX(O),874,IL-1b,Cuprizone,5.91,6.021666667
XY(O),859,IL-1b,Normal,7.12,6.021666667
XY(O),839,IL-1b,Normal,7.12,6.021666667
XY(O),895,IL-1b,Normal,10.5,6.021666667
XY(O),882,IL-1b,Cuprizone,5.91,6.021666667
XY(O),896,IL-1b,Cuprizone,16.57,6.021666667
XY(O),866,IL-1b,Cuprizone,3.61,6.021666667
XY(O),819,IL-1b,Cuprizone,3.61,6.021666667
XX(T),832,IL-1b,Normal,3.61,6.021666667
XX(T),902,IL-1b,Normal,7.12,6.021666667
XX(T),899,IL-1b,Cuprizone,3.61,6.021666667
XX(T),846,IL-1b,Cuprizone,10.5,6.021666667
XX(T),845,IL-1b,Cuprizone,8.29,6.021666667
XY(T),854,IL-1b,Normal,4.62,6.021666667
XY(T),863,IL-1b,Normal,3.61,6.021666667
XY(T),891,IL-1b,Normal,3.61,6.021666667
XY(T),887,IL-1b,Normal,3.61,6.021666667
XY(T),869,IL-1b,Cuprizone,3.61,6.021666667
XY(T),901,IL-1b,Cuprizone,3.61,6.021666667
XY(T),900,IL-1b,Cuprizone,3.61,6.021666667
XY(T),948,IL-1b,Cuprizone,3.61,6.021666667
XX(O),878,IL-2,Normal,43.73,85.92833333
XX(O),881,IL-2,Normal,40.59,85.92833333
XX(O),784,IL-2,Normal,124.23,85.92833333
XX(O),837,IL-2,Cuprizone,110.16,85.92833333
XX(O),803,IL-2,Cuprizone,39.13,85.92833333
XX(O),815,IL-2,Cuprizone,71.14,85.92833333
XX(O),871,IL-2,Cuprizone,78.59,85.92833333
XX(O),874,IL-2,Cuprizone,61.18,85.92833333
XY(O),859,IL-2,Normal,112.32,85.92833333
XY(O),839,IL-2,Normal,116.92,85.92833333
XY(O),895,IL-2,Normal,105.41,85.92833333
XY(O),882,IL-2,Cuprizone,112.63,85.92833333
XY(O),896,IL-2,Cuprizone,134.76,85.92833333
XY(O),866,IL-2,Cuprizone,87.32,85.92833333
XY(O),819,IL-2,Cuprizone,101.67,85.92833333
XX(T),832,IL-2,Normal,52.46,85.92833333
XX(T),902,IL-2,Normal,126.24,85.92833333
XX(T),899,IL-2,Cuprizone,72.79,85.92833333
XX(T),846,IL-2,Cuprizone,161.67,85.92833333
XX(T),845,IL-2,Cuprizone,74.77,85.92833333
XY(T),854,IL-2,Normal,80.65,85.92833333
XY(T),863,IL-2,Normal,70.14,85.92833333
XY(T),891,IL-2,Normal,75.1,85.92833333
XY(T),887,IL-2,Normal,83.35,85.92833333
XY(T),869,IL-2,Cuprizone,69.7,85.92833333
XY(T),901,IL-2,Cuprizone,82.27,85.92833333
XY(T),900,IL-2,Cuprizone,59.36,85.92833333
XY(T),948,IL-2,Cuprizone,76.95,85.92833333
XX(O),878,IL-7,Normal,4.49,3.49
