,logFC,AveExpr,t,P.Value,adj.P.Val,B
MIP-1b,0.503449601,1.689036934,2.133835911,0.045392938,0.506564273,-4.221146049
MCSF,0.49209753,0.637491766,1.762474278,0.093226942,0.506564273,-4.368873557
MIG,0.421442425,0.577886839,1.261641983,0.221557641,0.506564273,-4.542005814
IL-12p40,0.40036914,-0.431275524,1.598902042,0.125481654,0.506564273,-4.429366156
IP-10,0.363505949,2.203410041,1.110972918,0.279724873,0.516118777,-4.586007795
IL-12p70,0.261560574,-0.454116655,1.442391597,0.164631151,0.506564273,-4.483864362
IL-10,0.217683754,-0.615747821,1.395160534,0.178229853,0.506564273,-4.499581855
IL-17a,0.204952973,-0.885938334,0.984571255,0.336566826,0.516118777,-4.619453805
MCP-1,0.200529505,0.019770069,1.479858905,0.154452015,0.506564273,-4.471147288
GM-CSF,0.182372438,-0.159509368,1.818888499,0.083896651,0.506564273,-4.347276321
MIP-1a,0.170183461,-0.134283351,1.207684785,0.241221083,0.506564273,-4.558256448
MIP-2,0.167557163,-0.086129667,1.251067629,0.225310819,0.506564273,-4.545232516
KC,0.160093944,-0.218851675,0.872557738,0.393233354,0.516118777,-4.646240689
Eotaxin,0.124834962,-0.421004146,0.582735282,0.566567857,0.626206579,-4.702010527
IL-15,0.081075415,-0.484193998,0.701579307,0.491005095,0.603407153,-4.681598344
LIX,0.015389915,-1.089505299,0.065641917,0.948312984,0.948312984,-4.747794167
IL1a,-0.011936368,-0.141570281,-0.088779132,0.930138184,0.948312984,-4.747299264
IL-2,-0.116556183,0.288676616,-0.894612012,0.381607893,0.516118777,-4.641186643
IL-13,-0.143892938,-0.386831914,-0.883214266,0.3875874,0.516118777,-4.64381229
IL-9,-0.192402912,-0.215208996,-0.659296964,0.517206131,0.603407153,-4.689262438
VEGF,-0.208069657,-1.245652451,-1.062679177,0.300559189,0.516118777,-4.599175282
