Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXO,199,Eotaxin,Control,17.35,14.29473684
XXO,201,Eotaxin,Control,18.22,14.29473684
XXO,154,Eotaxin,Control,12.07,14.29473684
XXO,155,Eotaxin,Control,9.87,14.29473684
XXO,153,Eotaxin,Control,22.09,14.29473684
XYO,162,Eotaxin,Control,28.73,14.29473684
XYO,170,Eotaxin,Control,21.24,14.29473684
XXT,158,Eotaxin,Control,17.35,14.29473684
XXT,160,Eotaxin,Control,10.75,14.29473684
XXT,165,Eotaxin,Control,16.7,14.29473684
XXT,167,Eotaxin,Control,11.63,14.29473684
XXT,168,Eotaxin,Control,15.6,14.29473684
XYT,159,Eotaxin,Control,17.35,14.29473684
XYT,202,Eotaxin,Control,28.94,14.29473684
XYT,203,Eotaxin,Control,3.55,14.29473684
XYT,204,Eotaxin,Control,13.4,14.29473684
XXO,164,Eotaxin,Cuprizone,8.56,14.29473684
XXO,176,Eotaxin,Cuprizone,8.56,14.29473684
XXO,179,Eotaxin,Cuprizone,12.74,14.29473684
XXO,185,Eotaxin,Cuprizone,11.63,14.29473684
XYO,177,Eotaxin,Cuprizone,8.56,14.29473684
XYO,178,Eotaxin,Cuprizone,14.72,14.29473684
XYO,193,Eotaxin,Cuprizone,7.69,14.29473684
XYO,184,Eotaxin,Cuprizone,23.58,14.29473684
XXT,175,Eotaxin,Cuprizone,14.28,14.29473684
XXT,181,Eotaxin,Cuprizone,5.78,14.29473684
XXT,182,Eotaxin,Cuprizone,8.56,14.29473684
XXT,186,Eotaxin,Cuprizone,10.75,14.29473684
XXT,187,Eotaxin,Cuprizone,14.72,14.29473684
XXT,183,Eotaxin,Cuprizone,13.4,14.29473684
XYT,180,Eotaxin,Cuprizone,9.21,14.29473684
XYT,172,Eotaxin,Cuprizone,9,14.29473684
XYT,173,Eotaxin,Cuprizone,11.19,14.29473684
XYT,174,Eotaxin,Cuprizone,9.43,14.29473684
XYO,859,Eotaxin,Control,1.8,14.29473684
XYO,839,Eotaxin,Control,3.16,14.29473684
XYO,895,Eotaxin,Control,1.8,14.29473684
XXO,199,GM-CSF,Control,28.38,27.85894737
XXO,201,GM-CSF,Control,30.89,27.85894737
XXO,154,GM-CSF,Control,30.89,27.85894737
XXO,155,GM-CSF,Control,23.08,27.85894737
XXO,153,GM-CSF,Control,30.89,27.85894737
XYO,162,GM-CSF,Control,37.89,27.85894737
XYO,170,GM-CSF,Control,35.63,27.85894737
XXT,158,GM-CSF,Control,28.38,27.85894737
XXT,160,GM-CSF,Control,25.78,27.85894737
XXT,165,GM-CSF,Control,28.38,27.85894737
XXT,167,GM-CSF,Control,25.78,27.85894737
XXT,168,GM-CSF,Control,20.25,27.85894737
XYT,159,GM-CSF,Control,33.3,27.85894737
XYT,202,GM-CSF,Control,44.28,27.85894737
XYT,203,GM-CSF,Control,23.08,27.85894737
XYT,204,GM-CSF,Control,28.38,27.85894737
XXO,164,GM-CSF,Cuprizone,25.78,27.85894737
XXO,176,GM-CSF,Cuprizone,23.08,27.85894737
XXO,179,GM-CSF,Cuprizone,23.08,27.85894737
XXO,185,GM-CSF,Cuprizone,27.1,27.85894737
XYO,177,GM-CSF,Cuprizone,28.38,27.85894737
XYO,178,GM-CSF,Cuprizone,28.38,27.85894737
XYO,193,GM-CSF,Cuprizone,28.38,27.85894737
XYO,184,GM-CSF,Cuprizone,30.89,27.85894737
XXT,175,GM-CSF,Cuprizone,25.78,27.85894737
XXT,181,GM-CSF,Cuprizone,21.68,27.85894737
XXT,182,GM-CSF,Cuprizone,20.25,27.85894737
XXT,186,GM-CSF,Cuprizone,23.08,27.85894737
XXT,187,GM-CSF,Cuprizone,23.08,27.85894737
XXT,183,GM-CSF,Cuprizone,28.38,27.85894737
XYT,180,GM-CSF,Cuprizone,25.78,27.85894737
XYT,172,GM-CSF,Cuprizone,25.78,27.85894737
XYT,173,GM-CSF,Cuprizone,23.08,27.85894737
XYT,174,GM-CSF,Cuprizone,20.25,27.85894737
XYO,859,GM-CSF,Control,14.14,27.85894737
XYO,839,GM-CSF,Control,25.78,27.85894737
XYO,895,GM-CSF,Control,14.14,27.85894737
XXO,199,IL1a,Control,128.43,123.9405263
XXO,201,IL1a,Control,144.46,123.9405263
XXO,154,IL1a,Control,143.68,123.9405263
XXO,155,IL1a,Control,138.98,123.9405263
XXO,153,IL1a,Control,172.33,123.9405263
XYO,162,IL1a,Control,189.93,123.9405263
XYO,170,IL1a,Control,150.2,123.9405263
XXT,158,IL1a,Control,143.68,123.9405263
XXT,160,IL1a,Control,129.26,123.9405263
XXT,165,IL1a,Control,155.82,123.9405263
XXT,167,IL1a,Control,123.39,123.9405263
XXT,168,IL1a,Control,194.5,123.9405263
XYT,159,IL1a,Control,61.2,123.9405263
XYT,202,IL1a,Control,128.43,123.9405263
XYT,203,IL1a,Control,75.22,123.9405263
XYT,204,IL1a,Control,119.09,123.9405263
XXO,164,IL1a,Cuprizone,133.36,123.9405263
XXO,176,IL1a,Cuprizone,128.43,123.9405263
XXO,179,IL1a,Cuprizone,103.75,123.9405263
XXO,185,IL1a,Cuprizone,121.68,123.9405263
XYO,177,IL1a,Cuprizone,97.06,123.9405263
XYO,178,IL1a,Cuprizone,137.38,123.9405263
XYO,193,IL1a,Cuprizone,99.96,123.9405263
XYO,184,IL1a,Cuprizone,84.94,123.9405263
XXT,175,IL1a,Cuprizone,147.54,123.9405263
XXT,181,IL1a,Cuprizone,123.39,123.9405263
XXT,182,IL1a,Cuprizone,132.95,123.9405263
XXT,186,IL1a,Cuprizone,95.1,123.9405263
XXT,187,IL1a,Cuprizone,130.91,123.9405263
XXT,183,IL1a,Cuprizone,94.11,123.9405263
XYT,180,IL1a,Cuprizone,97.54,123.9405263
XYT,172,IL1a,Cuprizone,107.47,123.9405263
XYT,173,IL1a,Cuprizone,84.94,123.9405263
XYT,174,IL1a,Cuprizone,131.73,123.9405263
XYO,859,IL1a,Control,49.67,123.9405263
XYO,839,IL1a,Control,52.97,123.9405263
XYO,895,IL1a,Control,53.63,123.9405263
XXO,199,IL-2,Control,43.01,57.97210526
XXO,201,IL-2,Control,45.51,57.97210526
XXO,154,IL-2,Control,72.93,57.97210526
XXO,155,IL-2,Control,49.73,57.97210526
XXO,153,IL-2,Control,72.09,57.97210526
XYO,162,IL-2,Control,79.65,57.97210526
XYO,170,IL-2,Control,69.56,57.97210526
XXT,158,IL-2,Control,108.79,57.97210526
XXT,160,IL-2,Control,79.65,57.97210526
XXT,165,IL-2,Control,41.31,57.97210526
XXT,167,IL-2,Control,51.64,57.97210526
XXT,168,IL-2,Control,103.3,57.97210526
XYT,159,IL-2,Control,52.43,57.97210526
XYT,202,IL-2,Control,79.11,57.97210526
XYT,203,IL-2,Control,33.55,57.97210526
XYT,204,IL-2,Control,83.13,57.97210526
XXO,164,IL-2,Cuprizone,48.61,57.97210526
XXO,176,IL-2,Cuprizone,69.98,57.97210526
XXO,179,IL-2,Cuprizone,89.04,57.97210526
XXO,185,IL-2,Cuprizone,72.09,57.97210526
XYO,177,IL-2,Cuprizone,71.53,57.97210526
XYO,178,IL-2,Cuprizone,77.27,57.97210526
XYO,193,IL-2,Cuprizone,65.69,57.97210526
XYO,184,IL-2,Cuprizone,55.7,57.97210526
XXT,175,IL-2,Cuprizone,63.28,57.97210526
XXT,181,IL-2,Cuprizone,72.37,57.97210526
XXT,182,IL-2,Cuprizone,62.32,57.97210526
XXT,186,IL-2,Cuprizone,64.67,57.97210526
XXT,187,IL-2,Cuprizone,94.62,57.97210526
XXT,183,IL-2,Cuprizone,83.86,57.97210526
XYT,180,IL-2,Cuprizone,82.2,57.97210526
XYT,172,IL-2,Cuprizone,57.99,57.97210526
XYT,173,IL-2,Cuprizone,77.62,57.97210526
XYT,174,IL-2,Cuprizone,83.8,57.97210526
XYO,859,IL-2,Control,12.41,57.97210526
XYO,839,IL-2,Control,12.18,57.97210526
XYO,895,IL-2,Control,11.49,57.97210526
XXO,199,IL-9,Control,1741,1106.386316
XXO,201,IL-9,Control,1718,1106.386316
XXO,154,IL-9,Control,1188,1106.386316
XXO,155,IL-9,Control,2406,1106.386316
XXO,153,IL-9,Control,1481,1106.386316
XYO,162,IL-9,Control,1094,1106.386316
XYO,170,IL-9,Control,1974,1106.386316
XXT,158,IL-9,Control,1023,1106.386316
XXT,160,IL-9,Control,1614,1106.386316
XXT,165,IL-9,Control,754.53,1106.386316
XXT,167,IL-9,Control,1030,1106.386316
XXT,168,IL-9,Control,887.47,1106.386316
XYT,159,IL-9,Control,521.51,1106.386316
XYT,202,IL-9,Control,909.21,1106.386316
XYT,203,IL-9,Control,753.18,1106.386316
XYT,204,IL-9,Control,1047,1106.386316
XXO,164,IL-9,Cuprizone,1161,1106.386316
XXO,176,IL-9,Cuprizone,825.16,1106.386316
XXO,179,IL-9,Cuprizone,923.18,1106.386316
XXO,185,IL-9,Cuprizone,910.48,1106.386316
XYO,177,IL-9,Cuprizone,988.34,1106.386316
XYO,178,IL-9,Cuprizone,1890,1106.386316
XYO,193,IL-9,Cuprizone,745.05,1106.386316
XYO,184,IL-9,Cuprizone,335.8,1106.386316
XXT,175,IL-9,Cuprizone,963.45,1106.386316
XXT,181,IL-9,Cuprizone,656.39,1106.386316
XXT,182,IL-9,Cuprizone,833.03,1106.386316
XXT,186,IL-9,Cuprizone,1188,1106.386316
XXT,187,IL-9,Cuprizone,1108,1106.386316
XXT,183,IL-9,Cuprizone,1428,1106.386316
XYT,180,IL-9,Cuprizone,579.93,1106.386316
XYT,172,IL-9,Cuprizone,1040,1106.386316
XYT,173,IL-9,Cuprizone,701.17,1106.386316
XYT,174,IL-9,Cuprizone,2671,1106.386316
XYO,859,IL-9,Control,314.42,1106.386316
XYO,839,IL-9,Control,247.01,1106.386316
XYO,895,IL-9,Control,318.01,1106.386316
XXO,199,IL-10,Control,44.49,50.14842105
XXO,201,IL-10,Control,48.07,50.14842105
XXO,154,IL-10,Control,39.82,50.14842105
XXO,155,IL-10,Control,48.57,50.14842105
XXO,153,IL-10,Control,50.59,50.14842105
XYO,162,IL-10,Control,52.1,50.14842105
XYO,170,IL-10,Control,51.1,50.14842105
XXT,158,IL-10,Control,38.77,50.14842105
XXT,160,IL-10,Control,24.54,50.14842105
XXT,165,IL-10,Control,42.43,50.14842105
XXT,167,IL-10,Control,40.87,50.14842105
XXT,168,IL-10,Control,45.01,50.14842105
XYT,159,IL-10,Control,40.08,50.14842105
XYT,202,IL-10,Control,43.46,50.14842105
XYT,203,IL-10,Control,29.6,50.14842105
XYT,204,IL-10,Control,33.16,50.14842105
XXO,164,IL-10,Cuprizone,32.34,50.14842105
XXO,176,IL-10,Cuprizone,34.51,50.14842105
XXO,179,IL-10,Cuprizone,37.97,50.14842105
XXO,185,IL-10,Cuprizone,33.16,50.14842105
XYO,177,IL-10,Cuprizone,66.76,50.14842105
XYO,178,IL-10,Cuprizone,37.18,50.14842105
XYO,193,IL-10,Cuprizone,22.81,50.14842105
XYO,184,IL-10,Cuprizone,32.34,50.14842105
XXT,175,IL-10,Cuprizone,33.97,50.14842105
XXT,181,IL-10,Cuprizone,31.8,50.14842105
XXT,182,IL-10,Cuprizone,26.81,50.14842105
XXT,186,IL-10,Cuprizone,27.93,50.14842105
XXT,187,IL-10,Cuprizone,38.24,50.14842105
XXT,183,IL-10,Cuprizone,32.34,50.14842105
XYT,180,IL-10,Cuprizone,23.96,50.14842105
XYT,172,IL-10,Cuprizone,27.37,50.14842105
XYT,173,IL-10,Cuprizone,33.97,50.14842105
XYT,174,IL-10,Cuprizone,32.34,50.14842105
XYO,859,IL-10,Control,152.04,50.14842105
XYO,839,IL-10,Control,57.55,50.14842105
XYO,895,IL-10,Control,70.57,50.14842105
XXO,199,IL-12p40,Control,4.21,3.846315789
XXO,201,IL-12p40,Control,3.88,3.846315789
XXO,154,IL-12p40,Control,2.51,3.846315789
XXO,155,IL-12p40,Control,2.51,3.846315789
XXO,153,IL-12p40,Control,5.18,3.846315789
XYO,162,IL-12p40,Control,8.88,3.846315789
XYO,170,IL-12p40,Control,6.44,3.846315789
XXT,158,IL-12p40,Control,6.44,3.846315789
XXT,160,IL-12p40,Control,2.12,3.846315789
XXT,165,IL-12p40,Control,2.16,3.846315789
XXT,167,IL-12p40,Control,2.12,3.846315789
XXT,168,IL-12p40,Control,3.21,3.846315789
XYT,159,IL-12p40,Control,2.12,3.846315789
XYT,202,IL-12p40,Control,8.28,3.846315789
XYT,203,IL-12p40,Control,2.12,3.846315789
XYT,204,IL-12p40,Control,4.54,3.846315789
XXO,164,IL-12p40,Cuprizone,2.12,3.846315789
XXO,176,IL-12p40,Cuprizone,2.12,3.846315789
XXO,179,IL-12p40,Cuprizone,3.21,3.846315789
XXO,185,IL-12p40,Cuprizone,3.88,3.846315789
XYO,177,IL-12p40,Cuprizone,3.21,3.846315789
XYO,178,IL-12p40,Cuprizone,5.18,3.846315789
XYO,193,IL-12p40,Cuprizone,6.44,3.846315789
XYO,184,IL-12p40,Cuprizone,2.51,3.846315789
XXT,175,IL-12p40,Cuprizone,2.12,3.846315789
XXT,181,IL-12p40,Cuprizone,2.12,3.846315789
XXT,182,IL-12p40,Cuprizone,2.12,3.846315789
XXT,186,IL-12p40,Cuprizone,2.12,3.846315789
XXT,187,IL-12p40,Cuprizone,3.88,3.846315789
