"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"17","XXO",164,"Eotaxin","Cuprizone",8.56,14.29473684,0.598821796848133,-0.739801359074888
"18","XXO",176,"Eotaxin","Cuprizone",8.56,14.29473684,0.598821796848133,-0.739801359074888
"19","XXO",179,"Eotaxin","Cuprizone",12.74,14.29473684,0.891237113533319,-0.166118783219735
"20","XXO",185,"Eotaxin","Cuprizone",11.63,14.29473684,0.813586156231751,-0.297632964002817
"21","XYO",177,"Eotaxin","Cuprizone",8.56,14.29473684,0.598821796848133,-0.739801359074888
"22","XYO",178,"Eotaxin","Cuprizone",14.72,14.29473684,1.02974963196314,0.0422936105809777
"23","XYO",193,"Eotaxin","Cuprizone",7.69,14.29473684,0.537960235719876,-0.894428557514209
"24","XYO",184,"Eotaxin","Cuprizone",23.58,14.29473684,1.64955817402792,0.722079657503727
"25","XXT",175,"Eotaxin","Cuprizone",14.28,14.29473684,0.998969072312072,-0.0014880814469355
"26","XXT",181,"Eotaxin","Cuprizone",5.78,14.29473684,0.404344624507267,-1.30634266297536
"27","XXT",182,"Eotaxin","Cuprizone",8.56,14.29473684,0.598821796848133,-0.739801359074888
"28","XXT",186,"Eotaxin","Cuprizone",10.75,14.29473684,0.752025036929606,-0.411147400999213
"29","XXT",187,"Eotaxin","Cuprizone",14.72,14.29473684,1.02974963196314,0.0422936105809777
"30","XXT",183,"Eotaxin","Cuprizone",13.4,14.29473684,0.937407953009928,-0.0932510601309004
"31","XYT",180,"Eotaxin","Cuprizone",9.21,14.29473684,0.644293078150853,-0.6342109993847
"32","XYT",172,"Eotaxin","Cuprizone",9,14.29473684,0.629602356499205,-0.667487154258998
"33","XYT",173,"Eotaxin","Cuprizone",11.19,14.29473684,0.782805596580678,-0.353274024499641
"34","XYT",174,"Eotaxin","Cuprizone",9.43,14.29473684,0.659683357976389,-0.600154384800939
"54","XXO",164,"GM-CSF","Cuprizone",25.78,27.85894737,0.925375954001811,-0.111888484089904
"55","XXO",176,"GM-CSF","Cuprizone",23.08,27.85894737,0.828459155095493,-0.271497523806073
"56","XXO",179,"GM-CSF","Cuprizone",23.08,27.85894737,0.828459155095493,-0.271497523806073
