,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL1a,0.580404028,-0.294906305,1.767885601,0.099020006,0.361984788,-4.485474282
IL12p70,0.312262658,0.148652186,0.59915804,0.558710025,0.826130152,-4.640016612
MIG,0.230128346,0.22260507,0.575289363,0.574293605,0.826130152,-4.641870667
IL1b,0.173850084,-0.001975209,0.576033088,0.5738046,0.826130152,-4.641813932
IL12p40,0.106362927,-0.170366552,0.321091848,0.752919162,0.847473569,-4.657198847
IL15,0.068064742,-0.101912308,0.297574251,0.770430517,0.847473569,-4.658193482
MCP1,0.02942889,-0.075321241,0.082609965,0.935339865,0.935339865,-4.663816622
IFNg,-0.040028719,-0.420294323,-0.106171459,0.916963811,0.935339865,-4.66350899
VEGF,-0.120349,-0.067006056,-0.308904056,0.761977348,0.847473569,-4.657723507
GM-CSF,-0.133787837,-0.169314636,-0.471114361,0.64486971,0.834537272,-4.649145996
IL6,-0.192340513,-0.1367083,-0.535423353,0.600821929,0.826130152,-4.644813286
IL9,-0.251399088,-0.370464868,-0.592745029,0.562874518,0.826130152,-4.640521484
IL7,-0.26016808,-0.673574543,-0.788173636,0.44383362,0.826130152,-4.622998269
IL17a,-0.328256788,-0.287896758,-1.613568873,0.129092362,0.361984788,-4.510878723
MIP1a,-0.355507368,0.031714065,-0.979424541,0.344115331,0.826130152,-4.601891395
IL2,-0.372328838,-0.219497128,-1.977703464,0.0681441,0.361984788,-4.44987766
IL10,-0.40344527,0.043893813,-1.602026689,0.131630832,0.361984788,-4.512743591
MIP1b,-0.652423546,0.232432384,-1.672295728,0.116821455,0.361984788,-4.501309193
LIX,-0.662214087,-0.297421221,-0.784437504,0.445950746,0.826130152,-4.623373266
KC,-0.672625737,-0.093648037,-2.570230629,0.022329604,0.361984788,-4.347599653
Eotaxin,-0.68511023,-0.225973612,-2.107721754,0.053705478,0.361984788,-4.427458909
IP10,-1.132343586,0.805250931,-2.255031146,0.040797298,0.361984788,-4.401929909
