Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXO,229,Eotaxin,Ctrl,11.71,12.22461538
XXO,231,Eotaxin,Ctrl,3.61,12.22461538
XXO,233,Eotaxin,Ctrl,12.5,12.22461538
XXO,247,Eotaxin,Cuprizone,13.27,12.22461538
XXO,251,Eotaxin,Cuprizone,10.91,12.22461538
XXO,235,Eotaxin,Cuprizone,7.42,12.22461538
XXO,236,Eotaxin,Cuprizone,3.61,12.22461538
XXT,240,Eotaxin,Ctrl,14.21,12.22461538
XXT,241,Eotaxin,Ctrl,10.7,12.22461538
XXT,252,Eotaxin,Ctrl,8.34,12.22461538
XXT,254,Eotaxin,Ctrl,16.92,12.22461538
XXT,243,Eotaxin,Cuprizone,14.03,12.22461538
XXT,246,Eotaxin,Cuprizone,15.5,12.22461538
XYO,238,Eotaxin,Ctrl,11.31,12.22461538
XYO,230,Eotaxin,Ctrl,10.08,12.22461538
XYO,234,Eotaxin,Ctrl,8.79,12.22461538
XYO,237,Eotaxin,Ctrl,8.79,12.22461538
XYO,248,Eotaxin,Cuprizone,6.95,12.22461538
XYO,249,Eotaxin,Cuprizone,14.4,12.22461538
XYO,250,Eotaxin,Cuprizone,8.79,12.22461538
XYT,253,Eotaxin,Ctrl,9.65,12.22461538
XYT,258,Eotaxin,Ctrl,12.11,12.22461538
XYT,887,Eotaxin,Ctrl,23.81,12.22461538
XYT,257,Eotaxin,Cuprizone,18.64,12.22461538
XYT,242,Eotaxin,Cuprizone,11.71,12.22461538
XYT,948,Eotaxin,Cuprizone,10.5,12.22461538
XXO,229,GM-CSF,Ctrl,19.19,16.88714286
XXO,231,GM-CSF,Ctrl,1.61,16.88714286
XXO,233,GM-CSF,Ctrl,22.05,16.88714286
XXO,247,GM-CSF,Cuprizone,16.33,16.88714286
XXO,251,GM-CSF,Cuprizone,19.19,16.88714286
XXO,235,GM-CSF,Cuprizone,16.33,16.88714286
XXO,236,GM-CSF,Cuprizone,8.04,16.88714286
XXT,240,GM-CSF,Ctrl,31.96,16.88714286
XXT,241,GM-CSF,Ctrl,8.04,16.88714286
XXT,252,GM-CSF,Ctrl,10.73,16.88714286
XXT,254,GM-CSF,Ctrl,33.35,16.88714286
XXT,243,GM-CSF,Cuprizone,19.19,16.88714286
XXT,246,GM-CSF,Cuprizone,16.33,16.88714286
XYO,238,GM-CSF,Ctrl,13.5,16.88714286
