"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"4","XXO",247,"Eotaxin","Cuprizone",13.27,12.22461538,1.08551472479946,0.118379295967874
"5","XXO",251,"Eotaxin","Cuprizone",10.91,12.22461538,0.892461616244322,-0.164137973078712
"6","XXO",235,"Eotaxin","Cuprizone",7.42,12.22461538,0.60697206164371,-0.720297982781516
"7","XXO",236,"Eotaxin","Cuprizone",3.61,12.22461538,0.295305814357654,-1.75971833251515
"12","XXT",243,"Eotaxin","Cuprizone",14.03,12.22461538,1.14768436992739,0.19872593421758
"13","XXT",246,"Eotaxin","Cuprizone",15.5,12.22461538,1.26793355195115,0.342479140759281
"18","XYO",248,"Eotaxin","Cuprizone",6.95,12.22461538,0.568525044261965,-0.81470419179145
"19","XYO",249,"Eotaxin","Cuprizone",14.4,12.22461538,1.17795117084494,0.236279736927355
"20","XYO",250,"Eotaxin","Cuprizone",8.79,12.22461538,0.719041027203262,-0.475854004258915
"24","XYT",257,"Eotaxin","Cuprizone",18.64,12.22461538,1.52479234892705,0.608612785251961
"25","XYT",242,"Eotaxin","Cuprizone",11.71,12.22461538,0.95790334795793,-0.0620479989011042
"26","XYT",948,"Eotaxin","Cuprizone",10.5,12.22461538,0.858922728741098,-0.219399746848834
"30","XXO",247,"GM-CSF","Cuprizone",16.33,16.88714286,0.967007867191099,-0.0484004679448995
"31","XXO",251,"GM-CSF","Cuprizone",19.19,16.88714286,1.13636748140828,0.184429452688786
"32","XXO",235,"GM-CSF","Cuprizone",16.33,16.88714286,0.967007867191099,-0.0484004679448995
"33","XXO",236,"GM-CSF","Cuprizone",8.04,16.88714286,0.476101852554589,-1.07065785232767
"38","XXT",243,"GM-CSF","Cuprizone",19.19,16.88714286,1.13636748140828,0.184429452688786
"39","XXT",246,"GM-CSF","Cuprizone",16.33,16.88714286,0.967007867191099,-0.0484004679448995
"44","XYO",248,"GM-CSF","Cuprizone",10.73,16.88714286,0.635394636556062,-0.654275182750072
"45","XYO",249,"GM-CSF","Cuprizone",22.05,16.88714286,1.30572709562546,0.384853396938289
"46","XYO",250,"GM-CSF","Cuprizone",13.5,16.88714286,0.79942475242375,-0.322965851568401
"50","XYT",257,"GM-CSF","Cuprizone",10.73,16.88714286,0.635394636556062,-0.654275182750072
"51","XYT",242,"GM-CSF","Cuprizone",22.05,16.88714286,1.30572709562546,0.384853396938289
"52","XYT",948,"GM-CSF","Cuprizone",13.5,16.88714286,0.79942475242375,-0.322965851568401
"56","XXO",247,"IFNg","Cuprizone",7,5.268571429,1.32863340553184,0.409943093343239
"57","XXO",251,"IFNg","Cuprizone",2.35,5.268571429,0.446041214714259,-1.16475107192409
"58","XXO",235,"IFNg","Cuprizone",3.31,5.268571429,0.62825379604434,-0.670580611681872
"59","XXO",236,"IFNg","Cuprizone",4.18,5.268571429,0.793383947874725,-0.333908886408207
"64","XXT",243,"IFNg","Cuprizone",6.03,5.268571429,1.14452277647957,0.194746173410995
"65","XXT",246,"IFNg","Cuprizone",7,5.268571429,1.32863340553184,0.409943093343239
"70","XYO",248,"IFNg","Cuprizone",2.35,5.268571429,0.446041214714259,-1.16475107192409
"71","XYO",249,"IFNg","Cuprizone",3.74,5.268571429,0.709869848098438,-0.494373558601453
"72","XYO",250,"IFNg","Cuprizone",6.76,5.268571429,1.28308026019932,0.359611417793095
"76","XYT",257,"IFNg","Cuprizone",2.35,5.268571429,0.446041214714259,-1.16475107192409
"77","XYT",242,"IFNg","Cuprizone",4.4,5.268571429,0.835140997762868,-0.25990830496443
"78","XYT",948,"IFNg","Cuprizone",2.35,5.268571429,0.446041214714259,-1.16475107192409
"82","XXO",247,"IL1a","Cuprizone",59.78,40.70714286,1.46853833995659,0.554380931405486
"83","XXO",251,"IL1a","Cuprizone",27.73,40.70714286,0.681207229290668,-0.55383434923313
"84","XXO",235,"IL1a","Cuprizone",36.58,40.70714286,0.898613791830243,-0.154226890523892
"85","XXO",236,"IL1a","Cuprizone",40.94,40.70714286,1.00572030173675,0.00822913675080166
"90","XXT",243,"IL1a","Cuprizone",40.94,40.70714286,1.00572030173675,0.00822913675080166
"91","XXT",246,"IL1a","Cuprizone",36.58,40.70714286,0.898613791830243,-0.154226890523892
"96","XYO",248,"IL1a","Cuprizone",36.58,40.70714286,0.898613791830243,-0.154226890523892
"97","XYO",249,"IL1a","Cuprizone",36.58,40.70714286,0.898613791830243,-0.154226890523892
"98","XYO",250,"IL1a","Cuprizone",43.1,40.70714286,1.05878224242437,0.0824059037038516
"102","XYT",257,"IL1a","Cuprizone",23.28,40.70714286,0.571889805188848,-0.806190907364325
"103","XYT",242,"IL1a","Cuprizone",34.38,40.70714286,0.844569222611366,-0.243712420794548
"104","XYT",948,"IL1a","Cuprizone",10.38,40.70714286,0.254992103859976,-1.97147552191473
"108","XXO",247,"IL1b","Cuprizone",10.11,3.5,2.88857142857143,1.53035617007069
"109","XXO",251,"IL1b","Cuprizone",3.07,3.5,0.877142857142857,-0.189116266462149
"110","XXO",235,"IL1b","Cuprizone",3.07,3.5,0.877142857142857,-0.189116266462149
"111","XXO",236,"IL1b","Cuprizone",3.14,3.5,0.897142857142857,-0.156590362940702
"116","XXT",243,"IL1b","Cuprizone",4.04,3.5,1.15428571428571,0.207000370919466
"117","XXT",246,"IL1b","Cuprizone",3.07,3.5,0.877142857142857,-0.189116266462149
"122","XYO",248,"IL1b","Cuprizone",3.07,3.5,0.877142857142857,-0.189116266462149
"123","XYO",249,"IL1b","Cuprizone",3.14,3.5,0.897142857142857,-0.156590362940702
"124","XYO",250,"IL1b","Cuprizone",3.14,3.5,0.897142857142857,-0.156590362940702
"128","XYT",257,"IL1b","Cuprizone",3.07,3.5,0.877142857142857,-0.189116266462149
"129","XYT",242,"IL1b","Cuprizone",3.14,3.5,0.897142857142857,-0.156590362940702
"130","XYT",948,"IL1b","Cuprizone",3.07,3.5,0.877142857142857,-0.189116266462149
"134","XXO",247,"IL2","Cuprizone",10.47,13.92,0.752155172413793,-0.41089776891792
"135","XXO",251,"IL2","Cuprizone",8.92,13.92,0.640804597701149,-0.642043595928424
"136","XXO",235,"IL2","Cuprizone",11.96,13.92,0.859195402298851,-0.218941821650623
"137","XXO",236,"IL2","Cuprizone",11.12,13.92,0.798850574712644,-0.324002423125221
"142","XXT",243,"IL2","Cuprizone",16.5,13.92,1.18534482758621,0.24530681328445
"143","XXT",246,"IL2","Cuprizone",13.79,13.92,0.99066091954023,-0.013536754334748
"148","XYO",248,"IL2","Cuprizone",11.75,13.92,0.844109195402299,-0.244498454396366
"149","XYO",249,"IL2","Cuprizone",9.59,13.92,0.688936781609195,-0.537556490830598
"150","XYO",250,"IL2","Cuprizone",11.75,13.92,0.844109195402299,-0.244498454396366
"154","XYT",257,"IL2","Cuprizone",11.96,13.92,0.859195402298851,-0.218941821650623
"155","XYT",242,"IL2","Cuprizone",15.93,13.92,1.14439655172414,0.194587055676581
"156","XYT",948,"IL2","Cuprizone",11.96,13.92,0.859195402298851,-0.218941821650623
"160","XXO",247,"IL6","Cuprizone",9.42,4.197857143,2.24400204178173,1.16607398863255
"161","XXO",251,"IL6","Cuprizone",3.67,4.197857143,0.874255572541288,-0.193873008137023
"162","XXO",235,"IL6","Cuprizone",2.71,4.197857143,0.64556746637245,-0.631360219626364
"163","XXO",236,"IL6","Cuprizone",2.41,4.197857143,0.574102433194688,-0.800619924750274
"168","XXT",243,"IL6","Cuprizone",5.81,4.197857143,1.38403947587599,0.468885092424293
"169","XXT",246,"IL6","Cuprizone",4.7,4.197857143,1.11961885311827,0.163007685584764
"174","XYO",248,"IL6","Cuprizone",2.42,4.197857143,0.57648460096728,-0.794646023705641
"175","XYO",249,"IL6","Cuprizone",3.67,4.197857143,0.874255572541288,-0.193873008137023
"176","XYO",250,"IL6","Cuprizone",4,4.197857143,0.952867109036826,-0.0696530712055108
"180","XYT",257,"IL6","Cuprizone",2.42,4.197857143,0.57648460096728,-0.794646023705641
"181","XYT",242,"IL6","Cuprizone",6,4.197857143,1.42930066355524,0.515309429515646
"182","XYT",948,"IL6","Cuprizone",3.02,4.197857143,0.719414667322804,-0.475104521655157
"186","XXO",247,"IL7","Cuprizone",5.26,5.349166667,0.983330736813626,-0.0242513557291017
"187","XXO",251,"IL7","Cuprizone",3.19,5.349166667,0.596354572326135,-0.745757731256535
"188","XXO",235,"IL7","Cuprizone",2.87,5.349166667,0.536532170086522,-0.898263418345716
"189","XXO",236,"IL7","Cuprizone",3.85,5.349166667,0.719738276945335,-0.47445570943914
"194","XXT",243,"IL7","Cuprizone",3.85,5.349166667,0.719738276945335,-0.47445570943914
"195","XXT",246,"IL7","Cuprizone",4.54,5.349166667,0.848730331774499,-0.236621857730489
"200","XYO",248,"IL7","Cuprizone",2.07,5.349166667,0.386976164487492,-1.36968338752208
"201","XYO",249,"IL7","Cuprizone",2.56,5.349166667,0.478579217916898,-1.0631703450214
"202","XYO",250,"IL7","Cuprizone",2.87,5.349166667,0.536532170086522,-0.898263418345716
"206","XYT",257,"IL7","Cuprizone",2.56,5.349166667,0.478579217916898,-1.0631703450214
"207","XYT",242,"IL7","Cuprizone",7.75,5.349166667,1.44882380424061,0.534882155140196
"208","XYT",948,"IL7","Cuprizone",2.07,5.349166667,0.386976164487492,-1.36968338752208
"212","XXO",247,"IL9","Cuprizone",149.41,507.7957143,0.29423249506145,-1.76497150813429
"213","XXO",251,"IL9","Cuprizone",560.59,507.7957143,1.10396756847934,0.142697790339558
"214","XXO",235,"IL9","Cuprizone",495.04,507.7957143,0.974880224584834,-0.036703117063327
"215","XXO",236,"IL9","Cuprizone",495.04,507.7957143,0.974880224584834,-0.036703117063327
"220","XXT",243,"IL9","Cuprizone",270.58,507.7957143,0.53285207491953,-0.908193012934361
"221","XXT",246,"IL9","Cuprizone",255.89,507.7957143,0.503923118675285,-0.988724449984549
"226","XYO",248,"IL9","Cuprizone",381.43,507.7957143,0.751148521459666,-0.412829900878231
"227","XYO",249,"IL9","Cuprizone",398.89,507.7957143,0.785532427247585,-0.348257262825995
"228","XYO",250,"IL9","Cuprizone",277.89,507.7957143,0.547247627686408,-0.869734299537738
"232","XYT",257,"IL9","Cuprizone",888.3,507.7957143,1.7493255161173,0.80679877227371
"233","XYT",242,"IL9","Cuprizone",281.53,507.7957143,0.554415864631885,-0.85095955404594
"234","XYT",948,"IL9","Cuprizone",897.71,507.7957143,1.76785659019887,0.822001247014145
"238","XXO",247,"IL10","Cuprizone",75.15,58.275,1.28957528957529,0.366896004787498
"239","XXO",251,"IL10","Cuprizone",41.53,58.275,0.712655512655513,-0.488723227591433
"240","XXO",235,"IL10","Cuprizone",56.82,58.275,0.975032175032175,-0.0364782678266873
"241","XXO",236,"IL10","Cuprizone",48.03,58.275,0.824195624195624,-0.278941290778815
"246","XXT",243,"IL10","Cuprizone",63.9,58.275,1.0965250965251,0.132938831818128
"247","XXT",246,"IL10","Cuprizone",67.61,58.275,1.16018876018876,0.214359547795803
"252","XYO",248,"IL10","Cuprizone",44.79,58.275,0.768597168597169,-0.379700433160531
"253","XYO",249,"IL10","Cuprizone",69.94,58.275,1.2001716001716,0.263240696681488
"254","XYO",250,"IL10","Cuprizone",46.82,58.275,0.803432003432003,-0.315752164904216
"258","XYT",257,"IL10","Cuprizone",111.26,58.275,1.90922350922351,0.932986006237384
"259","XYT",242,"IL10","Cuprizone",46.82,58.275,0.803432003432003,-0.315752164904216
"260","XYT",948,"IL10","Cuprizone",78.6,58.275,1.34877734877735,0.43165221312974
"264","XXO",247,"IL12p40","Cuprizone",8.54,5.62,1.51957295373665,0.603665939399564
"265","XXO",251,"IL12p40","Cuprizone",4.04,5.62,0.718861209964413,-0.476214837469131
"266","XXO",235,"IL12p40","Cuprizone",2.69,5.62,0.47864768683274,-1.0629639576643
"267","XXO",236,"IL12p40","Cuprizone",3.14,5.62,0.558718861209964,-0.839805571329299
"272","XXT",243,"IL12p40","Cuprizone",6.29,5.62,1.11921708185053,0.162489886658363
"273","XXT",246,"IL12p40","Cuprizone",4.94,5.62,0.879003558718861,-0.186059088636248
"278","XYO",248,"IL12p40","Cuprizone",9.9,5.62,1.76156583629893,0.816858394746046
"279","XYO",249,"IL12p40","Cuprizone",6.74,5.62,1.19928825622776,0.262178460960932
