,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL12p40,3.324775099,-2.413841186,2.425124701,0.025176599,0.040297984,-3.700180063
IL15,2.612458954,-1.980529146,2.434508591,0.024685121,0.040297984,-3.68257055
LIX,2.2388156,-0.901897006,2.940234639,0.008252113,0.027759403,-2.688573483
IL1a,1.66494402,-1.80133583,1.936484525,0.067461476,0.082452915,-4.562216729
KC,1.59579955,-0.330353597,3.94062533,0.000843835,0.018564362,-0.56436324
MIP1b,1.40241895,0.592721751,2.825973684,0.010623375,0.027759403,-2.919982185
GM-CSF,1.402198655,-0.939548641,2.499339738,0.021526857,0.040297984,-3.559971783
MIP1a,1.252248579,-0.682513732,2.416354529,0.025644172,0.040297984,-3.716606133
MCP1,1.220149797,-0.832750576,2.818367232,0.010802535,0.027759403,-2.935262801
IP10,1.185647225,2.36833698,3.125944741,0.005447071,0.027759403,-2.305752259
MCSF,1.182547119,-0.326392467,3.31669963,0.003537152,0.027759403,-1.905387362
IL9,1.168814692,-1.264595922,2.096992315,0.049273805,0.067751482,-4.291931528
VEGF,1.164488542,-0.867914515,3.029733202,0.006759653,0.027759403,-2.505041706
MIG,1.157960496,1.163146983,2.631015018,0.01624383,0.035736426,-3.306197595
IL12p70,1.117074006,-0.719611329,2.795604766,0.01135612,0.027759403,-2.980892897
Eotaxin,1.001333004,-0.469530627,3.123156039,0.00548137,0.027759403,-2.311555693
IL10,0.983240726,-0.910719844,2.350435198,0.029426018,0.04315816,-3.839065262
IL2,0.73317531,-0.60440065,2.007707996,0.058757585,0.076039227,-4.443985348
MIP2,0.649492569,-0.450701965,1.826283303,0.083185187,0.091503706,-4.739481391
IL7,0.604388797,-0.744435891,1.829159653,0.082737115,0.091503706,-4.734945351
IL6,0.33736689,-0.242345735,1.332569035,0.198062205,0.207493739,-5.43751513
IFNg,0.131733128,-0.745439364,0.385205539,0.704261756,0.704261756,-6.22491181
