Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXO,212,Eotaxin,Control,10.5,8.538095238
XXO,210,Eotaxin,Control,20.63,8.538095238
XXO,191,Eotaxin,Control,9.22,8.538095238
XXO,153,Eotaxin,Control,11.11,8.538095238
XXO,201,Eotaxin,Control,10.5,8.538095238
XXO,154,Eotaxin,Control,7.89,8.538095238
XXO,155,Eotaxin,Control,5.96,8.538095238
XXO,169,Eotaxin,Control,6.46,8.538095238
XXO,189,Eotaxin,Cuprizone,13.27,8.538095238
XXO,190,Eotaxin,Cuprizone,12.11,8.538095238
XXO,193,Eotaxin,Cuprizone,9.22,8.538095238
XXO,164,Eotaxin,Cuprizone,6.95,8.538095238
XYO,209,Eotaxin,Control,6.46,8.538095238
XYO,21,Eotaxin,Control,8.34,8.538095238
XYO,34,Eotaxin,Control,8.79,8.538095238
XYO,211,Eotaxin,Cuprizone,13.27,8.538095238
XYO,184,Eotaxin,Cuprizone,6.46,8.538095238
XXT,219,Eotaxin,Control,6.95,8.538095238
XXT,216,Eotaxin,Control,7.42,8.538095238
XXT,214,Eotaxin,Control,3.61,8.538095238
XXT,157,Eotaxin,Control,10.5,8.538095238
XXT,158,Eotaxin,Control,12.11,8.538095238
XXT,160,Eotaxin,Control,8.34,8.538095238
XXT,207,Eotaxin,Cuprizone,3.61,8.538095238
XXT,205,Eotaxin,Cuprizone,3.61,8.538095238
XXT,208,Eotaxin,Cuprizone,9.01,8.538095238
XXT,182,Eotaxin,Cuprizone,4.92,8.538095238
XXT,188,Eotaxin,Cuprizone,3.61,8.538095238
XXT,187,Eotaxin,Cuprizone,3.61,8.538095238
XYT,159,Eotaxin,Control,3.61,8.538095238
XYT,195,Eotaxin,Control,4.36,8.538095238
XYT,215,Eotaxin,Control,10.08,8.538095238
XYT,196,Eotaxin,Control,6.46,8.538095238
XYT,213,Eotaxin,Cuprizone,11.71,8.538095238
XYT,36,Eotaxin,Cuprizone,3.61,8.538095238
XYT,39,Eotaxin,Cuprizone,9.22,8.538095238
XYT,220,Eotaxin,Cuprizone,3.61,8.538095238
XYT,206,Eotaxin,Cuprizone,3.61,8.538095238
XYT,174,Eotaxin,Cuprizone,4.92,8.538095238
XXO,212,GM-CSF,Control,19.19,11.55380952
