"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"9","XXO",189,"Eotaxin","Cuprizone",13.27,8.538095238,1.55421081987233,0.636182210409309
"10","XXO",190,"Eotaxin","Cuprizone",12.11,8.538095238,1.41834913554287,0.504212704733444
"11","XXO",193,"Eotaxin","Cuprizone",9.22,8.538095238,1.07986614613586,0.110852495468454
"12","XXO",164,"Eotaxin","Cuprizone",6.95,8.538095238,0.813998884560111,-0.296901277350015
"16","XYO",211,"Eotaxin","Cuprizone",13.27,8.538095238,1.55421081987233,0.636182210409309
"17","XYO",184,"Eotaxin","Cuprizone",6.46,8.538095238,0.756609035145082,-0.40238009026696
"24","XXT",207,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"25","XXT",205,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"26","XXT",208,"Eotaxin","Cuprizone",9.01,8.538095238,1.05527049638656,0.0776128508526542
"27","XXT",182,"Eotaxin","Cuprizone",4.92,8.538095238,0.576240936983561,-0.795255939621645
"28","XXT",188,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"29","XXT",187,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"34","XYT",213,"Eotaxin","Cuprizone",11.71,8.538095238,1.37150027887754,0.455754915540331
"35","XYT",36,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"36","XYT",39,"Eotaxin","Cuprizone",9.22,8.538095238,1.07986614613586,0.110852495468454
"37","XYT",220,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"38","XYT",206,"Eotaxin","Cuprizone",3.61,8.538095238,0.422810931404605,-1.24191541807371
"39","XYT",174,"Eotaxin","Cuprizone",4.92,8.538095238,0.576240936983561,-0.795255939621645
"48","XXO",189,"GM-CSF","Cuprizone",16.33,11.55380952,1.41338663855694,0.499156175669831
