gene,MG3,DAM
0610040J01Rik,-0.825018432,-0.983298
2510009E07Rik,-0.122307366,-0.40289
4632427E13Rik,-0.100521883,3.805967
4930402H24Rik,0.100097751,-3.400699
4931406P16Rik,0.433915195,1.367752
4933406I18Rik,-0.750591456,-2.168038
9930021J03Rik,-0.115582961,-1.196733
9930111J21Rik2,0.120830443,-1.529304
Abca1,0.437840508,-0.903497
Abca9,-1.009072893,-1.460019
Abcb1b,0.357094829,-0.850848
Abcd2,0.285436024,1.384188
Abcg1,0.442720684,-0.20862
Abhd12,0.359015132,0.423508
Abi3,-0.284307006,-0.592831
Abl1,-0.275252718,-1.288069
Abl2,0.405345232,-0.21458
Abr,0.604068193,-0.405367
Acaca,1.333202598,2.382977
Acap2,-0.19039221,-1.879657
Acbd3,0.104654606,-1.387396
Acer3,0.395138696,0.165088
Acss1,-0.330710442,-1.482039
Actb,0.116332165,-0.354314
Actr2,0.114723359,-0.314339
Actr3,0.43016788,-0.652994
Adam10,-0.147708941,-0.412605
Adam17,0.234783071,-0.247093
Adap2,-0.426147678,-1.264355
Adar,0.341756336,1.377531
Adcy7,0.26084081,-1.257006
Aff1,0.216523568,-1.470413
Aff4,0.203754858,-0.386729
Aftph,-0.315620335,-1.015778
Agap1,0.278215548,-0.915272
Agmo,-0.952622054,-0.396307
Agps,-0.240809682,-1.008183
Aig1,0.463329598,1.201608
Aim2,0.19760427,-1.636425
Akap10,0.39621887,-0.827547
Akt3,0.490897144,0.581154
Alkbh1,0.334704049,-0.699419
Alpk1,0.54083199,0.763249
Ank,1.146982094,4.87659
Ankhd1,0.182259369,-0.636882
Ankrd10,-0.102928081,-0.880756
Ankrd12,0.218515064,0.378504
Ankrd17,0.172123209,-0.670183
Ankrd44,-0.473717348,-1.280359
Anks1,-0.218076131,-1.095602
Anxa3,0.225534662,0.715602
Ap3b1,0.158812448,-0.1625
Apaf1,0.313304809,0.988931
Apbb1ip,-0.201486648,-0.626852
Apbb2,1.268607232,2.651927
Apc,-0.351629745,-1.292027
Aplp2,0.737049408,2.283658
Apobec1,1.616262594,-0.637101
Apoe,0.950576694,3.428991
Arf4,0.326792741,-0.136605
Arfgef2,0.127053783,0.786519
Arglu1,-0.267355746,-0.465914
Arhgap12,-0.163893155,-1.263001
Arhgap22,-0.219342089,-1.216401
Arhgap25,0.736829383,-0.10863
Arhgap26,0.727245608,3.820647
Arhgap39,0.11783933,-0.452109
Arhgap5,-0.512190516,-0.809996
