gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
0610040J01Rik,0610040J01Rik.2,9.75E-89,-0.825018432,0.395,0.563,2.62E-84,blue,0.269118,-0.983298,4.411716,3.516102
2510009E07Rik,2510009E07Rik,2.25E-20,-0.122307366,0.253,0.231,6.03E-16,blue,0.193824,-0.40289,0.226155,0.302922
4632427E13Rik,4632427E13Rik,6.32E-29,-0.100521883,0.326,0.286,1.70E-24,blue,0.002059,3.805967,1.398183,0.991774
4930402H24Rik,4930402H24Rik,1.50E-28,0.100097751,0.263,0.183,4.03E-24,red,0.027647,-3.400699,0.642936,0.507881
4931406P16Rik,4931406P16Rik,5.18E-56,0.433915195,0.32,0.16,1.39E-51,red,0.055588,1.367752,2.225653,1.614514
4933406I18Rik,4933406I18Rik.2,2.31E-106,-0.750591456,0.629,0.732,6.20E-102,blue,0.004706,-2.168038,0.033458,0.220785
9930021J03Rik,9930021J03Rik,1.37E-20,-0.115582961,0.367,0.333,3.67E-16,blue,0.134412,-1.196733,1.10549,0.791814
9930111J21Rik2,9930111J21Rik2.1,1.16E-22,0.120830443,0.309,0.231,3.10E-18,red,0.185882,-1.529304,1.024966,0.737776
Abca1,Abca1.1,3.54E-49,0.437840508,0.838,0.681,9.49E-45,red,0.469118,-0.903497,2.906122,2.188873
Abca9,Abca9.1,8.99E-119,-1.009072893,0.322,0.519,2.41E-114,blue,0.476765,-1.460019,3.565944,2.76587
Abcb1b,Abcb1b,1.96E-47,0.357094829,0.384,0.23,5.26E-43,red,0.053824,-0.850848,0.028013,0.219626
Abcd2,Abcd2,2.49E-27,0.285436024,0.463,0.334,6.68E-23,red,0.122353,1.384188,4.715185,3.78488
Abcg1,Abcg1.1,1.11E-52,0.442720684,0.474,0.289,2.97E-48,red,0.201471,-0.20862,0.187256,0.28161
Abhd12,Abhd12,5.71E-39,0.359015132,0.865,0.737,1.53E-34,red,1.500588,0.423508,2.114691,1.52605
Abi3,Abi3.1,5.94E-33,-0.284307006,0.407,0.42,1.59E-28,blue,0.756471,-0.592831,3.335363,2.568305
Abl1,Abl1.1,1.08E-33,-0.275252718,0.372,0.374,2.89E-29,blue,0.28,-1.288069,3.985227,3.136565
Abl2,Abl2.1,2.78E-53,0.405345232,0.517,0.329,7.47E-49,red,0.111176,-0.21458,0.165088,0.275923
Abr,Abr.1,6.65E-86,0.604068193,0.737,0.489,1.78E-81,red,0.104706,-0.405367,0.437946,0.399118
Acaca,Acaca.2,7.68E-229,1.333202598,0.671,0.295,2.06E-224,red,0.012647,2.382977,4.23655,3.356883
Acap2,Acap2.1,4.83E-37,-0.19039221,0.678,0.645,1.30E-32,blue,0.342941,-1.879657,1.703125,1.208517
Acbd3,Acbd3,1.03E-29,0.104654606,0.264,0.186,2.77E-25,red,0.139706,-1.387396,1.22869,0.876899
Acer3,Acer3,1.23E-50,0.395138696,0.729,0.539,3.30E-46,red,0.317059,0.165088,1.967167,1.409444
Acss1,Acss1.1,7.15E-27,-0.330710442,0.292,0.321,1.92E-22,blue,0.106765,-1.482039,1.12184,0.804793
Actb,Actb.1,1.46E-34,0.116332165,0.372,0.269,3.92E-30,red,13.949706,-0.354314,8.339501,7.195905
Actr2,Actr2,4.26E-39,0.114723359,0.585,0.456,1.14E-34,red,0.841765,-0.314339,0.514741,0.44218
Actr3,Actr3.2,9.18E-59,0.43016788,0.538,0.336,2.46E-54,red,0.360588,-0.652994,0.079245,0.238189
Adam10,Adam10.1,1.66E-42,-0.147708941,0.468,0.412,4.44E-38,blue,0.662059,-0.412605,1.412919,1.001773
Adam17,Adam17,1.27E-45,0.234783071,0.499,0.347,3.41E-41,red,0.358529,-0.247093,0.012428,0.213039
Adap2,Adap2.1,1.05E-61,-0.426147678,0.706,0.727,2.82E-57,blue,0.432647,-1.264355,4.919634,3.972333
Adar,Adar,4.49E-35,0.341756336,0.273,0.154,1.21E-30,red,0.058235,1.377531,2.694438,2.004117
Adcy7,Adcy7.1,8.31E-45,0.26084081,0.505,0.346,2.23E-40,red,0.211471,-1.257006,1.505332,1.067909
Aff1,Aff1.2,3.04E-29,0.216523568,0.388,0.276,8.15E-25,red,0.150882,-1.470413,1.408953,0.998367
Aff4,Aff4.1,4.61E-37,0.203754858,0.462,0.331,1.24E-32,red,0.152647,-0.386729,0.454267,0.407641
Aftph,Aftph,8.66E-41,-0.315620335,0.517,0.517,2.32E-36,blue,0.330294,-1.015778,2.184521,1.581303
Agap1,Agap1,2.15E-23,0.278215548,0.263,0.17,5.77E-19,red,0.027647,-0.915272,0.224041,0.301719
Agmo,Agmo.2,5.69E-101,-0.952622054,0.418,0.594,1.53E-96,blue,0.072353,-0.396307,0.32368,0.348337
Agps,Agps.2,3.97E-35,-0.240809682,0.431,0.416,1.07E-30,blue,0.183235,-1.008183,1.885568,1.348174
Aig1,Aig1.1,9.81E-49,0.463329598,0.472,0.29,2.63E-44,red,0.066471,1.201608,1.466252,1.040286
