clusters,sample,cell.no,sample.total,ratio,groups,Avg,sem
1,XXO_NTG_E4_1,252,310,0.812903226,XXO_NTG_E4,0.806867298,0.011162758
2,XXO_NTG_E4_1,46,310,0.148387097,XXO_NTG_E4,0.1335252,0.017932709
3,XXO_NTG_E4_1,5,310,0.016129032,XXO_NTG_E4,0.011236669,0.002724823
4,XXO_NTG_E4_1,3,310,0.009677419,XXO_NTG_E4,0.030290294,0.013009747
5,XXO_NTG_E4_1,4,310,0.012903226,XXO_NTG_E4,0.018080539,0.004406505
1,XXO_NTG_E4_2,227,276,0.822463768,XXO_NTG_E4,0.806867298,0.011162758
2,XXO_NTG_E4_2,27,276,0.097826087,XXO_NTG_E4,0.1335252,0.017932709
3,XXO_NTG_E4_2,3,276,0.010869565,XXO_NTG_E4,0.011236669,0.002724823
4,XXO_NTG_E4_2,15,276,0.054347826,XXO_NTG_E4,0.030290294,0.013009747
5,XXO_NTG_E4_2,4,276,0.014492754,XXO_NTG_E4,0.018080539,0.004406505
1,XXO_NTG_E4_3,234,298,0.785234899,XXO_NTG_E4,0.806867298,0.011162758
2,XXO_NTG_E4_3,46,298,0.154362416,XXO_NTG_E4,0.1335252,0.017932709
3,XXO_NTG_E4_3,2,298,0.006711409,XXO_NTG_E4,0.011236669,0.002724823
4,XXO_NTG_E4_3,8,298,0.026845638,XXO_NTG_E4,0.030290294,0.013009747
5,XXO_NTG_E4_3,8,298,0.026845638,XXO_NTG_E4,0.018080539,0.004406505
1,XXO_P301S_E4_1,529,955,0.553926702,XXO_P301S_E4,0.580675916,0.022200777
2,XXO_P301S_E4_1,230,955,0.240837696,XXO_P301S_E4,0.204174198,0.02466832
3,XXO_P301S_E4_1,141,955,0.147643979,XXO_P301S_E4,0.145308676,0.026106165
4,XXO_P301S_E4_1,12,955,0.012565445,XXO_P301S_E4,0.029586556,0.010041621
5,XXO_P301S_E4_1,43,955,0.045026178,XXO_P301S_E4,0.040254653,0.00369153
1,XXO_P301S_E4_2,369,655,0.563358779,XXO_P301S_E4,0.580675916,0.022200777
2,XXO_P301S_E4_2,103,655,0.157251908,XXO_P301S_E4,0.204174198,0.02466832
3,XXO_P301S_E4_2,124,655,0.189312977,XXO_P301S_E4,0.145308676,0.026106165
4,XXO_P301S_E4_2,31,655,0.047328244,XXO_P301S_E4,0.029586556,0.010041621
5,XXO_P301S_E4_2,28,655,0.042748092,XXO_P301S_E4,0.040254653,0.00369153
1,XXO_P301S_E4_3,303,485,0.624742268,XXO_P301S_E4,0.580675916,0.022200777
2,XXO_P301S_E4_3,104,485,0.21443299,XXO_P301S_E4,0.204174198,0.02466832
3,XXO_P301S_E4_3,48,485,0.098969072,XXO_P301S_E4,0.145308676,0.026106165
4,XXO_P301S_E4_3,14,485,0.028865979,XXO_P301S_E4,0.029586556,0.010041621
5,XXO_P301S_E4_3,16,485,0.032989691,XXO_P301S_E4,0.040254653,0.00369153
1,XYO_NTG_E4_1,200,277,0.722021661,XYO_NTG_E4,0.723214588,0.019219992
2,XYO_NTG_E4_1,32,277,0.115523466,XYO_NTG_E4,0.134479603,0.02643529
