"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsix",0,2.21354119356209,0.496,0.004,0
"Xist",0,4.65060181442532,0.929,0.002,0
"Uty",6.95788503827459e-316,-1.71881232714149,0,0.423,1.8670788711706e-311
"Ddx3y",7.48621581624806e-198,-1.22595905715114,0,0.282,2.008851152132e-193
"Gm47283",4.07471851211195e-60,-0.78732462422308,0.144,0.366,1.09340996554012e-55
"Lsamp",2.10521711162426e-55,0.751289744970275,0.444,0.216,5.64913959733253e-51
"Cst3",1.26037047463924e-52,0.638309605469215,0.889,0.83,3.38207813164694e-48
"Tlr7",4.69492178188141e-51,-0.634774767813252,0.397,0.63,1.25983531095006e-46
"Tmsb4x",6.24496330420616e-51,-0.631064995844701,0.433,0.663,1.67577345305068e-46
"Nrg3",2.08226542597955e-42,0.626031117370356,0.327,0.155,5.58755104407352e-38
"Meg3",4.87010275192947e-40,0.611376966994519,0.66,0.472,1.30684337245275e-35
"Ttr",1.55007776542343e-33,-0.38222164344823,0.21,0.373,4.15947867573722e-29
"Snhg11",2.95668956118676e-33,0.538239043384092,0.613,0.518,7.93398076848854e-29
"Gria2",1.8466686971499e-32,0.520142775766431,0.378,0.31,4.95535078193205e-28
"Selplg",3.01558352650639e-32,0.524346289679883,0.56,0.488,8.09201683502724e-28
"Rftn1",8.11178222145203e-31,-0.498124101103334,0.369,0.552,2.17671564130444e-26
"Arhgap15",4.23314526069859e-30,-0.372583310493839,0.304,0.476,1.13592219925586e-25
"Apoe",3.44877071425336e-29,-0.507253284783006,0.298,0.472,9.25443133462748e-25
"Gm15283",3.72049028272982e-29,-0.588534917034477,0.276,0.447,9.9835636246772e-25
"Kdm6a",4.82275201319314e-29,0.466756377798398,0.363,0.295,1.29413727522025e-24
"Gpr34",5.03653572592458e-29,0.45632162598266,0.491,0.429,1.3515039966946e-24
"Nrxn3",6.6638824866599e-29,0.529548654840317,0.275,0.144,1.78818622647032e-24
"Lilrb4a",7.71986782188294e-29,-0.627500696053913,0.199,0.357,2.07154933132407e-24
"P2rx4",1.59917854649967e-26,-0.345133693987029,0.395,0.559,4.29123571167721e-22
"mt-Co3",3.57055677958899e-26,0.731584964950774,0.295,0.157,9.5812320623491e-22
"Tifa",1.07683935449505e-25,-0.23112902668246,0.158,0.261,2.88959072385202e-21
"Syt1",5.05602440083314e-25,0.414108382726995,0.279,0.23,1.35673358771956e-20
"Hif1a",8.37132647411338e-25,-0.507642322015241,0.324,0.484,2.24636174606358e-20
"Nfat5",3.00144805468965e-24,-0.106764963501133,0.408,0.533,8.05408570995421e-20
"Myo1e",3.50489712694212e-24,-0.47518943160448,0.387,0.549,9.40504095043649e-20
"Apobec1",4.42114097988974e-24,-0.563920808220133,0.401,0.557,1.18636897054361e-19
"Gm26917",8.45972414777521e-24,-0.341754469404636,0.299,0.45,2.270082377814e-19
"Akap10",1.77900120075712e-23,-0.186466156668198,0.466,0.602,4.77377182211166e-19
"Cmss1",2.42945671162519e-23,-0.115425188255647,0.431,0.553,6.51920413997503e-19
"Atp2c1",4.3805428655932e-23,0.33165985043428,0.47,0.439,1.17547487255328e-18
"Lyst",5.26364778274115e-23,-0.529156661020123,0.502,0.641,1.41244724602076e-18
"Prkce",6.57581797177628e-23,0.395901088411673,0.432,0.381,1.76455499454645e-18
"Axl",9.30263695695692e-23,-0.35142174470176,0.232,0.37,2.49626960102982e-18
"Ppard",2.11453406528275e-22,-0.169153053706735,0.336,0.458,5.67414071077973e-18
"Nufip2",2.82684536455834e-22,-0.147669504831015,0.286,0.392,7.58555685125586e-18
"Adcy7",2.99815873383271e-22,-0.197703463041325,0.358,0.487,8.0452591463667e-18
"Fkbp5",8.1484307041386e-22,0.346993533194004,0.459,0.462,2.18654989514855e-17
"Gas7",1.0058109263332e-21,-0.540367539158812,0.171,0.301,2.6989930397225e-17
"Col27a1",1.49149075594703e-21,0.314548695447138,0.286,0.263,4.00226629450825e-17
"Abcg1",2.34981131572461e-21,-0.325905053203971,0.32,0.462,6.30548368461542e-17
"Mtus1",2.41296955679891e-21,0.121326381343851,0.305,0.344,6.47496250871419e-17
"Kdm5c",2.48300609728818e-21,0.250717022601684,0.259,0.252,6.6628985614631e-17
"Gtf2i",3.36885587419395e-21,0.172893924496032,0.358,0.387,9.03998785281205e-17
"Nck1",5.00167874803101e-21,-0.179248629416854,0.231,0.333,1.34215047524664e-16
"Rbfox1",6.32350614832085e-21,0.414689020307468,0.394,0.302,1.69684963984042e-16
