,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Csmd3,0,0.870368752,0.979,0.753,0,1,Csmd3
Tanc2,0,0.573727314,0.989,0.884,0,1,Tanc2
Plxdc2,0,0.427992158,0.995,0.842,0,1,Plxdc2
mt-Cytb,0,-1.344754197,0.067,0.332,0,1,mt-Cytb
mt-Co2,0,-1.497583902,0.096,0.389,0,1,mt-Co2
Lilrb4a,0,-1.522985002,0.091,0.371,0,1,Lilrb4a
mt-Co1,0,-1.574774072,0.136,0.418,0,1,mt-Co1
mt-Atp6,0,-1.643187591,0.106,0.408,0,1,mt-Atp6
mt-Co3,0,-1.846527791,0.137,0.451,0,1,mt-Co3
Nav2,2.06810182772249e-316,0.504853758,0.99,0.831,5.54954444451054e-312,1,Nav2
Nav3,4.38E-266,0.626771262,0.939,0.749,1.18E-261,1,Nav3
mt-Nd1,1.74E-254,-1.060369644,0.048,0.259,4.67E-250,1,mt-Nd1
Arhgap15,5.22E-244,-1.727358345,0.201,0.452,1.40E-239,1,Arhgap15
Rapgef5,5.12E-225,0.645294835,0.887,0.684,1.38E-220,1,Rapgef5
Srgap2,3.13E-224,0.48308688,0.982,0.902,8.41E-220,1,Srgap2
Numb,7.00E-201,0.636716705,0.869,0.696,1.88E-196,1,Numb
Siglech,9.57E-199,0.721057814,0.726,0.464,2.57E-194,1,Siglech
Mdfic,2.89E-194,-1.060901141,0.068,0.261,7.74E-190,1,Mdfic
Zfhx3,1.58E-190,0.523906992,0.952,0.838,4.23E-186,1,Zfhx3
Mertk,5.27E-190,0.43602524,0.968,0.845,1.41E-185,1,Mertk
Frmd4a,1.19E-188,0.515723422,0.924,0.776,3.18E-184,1,Frmd4a
Elmo1,3.12E-185,0.474555482,0.984,0.936,8.36E-181,1,Elmo1
Myo5a,3.27E-184,-1.04912925,0.305,0.515,8.79E-180,1,Myo5a
Dock4,8.65E-178,0.426288505,0.976,0.889,2.32E-173,1,Dock4
Gm10790,1.25E-175,0.71531469,0.716,0.476,3.35E-171,1,Gm10790
Atp8a2,6.64E-175,0.588950723,0.824,0.616,1.78E-170,1,Atp8a2
Inpp5d,2.51E-171,0.402890672,0.981,0.919,6.74E-167,1,Inpp5d
Hexb,6.17E-171,0.347607016,0.968,0.83,1.66E-166,1,Hexb
mt-Nd4,3.15E-167,-0.885725484,0.074,0.252,8.46E-163,1,mt-Nd4
Apobec1,2.47E-165,-1.026965066,0.317,0.48,6.63E-161,1,Apobec1
Epb41l2,1.31E-164,0.414125914,0.959,0.836,3.50E-160,1,Epb41l2
Trps1,3.51E-159,-1.119998256,0.164,0.366,9.43E-155,1,Trps1
Gm2629,3.00E-156,0.551937852,0.813,0.618,8.05E-152,1,Gm2629
Qk,2.66E-151,0.39372433,0.972,0.884,7.13E-147,1,Qk
Pde3b,5.22E-148,0.518404277,0.887,0.747,1.40E-143,1,Pde3b
Plcl1,4.84E-138,0.447472434,0.908,0.755,1.30E-133,1,Plcl1
8030442B05Rik,2.43E-136,0.762735527,0.478,0.254,6.53E-132,1,8030442B05Rik
Gas7,1.18E-128,-1.006796952,0.111,0.276,3.16E-124,1,Gas7
Cdh23,3.03E-123,0.683857308,0.597,0.394,8.14E-119,1,Cdh23
Maml3,3.47E-121,0.455187313,0.91,0.784,9.31E-117,1,Maml3
Ldlrad4,7.93E-119,0.348415983,0.962,0.868,2.13E-114,1,Ldlrad4
Dip2b,9.27E-118,0.479438787,0.853,0.733,2.49E-113,1,Dip2b
Gm35188,1.06E-115,0.551363501,0.797,0.638,2.84E-111,1,Gm35188
4933406I18Rik,4.96E-110,0.520789057,0.778,0.623,1.33E-105,1,4933406I18Rik
Bcl2,1.41E-108,-1.332495721,0.14,0.282,3.79E-104,1,Bcl2
Selplg,2.62E-108,0.571288687,0.648,0.452,7.03E-104,1,Selplg
Cx3cr1,3.00E-108,0.448334343,0.817,0.66,8.04E-104,1,Cx3cr1
Fgd2,1.78E-107,0.532958822,0.674,0.496,4.78E-103,1,Fgd2
Slco2b1,1.28E-106,0.492744614,0.776,0.61,3.44E-102,1,Slco2b1
Chd9,8.10E-106,0.415475909,0.903,0.807,2.17E-101,1,Chd9
Gm46367,1.35E-105,0.609653745,0.583,0.4,3.63E-101,1,Gm46367
Rftn1,3.21E-103,-0.741689933,0.268,0.445,8.61E-99,1,Rftn1
Ifitm10,3.87E-99,0.526570883,0.67,0.483,1.04E-94,1,Ifitm10
P2ry12,1.03E-98,0.499996799,0.742,0.572,2.75E-94,1,P2ry12
Neat1,1.86E-97,-0.77360741,0.247,0.41,4.99E-93,1,Neat1
E230029C05Rik,4.32E-97,0.438087394,0.801,0.641,1.16E-92,1,E230029C05Rik
Arhgap5,4.58E-97,0.474410917,0.779,0.628,1.23E-92,1,Arhgap5
Rbpj,1.01E-96,-1.34566771,0.283,0.404,2.71E-92,1,Rbpj
Csf1r,5.07E-94,0.38248474,0.867,0.747,1.36E-89,1,Csf1r
Bin1,5.51E-94,0.449616046,0.776,0.637,1.48E-89,1,Bin1
Pag1,7.23E-94,0.348854776,0.916,0.821,1.94E-89,1,Pag1
Apoe,3.40E-93,-0.722337563,0.194,0.355,9.12E-89,1,Apoe
Sp100,3.40E-92,-0.754667301,0.212,0.374,9.13E-88,1,Sp100
Slc24a3,8.02E-92,0.579974993,0.552,0.367,2.15E-87,1,Slc24a3
0610040J01Rik,5.27E-90,0.556195217,0.604,0.436,1.42E-85,1,0610040J01Rik
Xylt1,1.54E-89,-0.860092588,0.195,0.333,4.12E-85,1,Xylt1
Ivns1abp,1.48E-88,0.476413256,0.77,0.637,3.98E-84,1,Ivns1abp
Arhgap26,9.02E-88,-0.827216603,0.143,0.279,2.42E-83,1,Arhgap26
Capn3,1.07E-87,0.58839245,0.479,0.308,2.86E-83,1,Capn3
Ddhd1,2.65E-86,-0.733948537,0.176,0.319,7.11E-82,1,Ddhd1
Osbpl8,3.66E-84,-0.636298805,0.438,0.563,9.83E-80,1,Osbpl8
Lpcat2,2.92E-83,0.402396986,0.784,0.648,7.82E-79,1,Lpcat2
Phyhd1,3.02E-79,0.457067687,0.654,0.505,8.12E-75,1,Phyhd1
Dennd4a,6.97E-79,0.37489577,0.837,0.722,1.87E-74,1,Dennd4a
Lyst,2.36E-78,-0.627560455,0.455,0.546,6.34E-74,1,Lyst
Ptprc,2.61E-78,-0.475866633,0.75,0.823,7.00E-74,1,Ptprc
Apbb2,4.23E-77,-0.487222795,0.579,0.619,1.14E-72,1,Apbb2
Nlrc5,6.72E-77,-0.720847769,0.139,0.263,1.80E-72,1,Nlrc5
Tgfbr1,7.81E-76,0.143378206,0.948,0.847,2.09E-71,1,Tgfbr1
Ophn1,1.53E-74,0.329056667,0.878,0.769,4.10E-70,1,Ophn1
Adap2,2.64E-72,0.402392476,0.769,0.653,7.09E-68,1,Adap2
Lgmn,5.32E-71,0.358377715,0.819,0.694,1.43E-66,1,Lgmn
Ptgs1,5.98E-71,0.541428525,0.414,0.26,1.60E-66,1,Ptgs1
Axl,9.15E-71,-0.574087534,0.156,0.291,2.46E-66,1,Axl
Fmn1,2.43E-69,-0.68166068,0.247,0.37,6.51E-65,1,Fmn1
St3gal6,2.78E-69,0.479591445,0.585,0.436,7.46E-65,1,St3gal6
Col27a1,6.65E-69,0.582291143,0.366,0.229,1.78E-64,1,Col27a1
Fam102b,8.12E-69,0.548369748,0.485,0.341,2.18E-64,1,Fam102b
P3h2,2.96E-68,0.512942663,0.567,0.419,7.94E-64,1,P3h2
Agmo,7.80E-68,0.506403364,0.624,0.482,2.09E-63,1,Agmo
Ssh2,2.63E-67,0.303420164,0.921,0.849,7.05E-63,1,Ssh2
A830008E24Rik,5.67E-67,0.591852368,0.417,0.272,1.52E-62,1,A830008E24Rik
Fth1,7.82E-65,-0.614729394,0.357,0.5,2.10E-60,1,Fth1
Mef2a,2.00E-64,0.252750704,0.963,0.906,5.38E-60,1,Mef2a
Apbb1ip,4.31E-64,0.278019026,0.901,0.816,1.16E-59,1,Apbb1ip
3-Mar,3.49E-63,-0.71565475,0.259,0.394,9.37E-59,1,3-Mar
Pld1,4.54E-63,0.48310652,0.524,0.396,1.22E-58,1,Pld1
Mir99ahg,9.28E-63,0.228441916,0.921,0.824,2.49E-58,1,Mir99ahg
Whrn,2.55E-62,0.538519656,0.351,0.215,6.85E-58,1,Whrn
Cacnb2,3.67E-62,0.509751406,0.539,0.392,9.86E-58,1,Cacnb2
Fchsd2,4.51E-62,0.389276556,0.783,0.678,1.21E-57,1,Fchsd2
