,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mt-Co1,457789.5654,-0.20108142,0.104030238,-1.957226831,0.050320806,0.744195683
mt-Cytb,189457.5319,-0.181378512,0.104236077,-1.762707271,0.077949874,0.768175383
mt-Nd1,172487.0949,-0.17537102,0.104207147,-1.705717543,0.088060682,0.77152809
mt-Rnr2,158491.8542,-0.068191257,0.099752936,-0.68478524,0.493479451,0.905132108
Camk2a,129637.8239,-0.152823884,0.084936711,-1.80179306,0.07157797,0.762466348
mt-Nd5,122877.441,-0.160975015,0.103855057,-1.580011085,0.114104328,0.7892693
mt-Nd2,120727.7127,-0.168585838,0.103967606,-1.647629135,0.099428798,0.784052237
mt-Nd4,118704.8305,-0.160463749,0.103953532,-1.565359668,0.1174986,0.7892693
Kif5a,113792.4364,-0.172513127,0.088101506,-1.959903767,0.050007039,0.744195683
mt-Rnr1,100068.3796,-0.068477304,0.101130509,-0.678217502,0.497633797,0.907441314
Ddn,83822.98643,-0.144101411,0.084364519,-1.710806906,0.087116764,0.77152809
Irf7,95.74577511,0.581267755,0.100321612,5.78060075,7.44E-09,8.66E-05
Cpe,68143.30172,-0.100456779,0.075297207,-1.33406193,0.182183561,0.812582018
Apoe,60249.58487,-0.071385226,0.077805124,-0.917603247,0.358826617,0.865617462
Eef1a1,58935.56332,0.038090044,0.044891434,0.848509793,0.396154121,0.878587577
Mbp,57716.61778,-0.171690813,0.093772673,-1.832598863,0.066862247,0.762466348
Fth1,57196.51877,-0.069190039,0.067324427,-1.027545996,0.304163438,0.849814444
Ppp1r9b,54890.34626,-0.134800328,0.084660256,-1.593958651,0.110945296,0.7892693
Calm1,50910.76994,-0.033628944,0.036717799,-0.915869057,0.359735578,0.865858327
Bst2,215.9462244,0.57415699,0.103982834,5.37431951,7.69E-08,0.000377546
Agap2,44652.24465,-0.129139298,0.084146599,-1.536348924,0.124452826,0.7892693
Ttr,40030.35146,0.048148951,0.047769405,0.913829296,0.36080655,0.866172372
Sparcl1,39898.73587,-0.125740584,0.069473619,-1.810429071,0.070229275,0.762466348
CT010467.1,38168.60848,0.090685411,0.084540967,1.070334481,0.284468779,0.841808192
Lgals3bp,595.5396803,0.550864628,0.103434191,5.313401479,1.08E-07,0.000396336
Cst3,36086.98842,-0.03891932,0.07729894,-0.503361719,0.614709981,0.93263378
Eef2,33864.86953,-0.102661478,0.067475606,-1.521867379,0.128042314,0.793659558
Cplx2,33693.35383,-0.092763103,0.063113037,-1.470105231,0.141533256,0.798353138
Ncdn,33587.82307,-0.013357973,0.072353901,-0.184586573,0.853553319,0.981088
Plp1,31779.14575,-0.125681049,0.073289977,-1.714770327,0.086387344,0.77152809
mt-Nd6,32017.98536,-0.17174659,0.104045049,-1.684614554,0.092062961,0.78177321
Sptbn2,31197.84269,-0.107834498,0.082702166,-1.304408275,0.192094415,0.816457768
Calm3,30812.84437,0.02481323,0.053701915,0.461950358,0.64411692,0.940674128
Adcy1,30577.77508,-0.146037672,0.086322852,-1.696410997,0.089808073,0.777247947
Aldoc,30321.54708,-0.086914034,0.068204363,-1.274373866,0.20253095,0.820747753
Ndrg2,29540.85668,-0.125776986,0.078961745,-1.593195614,0.111116315,0.7892693
Map2,29082.40074,-0.132352545,0.087719987,-1.512951234,0.130292046,0.79741768
Car8,193.4205379,0.475771937,0.100401297,-2.835787377,0.004571287,0.553569634
Hpcal4,28736.67522,-0.129556354,0.073194653,-1.770676826,0.076614458,0.767363025
Nsmf,28473.40404,-0.133781383,0.07622752,-1.755834951,0.079116595,0.768175383
Rtp4,64.48955192,0.461095154,0.103950843,4.348521745,1.37E-05,0.0288488
Arf3,27766.7951,-0.105525805,0.057911573,-1.82236582,0.068399497,0.762466348
Atp1a3,27728.97758,-0.06720767,0.072255271,-0.930411928,0.352157845,0.863345836
Map1a,27803.90162,-0.136158121,0.086837243,-1.569741016,0.116475375,0.7892693
Gpm6b,26560.03955,-0.124546856,0.070793172,-1.760474376,0.078327408,0.768175383
Camk2n1,26248.18372,-0.120343274,0.070206171,-1.714744274,0.086392122,0.77152809
H2-D1,1063.347438,0.458366758,0.086898982,5.259150765,1.45E-07,0.000426467
Clu,24799.21682,-0.11091082,0.072246385,-1.534596672,0.124882931,0.7892693
Tmsb4x,24741.71324,-0.009351227,0.058274736,-0.160446902,0.872529046,0.984601309
Gpm6a,24646.089,-0.007338736,0.064516988,-0.113739138,0.909444586,0.989210296
Psd,24273.30375,-0.118939817,0.079236115,-1.502304036,0.133018607,0.79741768
Chd3,23938.53313,-0.126121108,0.083693985,-1.508921518,0.13131884,0.79741768
Psap,23294.47405,0.001975661,0.055863074,0.035356605,0.971795387,0.995553411
Kif5c,22631.88276,-0.091697824,0.074369999,-1.233787584,0.217282067,0.824686753
Snap25,22245.73322,0.041925753,0.081933768,0.511585717,0.608940984,0.93050699
Calm2,21751.3371,0.058918394,0.071069504,0.828920266,0.407149527,0.881314846
Ckb,21789.12195,-0.034879658,0.066351617,-0.525663465,0.599122053,0.927336843
2900097C17Rik,21628.24009,-0.111986805,0.060454575,-1.852706728,0.063924405,0.760793365
Tspan7,21337.86783,-0.094201078,0.051301485,-1.836348393,0.066306147,0.761029792
Hpca,20995.71783,0.078606787,0.081876177,0.959277569,0.337418932,0.859796939
Atp5b,20691.43119,0.067265105,0.052245151,1.287409187,0.197951704,0.81804942
Dlg4,20797.72258,-0.127333501,0.072232074,-1.763335767,0.077843876,0.768175383
