"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mt-Co1",457789.565420382,0.166474805873529,0.104030242428353,1.58267353373592,0.113495893650397,0.41811023243831
"mt-Cytb",189457.531946506,0.152154341191367,0.104236077616916,1.44322144298876,0.148958100909069,0.467644793526662
"mt-Nd1",172487.094856484,0.167319668455372,0.104207150769705,1.58662302519638,0.112598049366446,0.417723469270619
"mt-Rnr2",158491.854244784,0.167197665368627,0.0997531065207515,1.67347211236544,0.0942343920818474,0.387651027878426
"Camk2a",129637.823912965,0.0587550065945769,0.0849371184071152,0.690795309731302,0.489694183492544,0.768664660780606
"mt-Nd5",122877.441021876,0.164604058622759,0.103855041005432,1.55870387809086,0.119066483484314,0.425833605776634
"mt-Nd2",120727.712732996,0.135914331243537,0.103967589402084,1.28909140359559,0.197366311761962,0.526299635125809
"mt-Nd4",118704.830467251,0.132163882859691,0.103953512869313,1.25587311901162,0.209161975995622,0.539220839299388
"Kif5a",113792.436376934,0.121979673092447,0.0881021410465795,1.38332161053047,0.16656627459223,0.491352815329522
"mt-Rnr1",100068.379606207,0.141448456313602,0.101130723076746,1.39660981726875,0.162530936484737,0.485901297823829
"Ddn",83822.986432963,0.0493299585940345,0.0843650169665756,0.58380062817431,0.559354455577265,0.810406896212601
"Slc1a2",77121.3902551737,0.0919339943462675,0.091777870236347,0.997132656581652,0.318700123589563,0.642839384091738
"Cpe",68143.3017227723,0.209056959134433,0.075300049644851,2.77650909797924,0.00549460972476569,0.119355531452831
"Apoe",60249.5848684685,0.0691322941210441,0.0778075312615511,0.888391430888303,0.374330233176653,0.690386081102488
"Eef1a1",58935.5633239555,0.0744497005812466,0.0448984397010355,1.65815449268042,0.0972862873559132,0.391707789665749
"Mbp",57716.6177784787,0.163040322409256,0.0937736489716325,1.73724130108797,0.0823445876593878,0.364007210133473
"Fth1",57196.5187739239,0.117148297112595,0.0673295778016356,1.74022588789759,0.0818193616122121,0.362880966080786
"Ppp1r9b",54890.3462559483,0.0372375711570167,0.0846614654093557,0.439371204665463,0.66039258774621,0.865546062617728
"Calm1",50910.7699433624,-0.0331896949861802,0.0367276586308494,-0.903667481876856,0.366171746916834,0.683509994783303
"Glul",50221.6768109884,0.121475457310182,0.0657164199386887,1.8483391175865,0.06455330019003,0.332567264831815
"Agap2",44652.2446455904,0.0401374804130997,0.0841480712790152,0.476471738276535,0.633738337072673,0.852682474118101
"Ttr",40030.3514575706,0.0635544901922768,0.0477693608044836,1.62629522747817,0.103886866555541,0.403395874022915
