X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,color.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y,color.y
1700047M11Rik,197.6921452,-0.222603857,0.095094343,-2.344583886,0.019048325,0.707547848,blue,197.6921452,0.200607633,0.095280663,2.098820529,0.035832724,0.263121777,red
2310022B05Rik,2757.298771,-0.209581084,0.072798822,-2.881946419,0.003952269,0.545456169,blue,2757.298771,0.19633181,0.072790803,2.693307958,0.007074689,0.132785278,red
3425401B19Rik,8.068379016,-0.173987049,0.079700034,-2.286812968,0.022206742,NA,blue,8.068379016,0.18129775,0.079066568,2.213330706,0.026874854,NA,red
4930477O15Rik,1.414872703,-0.089024474,0.048257092,-1.999849187,0.045516551,NA,blue,1.414872703,-0.101286408,0.047314372,-1.96735216,0.049142626,NA,blue
4930578C19Rik,17.45511583,0.218748124,0.103644676,2.044090968,0.040944561,NA,red,17.45511583,0.204057363,0.103137002,2.022466017,0.043128231,0.282841467,red
4933431E20Rik,1636.790755,-0.120683433,0.059305378,-2.034740337,0.041877007,0.73082813,blue,1636.790755,0.130291752,0.059421253,2.191904578,0.028386397,0.236282276,red
A830019P07Rik,47.76263146,-0.229875854,0.102450113,-2.253132029,0.024250826,0.707547848,blue,47.76263146,0.330273483,0.102409335,3.158259894,0.00158714,0.072052693,red
A930009A15Rik,7.499028149,-0.218944018,0.088631779,-2.561844345,0.010411797,NA,blue,7.499028149,0.202822334,0.088015762,2.172858788,0.029790947,NA,red
Abcd3,1217.64677,-0.102636851,0.050430966,-2.034320234,0.041919318,0.73082813,blue,1217.64677,0.134642894,0.050615058,2.659055938,0.007835995,0.137486633,red
AC149090.1,3958.557323,-0.224604562,0.08526606,-2.632870659,0.008466658,0.639224869,blue,3958.557323,0.169936556,0.085301928,1.993329052,0.046225427,0.290189089,red
