X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_F_GDQvsSaline
Car8,193.4205379,0.475771937,0.100401297,-2.835787377,0.004571287,0.553569634,red,Car8
Pcp2,12.69731013,0.405611001,0.096898874,-3.3623112,0.00077293,NA,red,Pcp2
Gm11808,1031.012744,0.360117111,0.08956631,4.009438408,6.09E-05,0.056047515,red,Gm11808
Slfn8,28.07708274,0.345753219,0.103188327,3.272990944,0.001064159,0.330489348,red,Slfn8
H2-M3,48.47721414,0.334632916,0.099787207,3.365061043,0.000765267,0.296549742,red,H2-M3
Irf8,106.2915943,0.333705399,0.090054066,3.675195826,0.000237667,0.140071452,red,Irf8
Cd180,41.4243212,0.326580461,0.103686065,3.221726103,0.001274209,0.368121422,red,Cd180
Gm12174,94.01899685,0.311659032,0.094530867,3.280246101,0.001037166,0.330489348,red,Gm12174
Gm26917,261.3865343,0.308448491,0.075593995,3.378504601,0.000728812,0.290796869,red,Gm26917
Gm3375,60.6576811,0.306089186,0.0990084,3.027353459,0.002467053,0.484320111,red,Gm3375
Ccl12,14.760384,0.285515675,0.095353506,2.967193015,0.003005322,NA,red,Ccl12
Trim16,27.4007948,0.279805548,0.103809712,2.712348718,0.006680827,0.590364336,red,Trim16
Tnfrsf13b,30.72934119,0.276480737,0.103019327,2.76321506,0.005723504,0.577118774,red,Tnfrsf13b
Gm11451,22.74974104,0.272143303,0.103744554,2.695175939,0.007035147,NA,red,Gm11451
Slfn2,33.97377638,0.2676785,0.104178936,2.515106739,0.011899635,0.673909604,red,Slfn2
Pkp3,6.697441017,0.264689609,0.080538504,2.998328524,0.002714649,NA,red,Pkp3
Pip5k1b,513.384648,0.263261395,0.072758767,3.612194571,0.000303617,0.1597674,red,Pip5k1b
Klf10,262.5887912,0.262078653,0.094459213,2.780531637,0.005426997,0.577118774,red,Klf10
Rad51ap2,15.43273648,0.260576338,0.102915873,2.547748037,0.010842075,NA,red,Rad51ap2
Gm6013,15.93302685,0.260175926,0.100700574,2.517511102,0.011818724,NA,red,Gm6013
Osgin1,14.72349335,0.258572494,0.099501802,2.676158576,0.00744714,NA,red,Osgin1
Gm10123,3871.84568,0.254892178,0.10414173,2.458768054,0.013941466,0.702338324,red,Gm10123
Tsen54,112.7679868,0.253641613,0.08855761,2.837883001,0.004541383,0.553569634,red,Tsen54
Il1r1,224.9617577,0.251694446,0.092409841,2.712111344,0.006685613,0.590364336,red,Il1r1
Tti1,216.5534715,0.251435008,0.076935732,3.272060407,0.001067668,0.330489348,red,Tti1
Gm16894,18.11130468,0.250714739,0.103408707,2.405668969,0.016142885,NA,red,Gm16894
9430053O09Rik,46.56039694,0.248761447,0.101665648,2.515413504,0.011889285,0.673909604,red,9430053O09Rik
Cd53,156.3189696,0.248572927,0.085461868,2.907845308,0.003639283,0.545456169,red,Cd53
Fat2,27.40185791,0.246913147,0.070430759,-2.043942378,0.04095924,0.73082813,red,Fat2
Dnttip1,211.4808691,0.246145574,0.076314783,3.207228334,0.001340206,0.379742146,red,Dnttip1
Rpl28-ps3,19.39434309,0.245892572,0.103262259,2.338608572,0.019355701,NA,red,Rpl28-ps3
Kctd11,55.25401984,0.245694319,0.102440805,2.400590859,0.016368627,0.707547848,red,Kctd11
AW112010,27.09449984,0.244653534,0.104142231,2.292947337,0.021851037,0.707547848,red,AW112010
Gm26594,19.66879727,0.243234096,0.103505488,2.404157862,0.016209772,NA,red,Gm26594
Gm3724,40.79825575,0.243221316,0.101019374,2.420196775,0.01551211,0.707547848,red,Gm3724
6430571L13Rik,41.7352754,0.242604223,0.102573326,2.365589237,0.018001404,0.707547848,red,6430571L13Rik
Apex1,122.687994,0.238877631,0.102174412,2.319687961,0.020357764,0.707547848,red,Apex1
Tmem200b,23.29326995,0.237938964,0.102062613,2.222359941,0.02625899,0.714760317,red,Tmem200b
Hmgb1-ps2,102.9151571,0.235460383,0.088179919,2.654504009,0.00794251,0.639224869,red,Hmgb1-ps2
