X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Gm20559,27.92973612,0.460347307,0.104086933,4.253972862,2.10E-05,0.008070803,red,Gm20559
Smyd1,52.4134527,0.446316732,0.103732925,4.448365661,8.65E-06,0.004971076,red,Smyd1
Cxcl16,35.58610061,0.443739184,0.104029346,4.245624132,2.18E-05,0.008070803,red,Cxcl16
Ucp3,74.52461332,0.43821697,0.102679211,4.218248971,2.46E-05,0.008371536,red,Ucp3
Nfatc4,35.38397777,0.432440976,0.104197669,4.105066143,4.04E-05,0.011959342,red,Nfatc4
Gstt3,82.11927675,0.428060723,0.092718192,4.581150259,4.62E-06,0.002963258,red,Gstt3
Gstm2,59.06439271,0.424857479,0.101546563,4.154500931,3.26E-05,0.010248033,red,Gstm2
Ifih1,115.3826267,0.420140855,0.096454311,4.333779147,1.47E-05,0.00698833,red,Ifih1
H2-Eb1,69.89884035,0.418509955,0.098960224,4.557305905,5.18E-06,0.003197304,red,H2-Eb1
Apod,2955.720184,0.41630738,0.088739244,4.696908857,2.64E-06,0.001913322,red,Apod
Fbln5,118.0759109,0.415351758,0.103380103,4.095445495,4.21E-05,0.012103853,red,Fbln5
Plscr2,72.90404154,0.405672184,0.104210949,3.889894108,0.000100288,0.018596675,red,Plscr2
Cyp27a1,90.28963265,0.404249197,0.09437348,4.30270332,1.69E-05,0.007338027,red,Cyp27a1
Gbp9,69.08280177,0.398170627,0.099186009,3.973924241,7.07E-05,0.01578452,red,Gbp9
Slc2a4,27.79862711,0.394060593,0.10339327,3.7162645,0.00020219,0.025912971,red,Slc2a4
Igtp,76.41178818,0.390709883,0.103831117,3.787135725,0.000152394,0.022669948,red,Igtp
Pon2,1658.379227,0.386068156,0.089681444,4.314436718,1.60E-05,0.007327395,red,Pon2
C1qtnf1,24.80944826,0.381905646,0.099770907,3.745382812,0.000180119,0.024857822,red,C1qtnf1
Eif2ak2,172.881981,0.381859392,0.096794534,3.924090108,8.71E-05,0.017688729,red,Eif2ak2
Angptl4,51.67239627,0.379585575,0.103551083,3.675953864,0.000236962,0.028111367,red,Angptl4
Mettl11b,31.71883695,0.378057777,0.104101935,3.804935291,0.000141841,0.021290246,red,Mettl11b
Cd74,136.7048601,0.377585903,0.096081456,4.238802611,2.25E-05,0.008127471,red,Cd74
Tsc22d3,1483.878094,0.376421611,0.084741265,4.49480096,6.96E-06,0.004143534,red,Tsc22d3
Mgst1,272.1874588,0.37599414,0.09255195,4.070368532,4.69E-05,0.013034129,red,Mgst1
Sod3,261.8572205,0.374417671,0.099180292,3.807548332,0.000140351,0.02125812,red,Sod3
Lrrk1,91.33280517,0.372823822,0.096934041,3.84355182,0.000121266,0.019513121,red,Lrrk1
Epsti1,22.22262088,0.369583937,0.103907613,3.55252916,0.000381547,0.035327074,red,Epsti1
