,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tlr7,1534.713715,-5.729331095,0.107195301,-44.63488506,0,0
G530011O06Rik,87.8709273,-3.618491226,0.184880939,-12.73897399,3.59E-37,3.14E-34
Mid1,84.23235273,-2.672347174,0.177271392,-13.54863787,8.07E-42,8.14E-39
Mid1-ps1,36.4675289,-2.241464742,0.206634074,-9.538418786,1.45E-21,5.43E-19
Gm15726,20.41999593,-2.172916154,0.211703047,-6.985684556,2.83E-12,3.91E-10
Ifi208,27.08522191,-1.611111203,0.212615484,-6.325732723,2.52E-10,2.54E-08
Serpinb2,187.3076553,-1.315952026,0.138078341,-9.359425337,8.02E-21,2.84E-18
Syt4,55.89829732,-1.194150707,0.190030799,-6.254270279,3.99E-10,3.96E-08
Ccl7,1467.881562,-1.140445044,0.104017387,-10.93748871,7.63E-28,5.00E-25
Gm5483,17.40422099,-1.133035335,0.213124303,-4.654285296,3.25E-06,0.000145399
Gm15247,15.89280913,-1.125130221,0.212943943,-4.629230663,3.67E-06,0.000160853
Cxcl3,843.7751356,-1.118835528,0.130729913,-8.469091861,2.47E-17,6.11E-15
Gm16867,4.723766474,-1.039194138,0.173291911,-4.875380658,1.09E-06,NA
Chil3,56.6276133,-1.025225878,0.197111687,-5.363375621,8.17E-08,5.33E-06
Cldn11,53.09604915,-0.985761236,0.198295025,-5.053365643,4.34E-07,2.37E-05
Tnfsf14,133.8761027,-0.982780521,0.125669666,-7.72256134,1.14E-14,2.10E-12
Arg1,7244.840098,-0.972259374,0.035550265,-27.34826815,1.13E-164,4.95E-161
Kndc1,27.64956399,-0.945911639,0.204517782,-4.567012535,4.95E-06,0.000209125
Il33,23.77138825,-0.915021732,0.211147842,-4.131373952,3.61E-05,0.001141382
Ccl12,139.0899405,-0.911205931,0.159435492,-5.647934925,1.62E-08,1.19E-06
Neurl3,479.4574109,-0.907610372,0.088579748,-10.25401316,1.14E-24,5.51E-22
Gpr37,10.30605398,-0.905329306,0.206078933,-4.303252255,1.68E-05,NA
Ppbp,772.7565428,-0.86606286,0.083710512,-10.34577583,4.37E-25,2.29E-22
Slfn1,17.50360283,-0.852718566,0.213254982,-3.920862514,8.82E-05,0.002486451
Enpp6,12.84405936,-0.841200461,0.211819122,-4.010173375,6.07E-05,0.001813168
Ms4a4a,481.0670992,-0.840209791,0.135064001,-6.219259375,5.00E-10,4.74E-08
Ccr5,1608.373936,-0.828754401,0.058620749,-14.14800801,1.92E-45,2.10E-42
Plp1,560.3192813,-0.818884158,0.149312399,-5.502380095,3.75E-08,2.56E-06
