,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tlr7,1534.713715,-6.043266581,0.114627535,-41.18064053,0,0
G530011O06Rik,87.8709273,-3.372366191,0.184313769,-13.36033357,1.03E-40,6.16E-38
Cxcl3,843.7751356,-2.564640533,0.13333301,-19.04106694,7.79E-81,1.26E-77
Mid1,84.23235273,-2.50381316,0.180486128,-12.46937763,1.10E-35,4.21E-33
Ifi208,27.08522191,-2.081571918,0.212029437,-7.01405501,2.32E-12,1.29E-10
Gm15726,20.41999593,-1.90999328,0.212031806,-6.546751645,5.88E-11,2.70E-09
Serpinb2,187.3076553,-1.816761894,0.141677418,-12.55885652,3.55E-36,1.40E-33
Ppbp,772.7565428,-1.763588653,0.087326157,-20.12110019,4.82E-90,1.30E-86
Cxcl2,462.048337,-1.697070873,0.130272811,-12.96969433,1.82E-38,9.16E-36
Chil3,56.6276133,-1.619922589,0.194937661,-8.024022729,1.02E-15,8.60E-14
Ccl12,139.0899405,-1.565479253,0.157674625,-9.699304261,3.04E-22,4.41E-20
Cyr61,89.35717231,-1.534858018,0.206411716,-7.506075196,6.09E-14,4.11E-12
Plet1,77.16658392,-1.527303052,0.183869708,-8.225035094,1.95E-16,1.78E-14
Gbp5,68.90994583,-1.514805623,0.193185072,-7.628779424,2.37E-14,1.67E-12
Gap43,71.632567,-1.436960432,0.178804925,-7.877842203,3.33E-15,2.62E-13
Slfn1,17.50360283,-1.416929292,0.212452994,-5.998975459,1.99E-09,7.47E-08
Atp1b2,186.5822419,-1.354377542,0.14236386,-9.438210328,3.79E-21,5.10E-19
Col4a1,66.59115983,-1.308666067,0.198617364,-6.577279856,4.79E-11,2.23E-09
Bmp1,58.78675138,-1.30027588,0.185865604,-6.856378934,7.06E-12,3.65E-10
Sparc,178.0103208,-1.287446629,0.201820752,-6.548038404,5.83E-11,2.69E-09
Ifi205,73.73435065,-1.284540735,0.214000073,-5.532840095,3.15E-08,9.35E-07
Ccl7,1467.881562,-1.281035278,0.103795067,-12.30523938,8.49E-35,2.98E-32
Gbp4,31.93795477,-1.272895855,0.209869967,-6.019956508,1.74E-09,6.64E-08
Shroom3,25.03147935,-1.259508975,0.213509568,-5.890938267,3.84E-09,1.38E-07
Tnc,76.45091139,-1.242511995,0.213728622,-5.940086673,2.85E-09,1.05E-07
3110039I08Rik,16.88926856,-1.242310327,0.213210769,-5.463317663,4.67E-08,1.33E-06
Tm4sf1,39.89181143,-1.228702278,0.212849184,-6.101090279,1.05E-09,4.17E-08
Ccnd2,223.5404288,-1.225994251,0.125556394,-9.738700957,2.06E-22,3.08E-20
Ifi209,954.4248312,-1.2188943,0.196280306,-6.242534575,4.31E-10,1.77E-08
Cnn3,98.85314765,-1.214503977,0.180048424,-6.791713475,1.11E-11,5.59E-10
Akap12,39.57161051,-1.211274025,0.201430745,-5.895354965,3.74E-09,1.35E-07
Gm5483,17.40422099,-1.197118705,0.213279151,-4.957770514,7.13E-07,1.52E-05
Ifit1bl1,27.16777076,-1.197088521,0.211898416,-5.649615848,1.61E-08,5.08E-07
Tnfsf14,133.8761027,-1.184977721,0.130119263,-8.991934029,2.43E-19,2.84E-17
F10,598.9273682,-1.184632079,0.074431772,-15.88837615,7.63E-57,8.79E-54
Mx1,438.7551226,-1.167716152,0.213970058,-5.313383867,1.08E-07,2.80E-06
Slfn4,58.09949882,-1.158067129,0.213133399,-5.168367656,2.36E-07,5.72E-06
Oasl1,109.66369,-1.156140198,0.208719479,-4.917328934,8.77E-07,1.83E-05
Ccr5,1608.373936,-1.155780248,0.059830595,-19.31997549,3.65E-83,7.36E-80
Car4,11.22853845,-1.154783942,0.205964295,-4.684823045,2.80E-06,5.19E-05
Il1b,53.50615138,-1.153461586,0.194209559,-5.751854753,8.83E-09,2.94E-07
Lrig1,84.69238102,-1.144739588,0.158205022,-7.13755061,9.50E-13,5.59E-11
Megf6,12.44226823,-1.144570417,0.211432815,-4.973390069,6.58E-07,1.42E-05
Itga3,32.9579206,-1.127220833,0.21377104,-5.601617042,2.12E-08,6.54E-07
Vcam1,42.76863968,-1.123367986,0.210812803,-5.422494894,5.88E-08,1.62E-06
Itgb8,54.03317542,-1.123165604,0.197300798,-5.699039739,1.20E-08,3.90E-07
Vsig8,284.5557914,-1.120750526,0.10863856,-10.29429753,7.48E-25,1.44E-22
Gbp2,268.7302196,-1.120457843,0.157717354,-7.076425558,1.48E-12,8.46E-11
Ncan,638.5580197,-1.118815731,0.086314922,-12.94203567,2.61E-38,1.24E-35
Irf7,1374.856496,-1.111287273,0.213737145,-4.89252172,9.96E-07,2.05E-05
Gm4951,106.1838967,-1.108350797,0.206768408,-5.569161115,2.56E-08,7.81E-07
Ifit3b,77.4312664,-1.106808022,0.212509341,-4.756837317,1.97E-06,3.77E-05
Nrxn2,64.45127235,-1.084004821,0.171506187,-6.247681444,4.17E-10,1.73E-08
Mmp15,112.0663775,-1.083848757,0.148342573,-7.234911286,4.66E-13,2.85E-11
Tarm1,45.82348746,-1.083540378,0.187608571,-5.635040201,1.75E-08,5.48E-07
Disp3,80.06460384,-1.080926509,0.166927507,-6.360274909,2.01E-10,8.71E-09
Ifit3,582.5217374,-1.079600038,0.208232598,-4.547431509,5.43E-06,9.23E-05
Rsad2,901.9470749,-1.078798449,0.212980768,-4.424965325,9.65E-06,0.000153637
Cmpk2,589.2527972,-1.072939253,0.21170864,-4.818850051,1.44E-06,2.85E-05
Ptx3,13.3758102,-1.070468891,0.207266167,-4.956089207,7.19E-07,1.53E-05
Rtn1,162.5328785,-1.07018919,0.133348866,-7.999201436,1.25E-15,1.03E-13
H2-Q5,47.12747645,-1.069139248,0.195723677,-5.281869451,1.28E-07,3.28E-06
Bcar1,41.08883752,-1.064710491,0.21082397,-5.262503997,1.42E-07,3.59E-06
Ifi47,86.21552043,-1.062755506,0.210490401,-5.250237668,1.52E-07,3.81E-06
Oas3,662.9689254,-1.058142198,0.211859362,-4.867937477,1.13E-06,2.30E-05
Oas2,524.0672763,-1.058101555,0.213826849,-4.912744839,8.98E-07,1.87E-05
Vgf,35.80647351,-1.053024214,0.203933313,-5.143698047,2.69E-07,6.46E-06
Sox9,26.7155368,-1.045151279,0.213349188,-4.939619372,7.83E-07,1.65E-05
Ptprz1,159.0335748,-1.041899003,0.136665935,-7.583723388,3.36E-14,2.36E-12
Gm12250,149.9795717,-1.037270849,0.193499222,-5.343986572,9.09E-08,2.42E-06
Fads2,129.8131018,-1.033186628,0.179358853,-5.982336959,2.20E-09,8.22E-08
