GO biological process complete,Mus musculus - REFLIST (21983),upload_1 (1419),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
positive regulation of type II interferon-mediated signaling pathway ,8,5,9.68,5.29E-05,1.21E-03
positive regulation of type I interferon-mediated signaling pathway,21,9,6.64,2.74E-06,8.69E-05
response to interferon-alpha ,32,13,6.29,3.49E-08,1.63E-06
regulation of type II interferon-mediated signaling pathway,15,6,6.2,2.16E-04,4.12E-03
suppression of viral release by host ,23,9,6.06,6.77E-06,1.93E-04
response to interferon-beta,71,26,5.67,9.54E-14,8.95E-12
response to type I interferon ,41,15,5.67,1.68E-08,8.36E-07
positive regulation of interferon-beta production ,52,17,5.06,1.34E-08,6.85E-07
type I interferon-mediated signaling pathway ,31,10,5,1.54E-05,4.01E-04
endolysosomal toll-like receptor signaling pathway ,29,9,4.81,5.83E-05,1.32E-03
