X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_F
Cxcl1,30.01766253,1.042663102,0.20033318,4.86014107,1.17E-06,5.84E-05,Cxcl1
Lox,147.5195956,0.860113775,0.140339012,6.036983113,1.57E-09,1.37E-07,Lox
Peg10,46.25825608,0.797742076,0.199503245,3.989914307,6.61E-05,0.00195076,Peg10
Camk2b,35.6057738,0.744586689,0.20464963,3.84332616,0.000121378,0.003245994,Camk2b
Il1r1,49.38728303,0.713379753,0.192035907,3.700851673,0.000214877,0.005224024,Il1r1
Dnajb13,114.6827063,0.682674999,0.149082277,4.640744192,3.47E-06,0.000154208,Dnajb13
Gm14322,19.96218779,0.679114163,0.213873987,2.989969446,0.002790054,0.041033515,Gm14322
Fbln7,5.5900858,0.640674114,0.189494966,2.814907488,0.004879128,NA,Fbln7
Esr1,9.556811609,0.63709112,0.202899496,3.520542261,0.000430665,NA,Esr1
Vangl1,127.4484636,0.63488351,0.137346934,4.614010492,3.95E-06,0.000171381,Vangl1
Pbx1,158.4268817,0.632286671,0.125319265,5.034643078,4.79E-07,2.57E-05,Pbx1
Cacna1b,13.36856026,0.62526208,0.212403261,3.242446884,0.00118508,0.021157075,Cacna1b
2810455O05Rik,7.796814165,0.624367392,0.20441278,3.08997469,0.002001736,NA,2810455O05Rik
Gm47445,2.99211328,0.617608089,0.153562328,2.592845535,0.009518551,NA,Gm47445
D7Ertd128e,6.413143491,0.614731614,0.197784747,2.723871967,0.006452151,NA,D7Ertd128e
Gypc,14.21084951,0.614715937,0.210691149,2.921494689,0.003483562,0.048614056,Gypc
Yes1,96.38611087,0.612301475,0.157800493,3.870757671,0.000108498,0.002961985,Yes1
Hmga2,40.70757462,0.611884873,0.201491545,3.063418137,0.002188241,0.03423968,Hmga2
Rhoj,151.8261174,0.609051389,0.126563786,4.82022649,1.43E-06,6.93E-05,Rhoj
Epha5,14.00794501,0.59424112,0.211938462,3.235256198,0.001215336,0.021579629,Epha5
Gm14548,16.68207225,0.592922595,0.213103856,2.524934628,0.011571981,0.114878215,Gm14548
Tpm2,80.72718366,0.588512589,0.162886187,3.598837766,0.000319643,0.007374288,Tpm2
Gm10925,326.933393,0.586309876,0.149343025,3.928660066,8.54E-05,0.002412392,Gm10925
Plagl1,7.658377454,0.585896164,0.192431574,2.974974086,0.002930133,NA,Plagl1
Fzd4,73.18893911,0.583333934,0.182539145,3.250272067,0.001152946,0.020759447,Fzd4
Tox2,17.33470956,0.578713057,0.213713079,2.813407596,0.004901947,0.062480784,Tox2
Gm4924,36.89566472,0.57819245,0.192146549,2.975707313,0.002923137,0.042466505,Gm4924
Rnf208,8.726689436,0.576185039,0.197821417,2.838365111,0.004534528,NA,Rnf208
Slc39a12,13.33361819,0.575786251,0.20661093,2.754199272,0.005883593,0.071777089,Slc39a12
Stbd1,54.74932279,0.575164464,0.175241019,3.249286237,0.00115695,0.020796533,Stbd1
Pde8b,118.6780175,0.572827079,0.132635819,4.315599237,1.59E-05,0.000565249,Pde8b
Gm31105,6.415497295,0.5710801,0.195942712,2.828191719,0.004681176,NA,Gm31105
Slc6a17,27.65754325,0.568668707,0.197685991,2.602986444,0.009241561,0.098735315,Slc6a17
Fermt2,70.87023897,0.564044964,0.171568566,3.287531731,0.001010698,0.018627548,Fermt2
Mansc1,10.32584985,0.563075312,0.209283513,2.55678161,0.010564552,NA,Mansc1
Mkx,7.165289773,0.560010089,0.192461442,2.53544968,0.011230306,NA,Mkx
Ak1,229.8254718,0.558983614,0.110866158,5.029747065,4.91E-07,2.62E-05,Ak1
Gm7392,13.13668071,0.558876703,0.213528974,2.519185146,0.011762679,0.115980543,Gm7392
