X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Cyr61,89.35717231,-1.534858018,0.206411716,-7.506075196,6.09E-14,4.11E-12,Cyr61
Plet1,77.16658392,-1.527303052,0.183869708,-8.225035094,1.95E-16,1.78E-14,Plet1
Gap43,71.632567,-1.436960432,0.178804925,-7.877842203,3.33E-15,2.62E-13,Gap43
Atp1b2,186.5822419,-1.354377542,0.14236386,-9.438210328,3.79E-21,5.10E-19,Atp1b2
Col4a1,66.59115983,-1.308666067,0.198617364,-6.577279856,4.79E-11,2.23E-09,Col4a1
Bmp1,58.78675138,-1.30027588,0.185865604,-6.856378934,7.06E-12,3.65E-10,Bmp1
Sparc,178.0103208,-1.287446629,0.201820752,-6.548038404,5.83E-11,2.69E-09,Sparc
Ifi205,73.73435065,-1.284540735,0.214000073,-5.532840095,3.15E-08,9.35E-07,Ifi205
Shroom3,25.03147935,-1.259508975,0.213509568,-5.890938267,3.84E-09,1.38E-07,Shroom3
Tnc,76.45091139,-1.242511995,0.213728622,-5.940086673,2.85E-09,1.05E-07,Tnc
3110039I08Rik,16.88926856,-1.242310327,0.213210769,-5.463317663,4.67E-08,1.33E-06,3110039I08Rik
Tm4sf1,39.89181143,-1.228702278,0.212849184,-6.101090279,1.05E-09,4.17E-08,Tm4sf1
Cnn3,98.85314765,-1.214503977,0.180048424,-6.791713475,1.11E-11,5.59E-10,Cnn3
Akap12,39.57161051,-1.211274025,0.201430745,-5.895354965,3.74E-09,1.35E-07,Akap12
Mx1,438.7551226,-1.167716152,0.213970058,-5.313383867,1.08E-07,2.80E-06,Mx1
Car4,11.22853845,-1.154783942,0.205964295,-4.684823045,2.80E-06,5.19E-05,Car4
Lrig1,84.69238102,-1.144739588,0.158205022,-7.13755061,9.50E-13,5.59E-11,Lrig1
Megf6,12.44226823,-1.144570417,0.211432815,-4.973390069,6.58E-07,1.42E-05,Megf6
Itga3,32.9579206,-1.127220833,0.21377104,-5.601617042,2.12E-08,6.54E-07,Itga3
Vcam1,42.76863968,-1.123367986,0.210812803,-5.422494894,5.88E-08,1.62E-06,Vcam1
Itgb8,54.03317542,-1.123165604,0.197300798,-5.699039739,1.20E-08,3.90E-07,Itgb8
Gbp2,268.7302196,-1.120457843,0.157717354,-7.076425558,1.48E-12,8.46E-11,Gbp2
Ncan,638.5580197,-1.118815731,0.086314922,-12.94203567,2.61E-38,1.24E-35,Ncan
Irf7,1374.856496,-1.111287273,0.213737145,-4.89252172,9.96E-07,2.05E-05,Irf7
Gm4951,106.1838967,-1.108350797,0.206768408,-5.569161115,2.56E-08,7.81E-07,Gm4951
Ifit3b,77.4312664,-1.106808022,0.212509341,-4.756837317,1.97E-06,3.77E-05,Ifit3b
Nrxn2,64.45127235,-1.084004821,0.171506187,-6.247681444,4.17E-10,1.73E-08,Nrxn2
Mmp15,112.0663775,-1.083848757,0.148342573,-7.234911286,4.66E-13,2.85E-11,Mmp15
Tarm1,45.82348746,-1.083540378,0.187608571,-5.635040201,1.75E-08,5.48E-07,Tarm1
Disp3,80.06460384,-1.080926509,0.166927507,-6.360274909,2.01E-10,8.71E-09,Disp3
Ifit3,582.5217374,-1.079600038,0.208232598,-4.547431509,5.43E-06,9.23E-05,Ifit3
Rsad2,901.9470749,-1.078798449,0.212980768,-4.424965325,9.65E-06,0.000153637,Rsad2
Cmpk2,589.2527972,-1.072939253,0.21170864,-4.818850051,1.44E-06,2.85E-05,Cmpk2
Ptx3,13.3758102,-1.070468891,0.207266167,-4.956089207,7.19E-07,1.53E-05,Ptx3
Rtn1,162.5328785,-1.07018919,0.133348866,-7.999201436,1.25E-15,1.03E-13,Rtn1
H2-Q5,47.12747645,-1.069139248,0.195723677,-5.281869451,1.28E-07,3.28E-06,H2-Q5
