,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm10010,78.8776819,-1.098556222,0.17840266,-6.08366368,1.17E-09,5.23E-06
9530059O14Rik,28.85406725,-0.89218967,0.195865563,-4.456689709,8.32E-06,0.004608911
Nt5c1a,78.8067921,-0.854087142,0.176060506,-4.819835979,1.44E-06,0.001410622
Gm45640,32.16433569,-0.841934704,0.182536184,-4.577704808,4.70E-06,0.002927253
Pomc,97.72633291,-0.831897577,0.16958008,-4.204569322,2.62E-05,0.00932061
Ptar1,100.0859976,-0.820944355,0.171875345,-4.709035196,2.49E-06,0.002015573
Gm10524,172.9596061,-0.816742062,0.161492943,-4.999215941,5.76E-07,0.000732542
Lonrf3,159.9481124,-0.805340979,0.134074172,-5.976986991,2.27E-09,8.10E-06
Adcy1,26131.66067,-0.778723035,0.175222985,-4.371861201,1.23E-05,0.006255019
Cyp1b1,73.61776368,-0.765844793,0.172087349,-4.362502065,1.29E-05,0.006255019
Gm18609,206.0348896,-0.760327399,0.177986339,-4.216246293,2.48E-05,0.00932061
Dok6,681.3595035,-0.754542888,0.191266646,-3.827406986,0.0001295,0.024286077
Gm10179,32.06975296,-0.753359256,0.187165766,-3.987702645,6.67E-05,0.015045772
Omp,10.26460517,-0.743588913,0.17395493,-4.065055058,4.80E-05,0.012859597
Tcp11l1,395.6536272,-0.739491683,0.140731011,-5.196493494,2.03E-07,0.00032892
Notch3,182.0278996,-0.734688558,0.151294865,-4.824885372,1.40E-06,0.001410622
Soga1,599.1735848,-0.732344134,0.127784888,-5.704158164,1.17E-08,2.98E-05
Gm44200,10.52481456,-0.727608733,0.194096727,-3.685915051,0.000227882,0.033007741
Hmcn1,46.25269504,-0.724326326,0.180683338,-3.901664656,9.55E-05,0.01934118
Tnfsf13os,5.659250479,-0.72224691,0.17148951,-3.979968706,6.89E-05,0.015349451
Gm14569,58.10820681,-0.715009469,0.19477087,-3.603650836,0.000313779,0.041409467
Fam205c,75.36316039,-0.712072615,0.168342743,-4.216648196,2.48E-05,0.00932061
Cyp2a5,3.56222506,-0.70161416,0.128800044,-4.982389764,6.28E-07,NA
Lmod1,29.07029012,-0.696786468,0.191869297,-3.586295725,0.000335409,0.043867677
