Gene,FEMALElog2FoldChange.x,MALElog2FoldChange.y
1700001C02Rik,0.6254996,-0.498886104
1700001O22Rik,-0.36720175,0.390775137
1700109H08Rik,-0.38917634,0.611859517
2500004C02Rik,-0.29779564,0.314838238
2810455O05Rik,0.364978921,-0.446698429
2810459M11Rik,-0.548016779,0.426324779
3110001I22Rik,-0.47955934,-0.364708111
3110082J24Rik,-0.483031856,0.424168878
4632415L05Rik,-0.191623093,0.262893474
4930402H24Rik,-0.305018795,0.313590375
4930405A21Rik,-0.402563159,0.453979954
4931406P16Rik,-0.381067914,0.205155221
4933412E12Rik,0.522551942,-0.420147163
45356,0.226686173,-0.25776567
6530402F18Rik,-0.351394154,0.326668436
9330121K16Rik,0.40234375,-0.355057401
9330159F19Rik,0.332502186,-0.308755693
9530059O14Rik,-0.89218967,-1.185631341
AA474408,0.633309723,-0.416802101
Abca9,-0.430107178,0.598852386
Abcb10,-0.281904152,0.365968738
AC125351.1,-0.44522731,0.59223723
Acaca,-0.347971094,0.288045383
Ackr1,0.439415561,-0.536938722
Ackr4,1.069877626,-0.516357395
Actn2,0.395924011,-0.528924801
Adamtsl3,-0.470536193,0.639565592
Adamtsl5,-0.378656101,0.422291416
Adarb1,-0.264964159,0.383988607
Adcy1,-0.778723035,0.805944946
Adcyap1r1,-0.463592705,0.342271515
Add3,-0.337140164,0.354580384
Adgrl3,-0.397275127,0.249169388
Adra1a,-0.521507109,0.390388891
Afap1l1,-0.357402634,0.461983259
Ago2,-0.304417531,0.257817749
Agpat1,0.225018839,-0.219986468
Agpat3,-0.259764546,0.292958491
Agtr1b,-0.4382333,0.297900536
Aig1,0.440592007,-0.334330509
Akap12,-0.339699364,0.405932265
Akirin2,0.270209489,-0.284974244
Akr1a1,0.124826562,-0.151071443
Akt3,-0.208727332,0.243444873
Aldh1a2,-0.682770251,0.476024572
Aldoa,0.317474161,-0.462838339
Alpl,-0.506140594,0.364186353
Alx3,-0.383993734,0.509387321
Alx4,-0.558954217,0.640578502
Amer2,-0.277600727,0.284020775
Ampd3,-0.294007293,0.462166541
Ank3,-0.286193999,0.422370261
Ankfy1,-0.24057503,0.165921732
Ankrd34b,0.347601764,-0.31917839
