X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
1700001C02Rik,16.00390098,0.6254996,0.194823539,3.236859245,0.00120853,0.090848824,16.00390098,-0.498886104,0.19562837,-2.535125165,0.011240715,NA
1700001O22Rik,85.61321329,-0.36720175,0.170875255,-2.123194248,0.033737578,0.364063408,85.61321329,0.390775137,0.167828136,2.273734936,0.022981928,0.183769331
1700109H08Rik,30.31449366,-0.38917634,0.187979264,-2.082259889,0.037318738,0.377767402,30.31449366,0.611859517,0.186303001,3.259272606,0.001116983,0.063612997
2500004C02Rik,115.3606416,-0.29779564,0.139522548,-2.110651154,0.034802307,0.368887981,115.3606416,0.314838238,0.136338934,2.256666081,0.024028948,0.187401848
2810455O05Rik,116.2231641,0.364978921,0.171103685,2.049198224,0.040442736,0.387640523,116.2231641,-0.446698429,0.1686409,-2.557939572,0.010529439,0.139977922
2810459M11Rik,470.1981296,-0.548016779,0.179252504,-2.993384423,0.00275902,0.130383814,470.1981296,0.426324779,0.176157213,2.332174977,0.019691488,0.173839286
3110001I22Rik,23.38445794,-0.47955934,0.194007845,-2.407803945,0.016048797,0.275211561,23.38445794,-0.364708111,0.191661774,-1.971387039,0.048679622,0.240134438
3110082J24Rik,21.30055732,-0.483031856,0.193894446,-2.499583752,0.01243393,0.249116302,21.30055732,0.424168878,0.192196812,2.246457826,0.024674698,0.18867393
4632415L05Rik,408.8645886,-0.191623093,0.089965618,-2.134862222,0.032772266,0.358717111,408.8645886,0.262893474,0.088606589,2.966728697,0.003009864,0.095138452
4930402H24Rik,1910.41645,-0.305018795,0.121215497,-2.498086358,0.012486577,0.249116302,1910.41645,0.313590375,0.117995804,2.630173838,0.008534122,0.131334609
4930405A21Rik,4.77548058,-0.402563159,0.173707272,-2.289295251,0.022062203,NA,4.77548058,0.453979954,0.175557527,2.379554412,0.017333584,NA
4931406P16Rik,315.2917492,-0.381067914,0.09425708,-4.04501325,5.23E-05,0.013167081,315.2917492,0.205155221,0.092936963,2.207541758,0.027276233,0.195245383
4933412E12Rik,59.83769266,0.522551942,0.166752645,3.071451594,0.002130207,0.114312555,59.83769266,-0.420147163,0.163690391,-2.533006816,0.011308875,0.144352164
5-Mar,858.8199077,0.226686173,0.112553541,2.001117208,0.04537976,0.402201696,858.8199077,-0.25776567,0.109482672,-2.335750269,0.019504261,0.173015023
6530402F18Rik,414.0711228,-0.351394154,0.142548146,-2.42149547,0.015456794,0.271901209,414.0711228,0.326668436,0.138932298,2.283715185,0.022388275,0.18246011
9330121K16Rik,225.3467576,0.40234375,0.161923889,2.407807728,0.016048631,0.275211561,225.3467576,-0.355057401,0.15900086,-2.148072546,0.031707993,0.206308713
9330159F19Rik,754.7198599,0.332502186,0.143229971,2.257019723,0.024006842,0.318707827,754.7198599,-0.308755693,0.139992286,-2.126746079,0.033441187,0.209351769
9530059O14Rik,28.85406725,-0.89218967,0.195865563,-4.456689709,8.32E-06,0.004608911,28.85406725,-1.185631341,0.195443629,-5.891264169,3.83E-09,1.84E-05
AA474408,21.95108155,0.633309723,0.190485629,3.127094838,0.00176543,0.106307832,21.95108155,-0.416802101,0.190318328,-2.098172984,0.035889867,0.214829197
Abca9,136.9470032,-0.430107178,0.1645866,-2.608091583,0.009104859,0.215551759,136.9470032,0.598852386,0.162048115,3.671844338,0.000240806,0.032570715
Abcb10,490.152947,-0.281904152,0.11278677,-2.488038452,0.012844984,0.25342884,490.152947,0.365968738,0.110097417,3.298824825,0.000970905,0.060521626
AC125351.1,210.4463878,-0.44522731,0.158665634,-2.740541207,0.006133809,0.186803318,210.4463878,0.59223723,0.154899109,3.695918378,0.000219093,0.030472579
Acaca,1125.651525,-0.347971094,0.102703685,-3.377048139,0.000732682,0.067658127,1125.651525,0.288045383,0.099987479,2.863856838,0.004185171,0.105835298
Ackr1,241.3606885,0.439415561,0.18163228,2.308481414,0.020972375,0.305158313,241.3606885,-0.536938722,0.179066588,-2.871894586,0.00408019,0.105314798
Ackr4,22.60097141,1.069877626,0.190152199,5.488159862,4.06E-08,9.04E-05,22.60097141,-0.516357395,0.19178091,-2.552269788,0.010702361,0.141191508
Actn2,145.1802089,0.395924011,0.177039862,2.145820711,0.031887286,0.353738406,145.1802089,-0.528924801,0.174499242,-2.927919027,0.003412389,0.098259475
Adamtsl3,40.09554831,-0.470536193,0.192073141,-2.399794101,0.016404296,0.277259311,40.09554831,0.639565592,0.192450812,3.346960873,0.000817027,0.055868129
Adamtsl5,86.1304847,-0.378656101,0.162786356,-2.358436626,0.018352093,0.289090088,86.1304847,0.422291416,0.161639453,2.658960162,0.007838223,0.128914717
Adarb1,3848.490673,-0.264964159,0.134018503,-1.964658239,0.049453807,0.415507143,3848.490673,0.383988607,0.130605283,2.918108202,0.003521621,0.099642093
Adcy1,26131.66067,-0.778723035,0.175222985,-4.371861201,1.23E-05,0.006255019,26131.66067,0.805944946,0.172022205,4.62523711,3.74E-06,0.002298496
Adcyap1r1,3575.112019,-0.463592705,0.113186975,-4.078123662,4.54E-05,0.012859597,3575.112019,0.342271515,0.110098769,3.086929769,0.002022354,0.082346478
Add3,3218.762358,-0.337140164,0.123913559,-2.69355801,0.007069384,0.197101955,3218.762358,0.354580384,0.120607955,2.899954163,0.003732172,0.100775488
Adgrl3,960.1980326,-0.397275127,0.106778599,-3.710536254,0.000206821,0.031486768,960.1980326,0.249169388,0.104017068,2.382886094,0.017177508,0.167963785
Adra1a,111.0645216,-0.521507109,0.150977105,-3.392280015,0.000693136,0.066036924,111.0645216,0.390388891,0.146215367,2.543083583,0.010987894,0.142600813
Afap1l1,208.19971,-0.357402634,0.133681182,-2.642208551,0.008236732,0.205578797,208.19971,0.461983259,0.130457216,3.473501475,0.000513715,0.047335584
Ago2,1762.376048,-0.304417531,0.121918144,-2.500680826,0.012395484,0.249116302,1762.376048,0.257817749,0.118796804,2.176326083,0.029530887,0.201150682
Agpat1,1741.130559,0.225018839,0.110803285,2.020973858,0.043282471,0.395702118,1741.130559,-0.219986468,0.107722079,-2.027866853,0.042573839,0.228408336
Agpat3,5131.060153,-0.259764546,0.123602631,-2.087738779,0.036821405,0.375308099,5131.060153,0.292958491,0.120307769,2.413808417,0.015786761,0.163482251
Agtr1b,1.662892344,-0.4382333,0.131465236,-3.352611516,0.00080053,NA,1.662892344,0.297900536,0.133785057,2.732696902,0.006281811,NA
Aig1,556.2010034,0.440592007,0.115467341,3.78738524,0.000152241,0.026333252,556.2010034,-0.334330509,0.11235665,-2.945771677,0.003221501,0.097774889
Akap12,423.227982,-0.339699364,0.146238266,-2.286316638,0.022235741,0.308950528,423.227982,0.405932265,0.14274112,2.782388739,0.005396036,0.114180948
Akirin2,883.3739771,0.270209489,0.119146181,2.258079287,0.023940717,0.318542053,883.3739771,-0.284974244,0.11588683,-2.443847146,0.014531582,0.15724663
Akr1a1,4499.5655,0.124826562,0.057164729,2.183710432,0.028983533,0.339717513,4499.5655,-0.151071443,0.055387931,-2.726646223,0.00639816,0.120716167
Akt3,2947.790957,-0.208727332,0.08266701,-2.515347447,0.011891513,0.24407741,2947.790957,0.243444873,0.080280346,3.017008492,0.002552827,0.089091379
Aldh1a2,147.0029132,-0.682770251,0.189305542,-3.479942327,0.000501522,0.05350366,147.0029132,0.476024572,0.186373138,2.272138606,0.02307814,0.183814704
Aldoa,20738.83973,0.317474161,0.152996145,2.017235341,0.04367096,0.397434548,20738.83973,-0.462838339,0.149461434,-3.013856677,0.002579496,0.089692251
Alpl,147.3071263,-0.506140594,0.142573366,-3.516264952,0.000437664,0.049665106,147.3071263,0.364186353,0.139083709,2.55073234,0.010749685,0.141502322
Alx3,6.175296714,-0.383993734,0.186505117,-2.005783711,0.044879329,0.400820141,6.175296714,0.509387321,0.187141414,2.42809686,0.015178289,NA
Alx4,31.73025789,-0.558954217,0.195400744,-2.78794231,0.005304399,0.175832815,31.73025789,0.640578502,0.193190235,3.03958032,0.00236908,0.087978211
Amer2,1822.240725,-0.277600727,0.098042795,-2.823948966,0.004743594,0.168015638,1822.240725,0.284020775,0.095370004,2.965212443,0.00302474,0.095138452
Ampd3,367.9486537,-0.294007293,0.133178998,-2.188442626,0.028637376,0.338455292,367.9486537,0.462166541,0.130097659,3.509601884,0.000448778,0.043528522
Ank3,5775.863465,-0.286193999,0.127627553,-2.247799478,0.024588979,0.322860247,5775.863465,0.422370261,0.124307612,3.401393006,0.000670434,0.052575551
Ankfy1,798.5416085,-0.24057503,0.081658217,-2.94528027,0.003226622,0.141359326,798.5416085,0.165921732,0.079751087,2.078381298,0.037674254,0.218587771
Ankrd34b,252.7249048,0.347601764,0.139385464,2.458740129,0.01394255,0.258750492,252.7249048,-0.31917839,0.136199604,-2.304576795,0.021190287,0.178097997
Anks1,701.1079673,-0.29908127,0.133905728,-2.223331811,0.026193434,0.329422037,701.1079673,0.266142228,0.130657652,2.021999127,0.043176442,0.230050699
Anpep,53.27128341,-0.601899036,0.183991884,-3.238255262,0.001202632,0.09078849,53.27128341,0.498558501,0.181241649,2.68100673,0.007340104,0.12656743
Anxa1,37.20207613,-0.570989582,0.1906806,-2.910612725,0.003607208,0.148786439,37.20207613,0.453922027,0.187272369,2.213005629,0.026897258,0.193711238
Anxa7,1229.639864,0.23572648,0.10163384,2.303134736,0.021271263,0.306244161,1229.639864,-0.32829279,0.098803389,-3.29829733,0.000972731,0.060521626
Aox3,40.21321962,-0.504469751,0.19399286,-2.567555091,0.010241851,0.22923219,40.21321962,0.565718799,0.192019006,2.898831945,0.003745556,0.100951977
Ap2m1,5614.354138,0.245693836,0.119773119,2.025006246,0.042866723,0.394149002,5614.354138,-0.370002128,0.116535465,-3.134047395,0.00172413,0.077026816
Ap2s1,1466.764976,0.289382776,0.088477605,3.258251021,0.001121012,0.087555889,1466.764976,-0.370035652,0.085881014,-4.290226925,1.78E-05,0.006232131
Apc,4833.529846,-0.405677286,0.166690993,-2.37985281,0.017319555,0.283068601,4833.529846,0.490939003,0.163274054,2.927983328,0.003411683,0.098259475
Apmap,721.0572715,0.274165827,0.12979189,2.083348881,0.037219434,0.377417526,721.0572715,-0.292785861,0.126548437,-2.275335317,0.022885822,0.183572187
Appl2,1817.641868,-0.347434377,0.168196016,-2.034647553,0.041886349,0.39314784,1817.641868,0.3953735,0.164824896,2.35713587,0.018416507,0.170442288
Arap1,381.0833485,-0.300557982,0.148376806,-2.000520431,0.045444096,0.402201696,381.0833485,0.34297496,0.144968186,2.323853018,0.020133373,0.175325646
Arap2,1192.947912,-0.290700075,0.119915551,-2.41581813,0.015699901,0.273818387,1192.947912,0.306055616,0.116830815,2.605192061,0.009182277,0.135135853
Arhgap23,2888.190778,-0.341206417,0.126844664,-2.678339177,0.007398825,0.199197747,2888.190778,0.287099713,0.123536975,2.309252651,0.020929565,0.176827841
Arhgap29,252.1880761,-0.318527067,0.154545353,-1.990196739,0.046569267,0.406904399,252.1880761,0.389678266,0.150553192,2.47131087,0.013461874,0.152113313
