clusters,genotype,cell.no,genotype.total,ratio,groups,Avg,sem
0,WT_XXO_Ctrl_1,216,312,0.692307692,XXO_Ctrl,0.638183429,0.027491378
1,WT_XXO_Ctrl_1,69,312,0.221153846,XXO_Ctrl,0.245576169,0.012704895
2,WT_XXO_Ctrl_1,4,312,0.012820513,XXO_Ctrl,0.024107706,0.005677346
3,WT_XXO_Ctrl_1,3,312,0.009615385,XXO_Ctrl,0.031600974,0.013614923
4,WT_XXO_Ctrl_1,17,312,0.054487179,XXO_Ctrl,0.033601727,0.010993348
5,WT_XXO_Ctrl_1,3,312,0.009615385,XXO_Ctrl,0.018406548,0.004956364
6,WT_XXO_Ctrl_1,0,312,0,XXO_Ctrl,0.007248749,0.003640845
7,WT_XXO_Ctrl_1,0,312,0,XXO_Ctrl,0.001274697,0.001274697
0,WT_XXO_Ctrl_2,324,523,0.619502868,XXO_Ctrl,0.638183429,0.027491378
1,WT_XXO_Ctrl_2,138,523,0.263862333,XXO_Ctrl,0.245576169,0.012704895
2,WT_XXO_Ctrl_2,15,523,0.028680688,XXO_Ctrl,0.024107706,0.005677346
3,WT_XXO_Ctrl_2,15,523,0.028680688,XXO_Ctrl,0.031600974,0.013614923
4,WT_XXO_Ctrl_2,9,523,0.017208413,XXO_Ctrl,0.033601727,0.010993348
5,WT_XXO_Ctrl_2,14,523,0.026768642,XXO_Ctrl,0.018406548,0.004956364
6,WT_XXO_Ctrl_2,6,523,0.011472275,XXO_Ctrl,0.007248749,0.003640845
7,WT_XXO_Ctrl_2,2,523,0.003824092,XXO_Ctrl,0.001274697,0.001274697
0,WT_XXO_Ctrl_3,352,584,0.602739726,XXO_Ctrl,0.638183429,0.027491378
1,WT_XXO_Ctrl_3,147,584,0.251712329,XXO_Ctrl,0.245576169,0.012704895
2,WT_XXO_Ctrl_3,18,584,0.030821918,XXO_Ctrl,0.024107706,0.005677346
3,WT_XXO_Ctrl_3,33,584,0.056506849,XXO_Ctrl,0.031600974,0.013614923
4,WT_XXO_Ctrl_3,17,584,0.029109589,XXO_Ctrl,0.033601727,0.010993348
5,WT_XXO_Ctrl_3,11,584,0.018835616,XXO_Ctrl,0.018406548,0.004956364
6,WT_XXO_Ctrl_3,6,584,0.010273973,XXO_Ctrl,0.007248749,0.003640845
7,WT_XXO_Ctrl_3,0,584,0,XXO_Ctrl,0.001274697,0.001274697
0,WT_XXO_CPZ_1,239,608,0.393092105,XXO_CPZ,0.33909533,0.03201456
1,WT_XXO_CPZ_1,143,608,0.235197368,XXO_CPZ,0.262783007,0.032253693
2,WT_XXO_CPZ_1,110,608,0.180921053,XXO_CPZ,0.184951633,0.002567873
3,WT_XXO_CPZ_1,57,608,0.09375,XXO_CPZ,0.113213803,0.038019138
4,WT_XXO_CPZ_1,30,608,0.049342105,XXO_CPZ,0.038602559,0.005703279
5,WT_XXO_CPZ_1,17,608,0.027960526,XXO_CPZ,0.052052996,0.016540689
6,WT_XXO_CPZ_1,2,608,0.003289474,XXO_CPZ,0.001893939,0.000981744
7,WT_XXO_CPZ_1,10,608,0.016447368,XXO_CPZ,0.007406733,0.004651281
0,WT_XXO_CPZ_2,236,836,0.282296651,XXO_CPZ,0.33909533,0.03201456
1,WT_XXO_CPZ_2,189,836,0.226076555,XXO_CPZ,0.262783007,0.032253693
2,WT_XXO_CPZ_2,154,836,0.184210526,XXO_CPZ,0.184951633,0.002567873
3,WT_XXO_CPZ_2,156,836,0.186602871,XXO_CPZ,0.113213803,0.038019138
4,WT_XXO_CPZ_2,25,836,0.029904306,XXO_CPZ,0.038602559,0.005703279
5,WT_XXO_CPZ_2,70,836,0.083732057,XXO_CPZ,0.052052996,0.016540689
6,WT_XXO_CPZ_2,2,836,0.002392344,XXO_CPZ,0.001893939,0.000981744
7,WT_XXO_CPZ_2,4,836,0.004784689,XXO_CPZ,0.007406733,0.004651281
0,WT_XXO_CPZ_3,346,1012,0.341897233,XXO_CPZ,0.33909533,0.03201456
1,WT_XXO_CPZ_3,331,1012,0.327075099,XXO_CPZ,0.262783007,0.032253693
