,clusters,sample,cell.no,genotype.total,ratio,groups,Avg,sem
1,0,WT_XXO_Ctrl_1,802,1208,0.663907285,XXO_Ctrl,0.645044237,0.02757298
2,1,WT_XXO_Ctrl_1,307,1208,0.254139073,XXO_Ctrl,0.274960365,0.031753478
3,2,WT_XXO_Ctrl_1,99,1208,0.081953642,XXO_Ctrl,0.079682097,0.004285167
4,3,WT_XXO_Ctrl_1,0,1208,0,XXO_Ctrl,0.000313301,0.000162526
5,0,WT_XXO_Ctrl_2,1723,2532,0.680489731,XXO_Ctrl,0.645044237,0.02757298
6,1,WT_XXO_Ctrl_2,591,2532,0.233412322,XXO_Ctrl,0.274960365,0.031753478
7,2,WT_XXO_Ctrl_2,217,2532,0.085703002,XXO_Ctrl,0.079682097,0.004285167
8,3,WT_XXO_Ctrl_2,1,2532,0.000394945,XXO_Ctrl,0.000313301,0.000162526
9,0,WT_XXO_Ctrl_3,1084,1835,0.590735695,XXO_Ctrl,0.645044237,0.02757298
10,1,WT_XXO_Ctrl_3,619,1835,0.3373297,XXO_Ctrl,0.274960365,0.031753478
11,2,WT_XXO_Ctrl_3,131,1835,0.071389646,XXO_Ctrl,0.079682097,0.004285167
12,3,WT_XXO_Ctrl_3,1,1835,0.000544959,XXO_Ctrl,0.000313301,0.000162526
13,0,WT_XXO_CPZ_1,459,785,0.584713376,XXO_CPZ,0.555581357,0.044083686
14,1,WT_XXO_CPZ_1,186,785,0.236942675,XXO_CPZ,0.261522812,0.042756124
15,2,WT_XXO_CPZ_1,25,785,0.031847134,XXO_CPZ,0.028199745,0.002154144
16,3,WT_XXO_CPZ_1,115,785,0.146496815,XXO_CPZ,0.154696086,0.00412887
17,0,WT_XXO_CPZ_2,553,902,0.61308204,XXO_CPZ,0.555581357,0.044083686
18,1,WT_XXO_CPZ_2,183,902,0.202882483,XXO_CPZ,0.261522812,0.042756124
19,2,WT_XXO_CPZ_2,22,902,0.024390244,XXO_CPZ,0.028199745,0.002154144
20,3,WT_XXO_CPZ_2,144,902,0.159645233,XXO_CPZ,0.154696086,0.00412887
21,0,WT_XXO_CPZ_3,959,2045,0.468948655,XXO_CPZ,0.555581357,0.044083686
