Gene,Cluster 1,Cluster 7,Cluster 13
Rpl41,-0.519663428,-0.566987413,-0.50825129
Rps21,-0.55311065,-0.628639569,-0.502435208
Rpl35a,-0.543046758,-0.63967592,-0.535717812
Rps27,-0.553304224,-0.616880095,-0.506873559
Rpl35,-0.543046758,-0.629253969,-0.559832793
Rpl37,-0.463275902,-0.612568388,-0.400916947
Rps29,-0.557287481,-0.635828343,-0.429204183
Rpl38,-0.446738376,-0.490507454,-0.398203235
Rpl9,-0.633563082,-0.686018009,-0.536439834
Rps28,-0.62140434,-0.725691412,-0.50299514
Rpl30,-0.480579643,-0.455092434,-0.475986417
Rpl34,-0.449673281,-0.559740728,-0.473638065
Rps26,-0.569544555,-0.613525947,-0.452967658
Rpl39,-0.453500531,-0.481475291,-0.473205782
Rps24,-0.484115951,-0.578822674,-0.416420666
Rpl17,-0.407387421,-0.58564044,-0.437985613
Rps27a,-0.445269528,-0.570338452,-0.415459736
Rps14,-0.432968779,-0.523987221,-0.428257825
Rpl11,-0.456408777,-0.590697215,-0.398036161
Rplp2,-0.48747185,-0.544502128,-0.448515071
Fau,-0.421728067,-0.553407888,-0.368203013
Rps3,-0.404746766,-0.422121552,-0.383758349
Rpl29,-0.323761435,-0.301812598,-0.397398327
Rplp1,-0.392554516,-0.456860872,-0.280615701
Rpl32,-0.358583143,-0.48951765,-0.344569989
Rpl21,-0.455113734,-0.555870236,-0.314322131
Rps13,-0.409688496,-0.395884731,-0.426264755
Rps23,-0.449139529,-0.493024559,-0.367151607
Rpl27a,-0.439056689,-0.553611984,-0.356314354
Rps8,-0.316067617,-0.513264151,-0.328600487
Rpl23,-0.526629288,-0.615769785,-0.370650586
Rps10,-0.574826209,-0.658881732,-0.371689695
Rps19,-0.423194769,-0.598417826,-0.362371535
Rps12,-0.526383478,-0.486076882,-0.35505516
Rpl36a,-0.545183174,-0.501552566,-0.406988202
Rps16,-0.454970278,-0.572969448,-0.358544958
Rpl18,-0.368087512,-0.437930713,-0.361565384
Rps11,-0.466827991,-0.546396282,-0.319374592
Rps15a,-0.490192274,-0.503896051,-0.389109357
Rpl36,-0.435675797,-0.554328201,-0.313674363
Rps20,-0.446430387,-0.417308902,-0.313441853
Rpl13,-0.35650397,-0.436004568,-0.28476388
Rpl27,-0.377299888,-0.464892761,-0.359067304
Rps7,-0.390445665,-0.396729179,-0.30555398
Rpl24,-0.384869351,-0.482252964,-0.27812737
Rpl37a,-0.463275902,-0.517423973,-0.287007988
Rpl10,-0.620257674,-0.782280122,-0.379483562
Rpl19,-0.345146771,-0.466786642,-0.239402089
Rpl26,-0.375149853,-0.491476628,-0.271962657
Rpl28,-0.376704551,-0.369402516,-0.268336518
Rpl22,-0.368592651,-0.321037306,-0.316220878
Rps9,-0.454435862,-0.461573957,-0.31708731
Rps18,-0.41094102,-0.428378779,-0.293427945
Rpl18a,-0.317427141,-0.364302123,-0.220019086
Rpl36al,-0.321082939,-0.501552566,-0.279318267
Rps5,-0.543751039,-0.569812138,-0.258536976
Rps2,-0.467204281,0,0
Rps3a1,-0.393059712,-0.443790444,0
Rps4x,-0.345966628,-0.276707288,0
Rpl14,-0.265104574,-0.365010935,0
Rpl15,-0.295311911,-0.299486961,0
Rps17,-0.261892369,-0.262619481,0
Rpl3,-0.240031654,-0.3724806,0
Ubb,-0.195677173,-0.462326486,0
Rps25,-0.272787114,-0.37349109,0
Rplp0,-0.254956217,0,0
Rpl13a,-0.196107997,-0.227780893,0
Rpl6,-0.20799759,-0.397078963,0
Rpl10a,-0.232932253,-0.294806119,0
Rpl8,-0.217767515,-0.35639062,0
Rpl7a,-0.251034883,-0.437778643,0
Rpl23a,-0.207871444,-0.269398419,0
Rpsa,-0.179172451,-0.278361626,0
Rpl7,-0.211256108,0,0
Rpl12,-0.19768634,-0.311415623,0
Rps15,-0.139649701,-0.253164585,0
Rps6,-0.158045039,-0.313518231,0
Rpl4,0,-0.212542344,0
Rpl31,0,-0.200417813,0
Rps27l,0,-0.234153713,0
