G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1195458,Abce1,"ATP-binding cassette, sub-family E member 1",8,,cytosolic ribosome,,,ISO,P61221 ,J:164563 
MGI:88056,Apod,apolipoprotein D,16,,cytosolic ribosome,,,ISO,RGD:2137 ,J:155856 
MGI:1922702,Ascc2,activating signal cointegrator 1 complex subunit 2,11,,cytosolic ribosome,,,ISO,Q9H1I8 ,J:164563 
MGI:1925237,Ascc3,activating signal cointegrator 1 complex subunit 3,10,,cytosolic ribosome,,,ISO,Q8N3C0 ,J:164563 
MGI:91842,D1Pas1,"DNA segment, Chr 1, Pasteur Institute 1",1,colocalizes_with,cytosolic small ribosomal subunit,,,ISO,O00571 ,J:164563 
MGI:103064,Ddx3x,"DEAD box helicase 3, X-linked",X,colocalizes_with,cytosolic small ribosomal subunit,,,ISO,O00571 ,J:164563 
MGI:2145374,Dhx29,DExH-box helicase 29,13,,cytosolic small ribosomal subunit,,,ISO,Q7Z478 ,J:164563 
MGI:1096881,Eef1a1,eukaryotic translation elongation factor 1 alpha 1,9,,cytosolic ribosome,,,ISO,P68104 ,J:164563 
MGI:1098684,Eif2a,eukaryotic translation initiation factor 2A,3,,cytosolic small ribosomal subunit,,,IBA,PTN000325517 ,J:265628 
MGI:1353427,Eif2ak4,eukaryotic translation initiation factor 2 alpha kinase 4,2,,cytosolic ribosome,,,ISS,P15442 ,J:113815 
MGI:109342,Eif2d,eukaryotic translation initiation factor 2D,1,colocalizes_with,cytosolic small ribosomal subunit,,,ISO,P41214 ,J:164563 
MGI:2385071,Etf1,eukaryotic translation termination factor 1,18,,cytosolic ribosome,,,ISO,P62495 ,J:164563 
MGI:102547,Fau,FAU ubiquitin like and ribosomal protein S30 fusion,19,,cytosolic ribosome,,,ISO,P62861 ,J:164563 
MGI:102547,Fau,FAU ubiquitin like and ribosomal protein S30 fusion,19,,cytosolic small ribosomal subunit,,,IDA,,J:333015 
MGI:102547,Fau,FAU ubiquitin like and ribosomal protein S30 fusion,19,,cytosolic small ribosomal subunit,,,ISO,P62861 ,J:164563 
MGI:102547,Fau,FAU ubiquitin like and ribosomal protein S30 fusion,19,,cytosolic small ribosomal subunit,,,NAS,,J:314083 
MGI:2444248,Gcn1,GCN1 activator of EIF2AK4,5,,cytosolic ribosome,,,ISO,Q92616 ,J:164563 
MGI:3646958,Gm5244,predicted pseudogene 5244,19,,cytosolic large ribosomal subunit,,,IBA,PTN000474938 ,J:265628 
MGI:3647029,Gm6133,predicted gene 6133,18,,cytosolic large ribosomal subunit,,,IBA,PTN000174131 ,J:265628 
MGI:3648757,Gm6525,predicted pseudogene 6525,3,,cytosolic large ribosomal subunit,,,IBA,PTN000042522 ,J:265628 
MGI:1316728,Gspt1,G1 to S phase transition 1,16,,cytosolic ribosome,,,ISO,P15170 ,J:164563 
MGI:1891704,Hbs1l,Hbs1-like (S. cerevisiae),10,,cytosolic ribosome,,,ISO,Q9Y450 ,J:164563 
MGI:2443114,Larp4,La ribonucleoprotein 4,15,colocalizes_with,cytosolic small ribosomal subunit,,,ISO,Q71RC2 ,J:164563 
MGI:1916245,Mcts1,malignant T cell amplified sequence 1,X,colocalizes_with,cytosolic small ribosomal subunit,,,ISO,Q9ULC4 ,J:164563 
MGI:1098547,Nhp2,NHP2 ribonucleoprotein,11,,cytosolic large ribosomal subunit,,,IBA,PTN004606439 ,J:265628 
MGI:2145154,Pelo,pelota mRNA surveillance and ribosome rescue factor,13,,cytosolic ribosome,,,ISO,Q9BRX2 ,J:164563 
MGI:1342774,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha",5,,cytosolic ribosome,,,ISO,RGD:620925 ,J:155856 
MGI:1889817,Repin1,replication initiator 1,6,,cytosolic ribosome,,,IDA,,J:164798 
MGI:1929668,Rnf14,ring finger protein 14,18,,cytosolic ribosome,,,ISO,Q9UBS8 ,J:164563 
MGI:1890215,Rnf25,ring finger protein 25,1,,cytosolic ribosome,,,ISO,Q96BH1 ,J:164563 
MGI:1351605,Rpl3,ribosomal protein L3,15,,cytosolic large ribosomal subunit,,,IBA,PTN000146039 ,J:265628 
MGI:1351605,Rpl3,ribosomal protein L3,15,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1351605,Rpl3,ribosomal protein L3,15,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
