MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1914305,2610042L04Rik,RIKEN cDNA 2610042L04 gene,14,,regulation of synaptic activity,,,IDA,,J:201575 
MGI:1914305,2610042L04Rik,RIKEN cDNA 2610042L04 gene,14,,regulation of synaptic activity,,,IMP,,J:201575 
MGI:1913332,Abhd6,abhydrolase domain containing 6,14,,long-term synaptic depression,,,IMP,,J:163762 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,negative regulation of long-term synaptic potentiation,regulates a function/process that happens in hippocampus CA1,,IGI,CPX-1134 Q03137 ,J:214156 
MGI:107771,Abr,active BCR-related gene,11,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:165475 
MGI:107771,Abr,active BCR-related gene,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:165475 
MGI:87874,Ace,angiotensin I converting enzyme,11,,regulation of synaptic plasticity,,,IDA,,J:322689 
MGI:3644563,Acp4,acid phosphatase 4,7,,regulation of neuronal synaptic plasticity,,,IBA,PTN002611605 ,J:265628 
MGI:3644563,Acp4,acid phosphatase 4,7,,regulation of neuronal synaptic plasticity,,,ISO,Q9BZG2 ,J:164563 
MGI:99677,Adcy1,adenylate cyclase 1,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:57343 
MGI:99677,Adcy1,adenylate cyclase 1,11,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:57343 
MGI:99677,Adcy1,adenylate cyclase 1,11,,positive regulation of long-term synaptic potentiation,,,IMP,,J:57343 
MGI:99677,Adcy1,adenylate cyclase 1,11,,presynaptic modulation of chemical synaptic transmission,"happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:47002 
MGI:99677,Adcy1,adenylate cyclase 1,11,,presynaptic modulation of chemical synaptic transmission,"happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:47002 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:57343 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in hippocampal mossy fiber to CA3 synapse",,IDA,,J:86425 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:57343 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in hippocampal mossy fiber to CA3 synapse",,IMP,,J:86425 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,positive regulation of long-term synaptic depression,,,IMP,,J:63173 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,positive regulation of long-term synaptic potentiation,,,IMP,,J:57343 
MGI:1341110,Adcy8,adenylate cyclase 8,15,,positive regulation of synaptic plasticity,,,IMP,,J:86425 
MGI:105094,Adcyap1,adenylate cyclase activating polypeptide 1,17,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2037 ,J:155856 
MGI:1933736,Adgrb1,adhesion G protein-coupled receptor B1,15,,regulation of synaptic plasticity,,,IMP,,J:222100 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,negative regulation of synaptic transmission,,,ISO,Q15848 ,J:164563 
MGI:1338758,Adnp,activity-dependent neuroprotective protein,2,,negative regulation of synaptic transmission,,,ISO,RGD:71030 ,J:155856 
MGI:99401,Adora1,adenosine A1 receptor,1,,long-term synaptic depression,happens in Purkinje cell,,IGI,MGI:95808 ,J:204158 
MGI:99401,Adora1,adenosine A1 receptor,1,,long-term synaptic depression,happens in Purkinje cell,,IMP,,J:204158 
MGI:99401,Adora1,adenosine A1 receptor,1,,negative regulation of long-term synaptic depression,"happens in Purkinje cell,negatively regulates long-term synaptic depression",,IGI,MGI:95808 ,J:204158 
MGI:99401,Adora1,adenosine A1 receptor,1,,negative regulation of long-term synaptic depression,"happens in Purkinje cell,negatively regulates long-term synaptic depression",,IMP,,J:204158 
MGI:99401,Adora1,adenosine A1 receptor,1,,negative regulation of long-term synaptic potentiation,,,ISO,RGD:2048 ,J:155856 
MGI:99401,Adora1,adenosine A1 receptor,1,,"negative regulation of synaptic transmission, GABAergic",,,ISO,RGD:2048 ,J:155856 
MGI:99401,Adora1,adenosine A1 receptor,1,,"negative regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2048 ,J:155856 
MGI:99402,Adora2a,adenosine A2a receptor,10,,"positive regulation of acetylcholine secretion, neurotransmission",,,ISO,RGD:2049 ,J:155856 
MGI:99402,Adora2a,adenosine A2a receptor,10,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:2049 ,J:155856 
MGI:99402,Adora2a,adenosine A2a receptor,10,,"positive regulation of synaptic transmission, GABAergic",,,IDA,,J:112280 
MGI:99402,Adora2a,adenosine A2a receptor,10,,"positive regulation of synaptic transmission, GABAergic",,,IGI,MGI:94924 ,J:112280 
MGI:99402,Adora2a,adenosine A2a receptor,10,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2049 ,J:155856 
MGI:99402,Adora2a,adenosine A2a receptor,10,,presynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2049 ,J:155856 
MGI:99403,Adora2b,adenosine A2b receptor,11,,presynaptic modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in brain",,EXP,,J:256403 
MGI:99403,Adora2b,adenosine A2b receptor,11,,presynaptic modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in brain",,IDA,,J:256403 
MGI:99403,Adora2b,adenosine A2b receptor,11,,presynaptic modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in brain",,IMP,,J:256403 
MGI:104847,Adora3,adenosine A3 receptor,3,,presynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2051 ,J:155856 
MGI:104773,Adra1a,"adrenergic receptor, alpha 1a",14,,"positive regulation of synaptic transmission, GABAergic",,,ISO,RGD:2055 ,J:155856 
MGI:104773,Adra1a,"adrenergic receptor, alpha 1a",14,,presynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2055 ,J:155856 
MGI:87934,Adra2a,"adrenergic receptor, alpha 2a",19,,presynaptic modulation of chemical synaptic transmission,"happens in dopaminergic synapse,happens in UBERON:0002420,happens in dopaminergic synapse,happens in cerebral cortex",,EXP,,J:126644 
MGI:87934,Adra2a,"adrenergic receptor, alpha 2a",19,,presynaptic modulation of chemical synaptic transmission,"happens in dopaminergic synapse,happens in UBERON:0002420,happens in dopaminergic synapse,happens in cerebral cortex",,IDA,,J:126644 
MGI:87934,Adra2a,"adrenergic receptor, alpha 2a",19,,presynaptic modulation of chemical synaptic transmission,"happens in dopaminergic synapse,happens in UBERON:0002420,happens in dopaminergic synapse,happens in cerebral cortex",,IMP,,J:126644 
MGI:87937,Adrb1,"adrenergic receptor, beta 1",19,,positive regulation of long-term synaptic potentiation,,,ISO,RGD:2059 ,J:155856 
MGI:87938,Adrb2,"adrenergic receptor, beta 2",18,,positive regulation of mini excitatory postsynaptic potential,"is a part of positive regulation of AMPA receptor activity,regulates a function/process that happens in neuron",,IGI,CPX-1070 ,J:241478 
MGI:87938,Adrb2,"adrenergic receptor, beta 2",18,,presynaptic modulation of chemical synaptic transmission,,,ISO,RGD:2060 ,J:155856 
MGI:1314653,Afdn,"afadin, adherens junction formation factor",17,,positive regulation of mini excitatory postsynaptic potential,,,ISO,RGD:708561 ,J:155856 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,negative regulation of long-term synaptic depression,,,ISO,Q15109 ,J:164563 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,negative regulation of long-term synaptic potentiation,"happens in entorhinal cortex,regulates a function/process that happens in entorhinal cortex,is a part of response to amyloid-beta",,IGI,CPX-1134 ,J:248440 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,negative regulation of long-term synaptic potentiation,,,ISO,Q15109 ,J:164563 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,regulation of long-term synaptic potentiation,"happens in cortical layer II,regulates a function/process that happens in cortical layer II|happens in cortical layer III,regulates a function/process that happens in cortical layer III",,IMP,,J:255329 
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,,regulation of spontaneous synaptic transmission,,,ISO,Q15109 ,J:164563 
MGI:87961,Agrn,agrin,4,,regulation of synaptic activity,,,IDA,,J:211088 
MGI:87963,Agt,angiotensinogen,8,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2069 ,J:155856 
MGI:2685104,Akap5,A kinase anchor protein 5,12,,positive regulation of long-term synaptic potentiation,,,ISO,P24588 ,J:164563 
MGI:1859150,Akap7,A kinase anchor protein 7,10,,modulation of chemical synaptic transmission,happens in hippocampal mossy fiber to CA3 synapse,,IDA,,J:239454 
MGI:1859150,Akap7,A kinase anchor protein 7,10,,modulation of chemical synaptic transmission,happens in hippocampal mossy fiber to CA3 synapse,,IMP,,J:239454 
MGI:2178217,Akap9,A kinase anchor protein 9,5,,regulation of postsynaptic neurotransmitter receptor activity,,,ISO,Q99996 ,J:164563 
MGI:1932576,Akap12,A kinase anchor protein 12,10,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IDA,,J:192016 
MGI:1932576,Akap12,A kinase anchor protein 12,10,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IEP,,J:192016 
MGI:1932576,Akap12,A kinase anchor protein 12,10,,modulation of chemical synaptic transmission,happens in Schaffer collateral - CA1 synapse,,IMP,,J:192016 
