"","Gene","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","color","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AC149090.1",1.25509662998428e-26,0.589686262434957,0.524,0.276,2.44881903476233e-22,"red",1.29926158092725e-12,0.632968903963961,0.626,0.375,2.53498927054715e-08,1.29926158092725e-12,0.632968903963961,0.626,0.375,2.53498927054715e-08
"2","Atp5e",2.24037039020279e-24,-0.312653259763458,0.995,0.999,4.37118666832466e-20,"blue",1.08197332492687e-10,-0.303738894332698,0.996,1,2.11103815426482e-06,1.08197332492687e-10,-0.303738894332698,0.996,1,2.11103815426482e-06
"3","Atp5g1",2.90105581179512e-12,-0.253436158476058,0.909,0.955,5.66024999439346e-08,"blue",8.32341921285986e-08,-0.272042935911778,0.9,0.989,0.00162398232262109,8.32341921285986e-08,-0.272042935911778,0.9,0.989,0.00162398232262109
"4","Atp5h",1.23237428104369e-11,-0.230180152236483,0.969,0.992,2.40448545974434e-07,"blue",1.01306989245511e-09,-0.305376327064003,0.968,0.993,1.97660066716917e-05,1.01306989245511e-09,-0.305376327064003,0.968,0.993,1.97660066716917e-05
"5","Atp5j",3.56826301056162e-18,-0.266723214612648,0.988,1,6.96203795990678e-14,"blue",3.28652547293452e-11,-0.331780961782653,0.996,1,6.41233985024255e-07,3.28652547293452e-11,-0.331780961782653,0.996,1,6.41233985024255e-07
"6","Atp5j2",3.26135536374062e-21,-0.290432096397103,0.995,0.999,6.36323045019432e-17,"blue",1.82044129658828e-11,-0.330204287648284,0.982,1,3.55186301377339e-07,1.82044129658828e-11,-0.330204287648284,0.982,1,3.55186301377339e-07
"7","Atp5k",2.24432773616733e-25,-0.342512757888803,0.988,0.999,4.37890784603607e-21,"blue",9.18726406013964e-14,-0.364758048665343,0.989,1,1.79252709077384e-09,9.18726406013964e-14,-0.364758048665343,0.989,1,1.79252709077384e-09
"8","Atp5l",2.64542755113824e-23,-0.297509757371627,0.99,0.989,5.16149369502583e-19,"blue",4.38767677872153e-12,-0.380103363179468,0.989,1,8.56079616296358e-08,4.38767677872153e-12,-0.380103363179468,0.989,1,8.56079616296358e-08
"9","Atp5md",8.44994403746729e-27,-0.304676530027284,0.997,1,1.64866858115024e-22,"blue",6.86842579252107e-18,-0.404750761985198,0.986,1,1.34009855637879e-13,6.86842579252107e-18,-0.404750761985198,0.986,1,1.34009855637879e-13
"10","Atp5mpl",3.64801064299535e-24,-0.342068314715593,0.965,0.993,7.11763356554823e-20,"blue",2.31437283654145e-19,-0.496833649868772,0.954,1,4.51557284137603e-15,2.31437283654145e-19,-0.496833649868772,0.954,1,4.51557284137603e-15
