"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AC149090.1",1.29926158092725e-12,0.632968903963961,0.626,0.375,2.53498927054715e-08
"2","Atp5e",1.08197332492687e-10,-0.303738894332698,0.996,1,2.11103815426482e-06
"3","Atp5g1",8.32341921285986e-08,-0.272042935911778,0.9,0.989,0.00162398232262109
"4","Atp5h",1.01306989245511e-09,-0.305376327064003,0.968,0.993,1.97660066716917e-05
"5","Atp5j",3.28652547293452e-11,-0.331780961782653,0.996,1,6.41233985024255e-07
"6","Atp5j2",1.82044129658828e-11,-0.330204287648284,0.982,1,3.55186301377339e-07
"7","Atp5k",9.18726406013964e-14,-0.364758048665343,0.989,1,1.79252709077384e-09
"8","Atp5l",4.38767677872153e-12,-0.380103363179468,0.989,1,8.56079616296358e-08
"9","Atp5md",6.86842579252107e-18,-0.404750761985198,0.986,1,1.34009855637879e-13
"10","Atp5mpl",2.31437283654145e-19,-0.496833649868772,0.954,1,4.51557284137603e-15
"11","Atpif1",3.9988409085285e-09,-0.293909941316695,0.972,1,7.80213849662996e-05
"12","Avp",1.18260688672799e-33,-0.671616882975338,0,0.418,2.30738429669497e-29
"13","Bcas1",6.74900481625629e-09,-0.480700909465363,0.388,0.589,0.000131679832969977
"14","Car2",1.00987232865533e-07,-0.366951664036379,0.299,0.525,0.00197036190043941
"15","Churc1",2.72030303823987e-08,-0.283586253973585,0.174,0.393,0.000530758325790982
"16","Cox17",4.52959875409502e-07,-0.29619208527935,0.762,0.864,0.00883770012911479
"17","Cox4i1",2.71303004180252e-07,-0.195104962301833,1,1,0.00529339291456089
"18","Cox5a",6.23241200421751e-07,-0.275438629748,0.932,0.993,0.0121600590614288
"19","Cox5b",4.12222571920242e-09,-0.285151612910131,0.996,1,8.04287460073583e-05
"20","Cox6c",1.69220557510246e-17,-0.34140741421091,1,1,3.30166229758241e-13
"21","Cox7a2",2.25083875903741e-12,-0.360300308827955,0.982,0.993,4.39161150275789e-08
"22","Cox7c",1.17730805158613e-18,-0.421213881754614,0.989,1,2.2970457394497e-14
"23","Cox8a",7.71965762507827e-19,-0.414129058492285,1,1,1.50618239922902e-14
"24","Cpe",1.3163532401311e-08,0.225234923090854,1,1,0.000256833680681978
"25","Cplx2",1.17887947684985e-07,0.695785215493522,0.719,0.668,0.00230011174728174
"26","Cst3",1.16623684533692e-11,-0.247625797431215,1,1,2.27544470893686e-07
"27","Ctsd",1.33057526220037e-10,0.46113684934047,0.883,0.804,2.59608539407915e-06
"28","Dbi",2.17880640529436e-07,-0.295710892865898,0.875,0.961,0.00425106917736984
"29","Ddx3y",1.40361263445418e-18,-0.366572009942205,0,0.243,2.73858861108355e-14
"30","Dynll2",1.43221661321858e-10,0.368742089336583,0.964,0.882,2.79439783405078e-06
"31","Eif1",3.14210452991118e-07,-0.237783078615534,0.989,0.993,0.0061305601483097
"32","Eif2s3y",4.5269435656377e-16,-0.309508835633295,0,0.211,8.83251959091572e-12
"33","Elob",1.77459686930917e-10,-0.336110725123512,0.979,1,3.46241595170913e-06
"34","Fau",1.67319925075427e-15,-0.368203012748819,1,1,3.26457905814666e-11
"35","Frmpd4",2.16105609300903e-09,-0.290323995068154,0.125,0.346,4.21643654306992e-05
"36","Ftl1",7.87959230779067e-10,-0.317585329254831,0.865,0.957,1.53738725517304e-05
"37","Gm11808",6.88669570081623e-07,-0.273481740969681,0.171,0.364,0.0134366319818625
"38","Gpx4",5.15170411202158e-07,-0.219268108628807,0.989,1,0.0100514898929653
"39","Hba-a1",7.10917827433076e-12,-0.745711134122361,0.228,0.507,1.38707177310467e-07
"40","Hba-a2",5.59173544972604e-10,-0.515881218975389,0.196,0.454,1.09100350359605e-05
"41","Hbb-bs",9.31706318975971e-18,-0.997386859641525,0.651,0.882,1.81785219895402e-13
"42","Hbb-bt",8.60680609052351e-12,-0.350005508495248,0.071,0.304,1.67927393632204e-07
"43","Hcrt",7.07715779445802e-21,-0.41763860799235,0.004,0.282,1.3808242572767e-16
"44","Hint1",1.93490458367768e-09,-0.326533981490731,0.929,0.986,3.77519233321353e-05
"45","Micos10",1.66929330347985e-06,-0.262558636608593,0.744,0.882,0.0325695816441953
"46","Mobp",4.04651359104684e-12,-0.487395882651058,0.751,0.875,7.89515266749148e-08
"47","Mt1",8.41433337374081e-20,-0.489681071883504,0.986,1,1.64172058455057e-15
"48","Ndufa1",1.31499639596038e-11,-0.415854877152013,0.733,0.9,2.5656894681583e-07
"49","Ndufa12",2.42655705565275e-06,-0.274972435694478,0.854,0.95,0.0473445547128407
"50","Ndufa13",6.85331304746557e-14,-0.407885503786418,0.972,0.996,1.33714990869101e-09
"51","Ndufa3",9.3748966977181e-08,-0.295593166690154,0.932,0.986,0.00182913609469178
"52","Ndufa4",1.43514359010148e-24,-0.474564104263678,1,1,2.800108658647e-20
"53","Ndufa5",2.51957858350951e-19,-0.492192047470192,0.89,0.982,4.9159497742854e-15
"54","Ndufa6",1.68778782134183e-08,-0.322664296640541,0.883,0.975,0.000329304281822004
"55","Ndufa7",9.90903332395102e-08,-0.275004844005392,0.811,0.921,0.00193335149183608
"56","Ndufb1-ps",1.22035645993489e-12,-0.381135301309034,0.943,1,2.38103748897896e-08
"57","Ndufb4",1.87340922970283e-17,-0.493152871057829,0.858,0.982,3.65520874807319e-13
"58","Ndufb9",7.66815032660538e-16,-0.423216991064169,0.947,0.989,1.49613281022398e-11
"59","Ndufs5",3.89848227919174e-10,-0.349811097694273,0.911,0.975,7.606328774931e-06
"60","Oxt",2.50805418903686e-22,-0.436596765696235,0.007,0.307,4.89346452822982e-18
"61","Pam16",1.34431129165121e-06,-0.242393683339521,0.267,0.493,0.0262288576114067
"62","Pfdn2",9.87976488300195e-11,-0.431116280235959,0.374,0.632,1.92764092632251e-06
"63","Pfdn5",6.20921686517752e-07,-0.240771551769101,0.94,0.964,0.0121148030256479
"64","Pmch",3.15762312004123e-11,-0.343169901727966,0.06,0.268,6.16083846951244e-07
"65","Ppia",1.35914658741998e-25,-0.407885191990591,1,1,2.65183090671513e-21
