Gene,Cluster 1,Cluster 7,Cluster 13
Adcy1,0.22771881,0.379742484,0
Adcyap1,0.359517559,0,0
Agt,-0.240621899,-0.405452437,0
App,0.234051152,0,0
Arc,0,0,-0.627929151
Atp2a2,0.315253741,0.408881973,0
Atp2b2,0.344650233,0.47815735,0
Baiap3,0,-0.269369242,0
Calb1,0,-0.360281806,0
Camk2a,0.408717618,0.538496272,0
Camkv,0.218573459,0,0
Car2,0,0.267587324,-0.366951664
Cbln2,0,0.271893879,0
Cfl1,-0.157556365,-0.245575396,0
Clstn1,0.358905786,0.340544153,0
Cnih2,-0.196607044,0,0
Cplx1,0,0.330791371,0.695785215
Cplx2,0,0.302073282,0
Dbi,-0.501072615,-0.472020525,-0.295710893
Dgkz,0,0.330972017,0
Dlgap1,0,0.272930645,0
Dnm1,0.276861387,0,0
Dnm1l,0,0.235832685,0
Dtnbp1,-0.144629753,0,0
Egr1,-0.146033174,0,-0.506817189
Epha4,0,0.209896584,0
Frrs1l,0,0.269658729,0
Gabbr1,0.219268209,0,0
Gfap,0,0.351334112,0
Glul,0.235485619,0.355372876,0
Gnai2,-0.23176349,0,0
Gnal,0,0.209936348,0
Gria2,0.348328563,0.34592326,0
Gria3,0,0.248463027,0
Grm2,0,0.153522972,0
Hap1,0,-0.380639521,0
Hcrt,-1.605369218,-2.765703276,-0.417638608
Htr2c,0,0.342232478,0
Kalrn,0,0.302670214,0
Kcnq2,0,0.281219404,0
Lnpep,0,0.221044738,0
Lzts1,0,0.135689024,0
Mapk1,0.26976704,0.469982243,0
Mctp1,0,0.134506642,0
Mef2c,0,0.313660997,0
Ncan,0,0.185173829,0
Ncdn,0.210593961,0,0
Nisch,0,-0.194870046,0
Nptn,0.338787242,0.464754776,0
Nptxr,0.349205703,0.288558738,0
Nrgn,0.392737697,0.354617646,0
Nrn1,0,0.270513414,0
Nrxn1,0,0.271454499,0
Nsmf,0,0.387424161,0
Oxt,-1.951060065,-3.82676862,-0.436596766
Pafah1b1,0,0.256335824,0
Pclo,0.258934279,0,0
Phf24,0,0.341920782,0
Pmch,-1.662463426,-2.129667408,-0.343169902
Ppp1r9a,0,0.227760967,0
Ppp3ca,0.46654181,0.501820726,0
Ppp3r1,0.273098011,0.443412144,0
Prkar1b,0.191346164,0,0
Prkcb,0.3545726,0.339917925,0
Prkcg,0,0.210062334,0
Ptk2b,0,0.229977863,0
Ptn,0.235183372,0.341197285,0
Ptpn5,0,0.289883614,0
Ptprs,0,0.264179347,0
Rac1,0,0.242155534,0
Rapgef4,0,0.312244552,0
Rasgrf1,0,-0.257318697,0
Rgs4,0,0.371193129,0
Rtn4,0.315712973,0.577789661,0
Serpine2,0,0.277197947,0
Shank1,0,0.247809416,0
Slc24a2,0.354496653,0,0
Slc38a2,0,0.27343193,0
Snap25,0.474443749,0.450984232,0.213031797
Snca,0.267132416,0.355747266,0
Sv2b,0,0.304864161,0
Syn1,0.207346956,0,0
Syngr1,0,0.242167518,0
Synpr,0,0.327324477,0
Syp,0.192106296,0,0
Syt1,0.214262821,0.445558784,0
Tac1,0,0.276409975,0
Unc13c,0,0.232943321,0
Ywhag,0.291632418,0.208785703,0
Ywhah,0.201470038,0,0
