,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color
Avp,4.16E-68,-3.932217142,0.003,0.589,8.12E-64,Avp,blue
Oxt,2.05E-51,-3.82676862,0.006,0.48,4.00E-47,Oxt,blue
Hcrt,4.54E-27,-2.765703276,0.008,0.29,8.85E-23,Hcrt,blue
Pmch,1.29E-13,-2.129667408,0.221,0.422,2.53E-09,Pmch,blue
Hbb-bs,3.41E-20,-1.439764121,0.532,0.793,6.65E-16,Hbb-bs,blue
Hba-a1,9.20E-12,-1.3103222,0.283,0.507,1.80E-07,Hba-a1,blue
Hba-a2,3.31E-11,-1.121671973,0.249,0.465,6.46E-07,Hba-a2,blue
Tmsb4x,2.87E-97,-0.926152239,1,1,5.59E-93,Tmsb4x,blue
Rpl10,6.46E-47,-0.782280122,0.905,0.978,1.26E-42,Rpl10,blue
Gal,2.09E-18,-0.769693692,0.056,0.29,4.08E-14,Gal,blue
Hbb-bt,1.07E-06,-0.763961865,0.157,0.293,0.02083058,Hbb-bt,blue
Rps28,1.19E-62,-0.725691412,0.994,0.994,2.33E-58,Rps28,blue
Trh,5.01E-15,-0.721421498,0.048,0.243,9.77E-11,Trh,blue
Rpl22l1,4.18E-45,-0.691550098,0.966,0.996,8.16E-41,Rpl22l1,blue
Rpl9,2.50E-54,-0.686018009,0.997,0.994,4.87E-50,Rpl9,blue
Resp18,4.44E-25,-0.675988683,0.955,0.976,8.66E-21,Resp18,blue
Rpl36a,8.37E-41,-0.660750939,0.902,0.974,1.63E-36,Rpl36a,blue
Rps10,2.48E-56,-0.658881732,0.975,0.993,4.83E-52,Rps10,blue
Tmsb10,1.12E-48,-0.656623933,0.989,0.998,2.19E-44,Tmsb10,blue
Rpl35a,4.88E-61,-0.63967592,1,1,9.51E-57,Rpl35a,blue
Rps29,2.90E-62,-0.635828343,1,1,5.65E-58,Rps29,blue
Rpl35,1.46E-46,-0.629253969,0.964,0.993,2.84E-42,Rpl35,blue
Rps21,3.03E-70,-0.628639569,1,1,5.91E-66,Rps21,blue
Rps27,1.60E-46,-0.616880095,0.992,1,3.12E-42,Rps27,blue
