,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Nrgn,0,1.33174615,0.999,0.922,0,1,Nrgn
Egr1,0,1.123418524,0.896,0.457,0,1,Egr1
Lamp5,0,1.061645971,0.77,0.274,0,1,Lamp5
Cabp1,0,0.992469516,0.844,0.328,0,1,Cabp1
Atp1a1,0,0.962310103,0.96,0.76,0,1,Atp1a1
Camk2n1,0,0.926969808,0.998,0.962,0,1,Camk2n1
Snap25,0,0.926167245,1,0.997,0,1,Snap25
Mef2c,0,0.912528466,0.904,0.455,0,1,Mef2c
Scn1b,0,0.895569941,0.99,0.901,0,1,Scn1b
1110008P14Rik,0,0.865799208,0.968,0.816,0,1,1110008P14Rik
Arc,0,0.813754606,0.631,0.235,0,1,Arc
Gabra1,0,0.807039823,0.932,0.725,0,1,Gabra1
Vxn,0,0.770471773,0.785,0.309,0,1,Vxn
Osbpl1a,0,0.764333245,0.884,0.496,0,1,Osbpl1a
Ier5,0,0.720996538,0.732,0.267,0,1,Ier5
Stx1a,0,0.712489407,0.794,0.328,0,1,Stx1a
Lmo4,0,0.708718157,0.813,0.392,0,1,Lmo4
Serpini1,0,0.683913699,0.844,0.451,0,1,Serpini1
Lingo1,0,0.68105987,0.89,0.554,0,1,Lingo1
Kcnab3,0,0.675112737,0.542,0.154,0,1,Kcnab3
Homer1,0,0.671263362,0.775,0.339,0,1,Homer1
Satb1,0,0.668101924,0.638,0.168,0,1,Satb1
Dlgap1,0,0.667277922,0.866,0.517,0,1,Dlgap1
Vsnl1,0,0.654275518,0.999,0.942,0,1,Vsnl1
Pvalb,6.09E-296,0.644687021,0.777,0.454,1.19E-291,1,Pvalb
Npy,9.12E-193,0.63531292,0.702,0.412,1.78E-188,1,Npy
Atp2b2,0,0.63377377,0.938,0.781,0,1,Atp2b2
Chn1,0,0.630536262,0.995,0.904,0,1,Chn1
Kalrn,0,0.623987177,0.828,0.421,0,1,Kalrn
Nrsn1,2.80E-304,0.620408174,0.888,0.686,5.47E-300,1,Nrsn1
Ccl27a,0,0.619425222,0.782,0.367,0,1,Ccl27a
Slc17a7,0,0.612424258,0.981,0.788,0,1,Slc17a7
Pak1,0,0.611735372,0.914,0.711,0,1,Pak1
Egr3,0,0.606941223,0.714,0.307,0,1,Egr3
Cacnb4,0,0.60612212,0.738,0.316,0,1,Cacnb4
Dclk1,0,0.600466449,0.936,0.745,0,1,Dclk1
Camk2g,0,0.596311034,0.817,0.406,0,1,Camk2g
Ppp3ca,0,0.594572846,0.997,0.942,0,1,Ppp3ca
Cck,0,0.593100863,0.994,0.899,0,1,Cck
Efhd2,0,0.583647046,0.832,0.524,0,1,Efhd2
Nat8l,0,0.57665639,0.846,0.54,0,1,Nat8l
Ngef,0,0.576070453,0.833,0.481,0,1,Ngef
Mical2,0,0.575556901,0.71,0.272,0,1,Mical2
Camkk2,0,0.573928616,0.697,0.283,0,1,Camkk2
Tbr1,0,0.569934287,0.642,0.21,0,1,Tbr1
Syt1,0,0.566835784,0.994,0.938,0,1,Syt1
R3hdm1,0,0.558919236,0.741,0.357,0,1,R3hdm1
Ttc9b,4.19E-288,0.553962221,0.856,0.55,8.17E-284,1,Ttc9b
Igfbp6,0,0.553708075,0.617,0.218,0,1,Igfbp6
Ephx4,0,0.542674836,0.634,0.216,0,1,Ephx4
Rbfox3,0,0.53571357,0.741,0.382,0,1,Rbfox3
Rgs4,2.34E-200,0.528980003,0.844,0.641,4.57E-196,1,Rgs4
Nr4a1,0,0.526860434,0.542,0.218,0,1,Nr4a1
Sorl1,0,0.526199698,0.719,0.348,0,1,Sorl1
Prkcb,4.94E-297,0.525999993,0.92,0.732,9.63E-293,1,Prkcb
Dkk3,2.91E-302,0.524125246,0.641,0.293,5.67E-298,1,Dkk3
Bhlhe40,0,0.518590476,0.628,0.266,0,1,Bhlhe40
Phf24,0,0.516578267,0.825,0.463,0,1,Phf24
Basp1,8.16E-282,0.508824575,0.967,0.866,1.59E-277,1,Basp1
Pip5k1c,0,0.508370889,0.784,0.432,0,1,Pip5k1c
Olfm1,0,0.505383531,0.994,0.923,0,1,Olfm1
Clstn1,0,0.505278313,0.996,0.962,0,1,Clstn1
Sncb,0,0.502110404,0.976,0.901,0,1,Sncb
Stmn1,0,0.497040479,0.998,0.972,0,1,Stmn1
Mal2,0,0.493464036,0.722,0.349,0,1,Mal2
Plcxd2,0,0.493290905,0.507,0.179,0,1,Plcxd2
Gm11549,0,0.493012513,0.498,0.112,0,1,Gm11549
Sst,4.77E-54,0.490460997,0.723,0.627,9.32E-50,1,Sst
Zfp365,2.21E-268,0.48967867,0.871,0.592,4.32E-264,1,Zfp365
Dusp14,0,0.489087237,0.617,0.254,0,1,Dusp14
Arpp19,5.67E-295,0.489063177,0.947,0.8,1.11E-290,1,Arpp19
Nudt4,8.09E-273,0.488357694,0.755,0.409,1.58E-268,1,Nudt4
