"","Gene","G","Symbol","Name","Chr","Qualifier","Annotated.Term","Context","Proteoform","Evidence","Inferred.From","Reference.s."
"1","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic ribosome","",NA,"ISO","P63220 ","J:164563 "
"2","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000047682 ","J:265628 "
"3","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"4","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621038 ","J:155856 "
"5","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"ISO","P63220 ","J:164563 "
"6","Rps21","MGI:1913731","Rps21","ribosomal protein S21","2","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"7","Rpl41","MGI:1915195","Rpl41","ribosomal protein L41","10","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"8","Rpl41","MGI:1915195","Rpl41","ribosomal protein L41","10","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"9","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000244187 ","J:265628 "
"10","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"11","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"ISO","L31610 ","J:35064 "
"12","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:3596 ","J:155856 "
"13","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"ISO","P62273 ","J:164563 "
"14","Rps29","MGI:107681","Rps29","ribosomal protein S29","12","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"15","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000080571 ","J:265628 "
"16","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"17","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621046 ","J:155856 "
"18","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"ISO","P62857 ","J:164563 "
"19","Rps28","MGI:1859516","Rps28","ribosomal protein S28","17","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"20","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000080456 ","J:265628 "
"21","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:621204 ","J:155856 "
"22","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic large ribosomal subunit","",NA,"ISO","P61927 ","J:164563 "
"23","Rpl37","MGI:1914531","Rpl37","ribosomal protein L37","15","","cytosolic ribosome","",NA,"ISO","P61927 ","J:164563 "
"24","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000183647 ","J:265628 "
"25","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IDA","","J:49488 "
"26","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"27","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"28","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62049 ","J:155856 "
"29","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic large ribosomal subunit","",NA,"ISO","P32969 ","J:164563 "
"30","Rpl9","MGI:1298373","Rpl9","ribosomal protein L9","5","","cytosolic ribosome","",NA,"ISO","P32969 ","J:164563 "
"31","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000096770 ","J:265628 "
"32","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"33","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"34","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic large ribosomal subunit","",NA,"ISO","P18077 ","J:164563 "
"35","Rpl35a","MGI:1928894","Rpl35a","ribosomal protein L35A","16","","cytosolic ribosome","",NA,"ISO","P18077 ","J:164563 "
"36","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000103359 ","J:265628 "
"37","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"38","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"39","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1305573 ","J:155856 "
"40","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic large ribosomal subunit","",NA,"ISO","P63173 ","J:164563 "
"41","Rpl38","MGI:1914921","Rpl38","ribosomal protein L38","11","","cytosolic ribosome","",NA,"ISO","P63173 ","J:164563 "
"42","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000283756 ","J:265628 "
"43","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"44","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621044 ","J:155856 "
"45","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"ISO","P62854 ","J:164563 "
"46","Rps26","MGI:1351628","Rps26","ribosomal protein S26","10","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"47","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic ribosome","",NA,"ISO","P62847 ","J:164563 "
"48","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"49","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621040 ","J:155856 "
"50","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"ISO","NM_033022 ","J:1948 "
"51","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"ISO","P62847 ","J:164563 "
"52","Rps24","MGI:98147","Rps24","ribosomal protein S24","14","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"53","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000356124 ","J:265628 "
"54","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1303007 ","J:155856 "
"55","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic large ribosomal subunit","",NA,"ISO","P42766 ","J:164563 "
"56","Rpl35","MGI:1913739","Rpl35","ribosomal protein L35","2","","cytosolic ribosome","",NA,"ISO","P42766 ","J:164563 "
"57","Rps12","MGI:98105","Rps12","ribosomal protein S12","10","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62024 ","J:155856 "
"58","Rps12","MGI:98105","Rps12","ribosomal protein S12","10","","cytosolic ribosome","",NA,"ISO","P25398 ","J:164563 "
"59","Rps12","MGI:98105","Rps12","ribosomal protein S12","10","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000217533 ","J:265628 "
"60","Rps12","MGI:98105","Rps12","ribosomal protein S12","10","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:62024 ","J:155856 "
"61","Rps12","MGI:98105","Rps12","ribosomal protein S12","10","","cytosolic small ribosomal subunit","",NA,"ISO","P25398 ","J:164563 "
"62","Rps12","MGI:98105","Rps12","ribosomal protein S12","10","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"63","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"IBA","PTN001463935 ","J:265628 "
"64","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"65","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"66","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:68390 ","J:155856 "
"67","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic large ribosomal subunit","",NA,"ISO","P46778 ","J:164563 "
"68","Rpl21","MGI:1278340","Rpl21","ribosomal protein L21","5","","cytosolic ribosome","",NA,"ISO","P46778 ","J:164563 "
"69","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic ribosome","",NA,"ISO","P46783 ","J:164563 "
"70","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000254423 ","J:265628 "
"71","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"72","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621024 ","J:155856 "
"73","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"ISO","P46783 ","J:164563 "
"74","Rps10","MGI:1914347","Rps10","ribosomal protein S10","17","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"75","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic ribosome","",NA,"ISO","P42677 ","J:164563 "
"76","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000174285 ","J:265628 "
"77","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"78","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621045 ","J:155856 "
"79","Rps27","MGI:1888676","Rps27","ribosomal protein S27","3","","cytosolic small ribosomal subunit","",NA,"ISO","P42677 ","J:164563 "
"80","Rplp1","MGI:1927099","Rplp1","ribosomal protein, large, P1","9","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000474938 ","J:265628 "
"81","Rplp1","MGI:1927099","Rplp1","ribosomal protein, large, P1","9","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"82","Rplp1","MGI:1927099","Rplp1","ribosomal protein, large, P1","9","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:621774 ","J:155856 "
"83","Rplp1","MGI:1927099","Rplp1","ribosomal protein, large, P1","9","","cytosolic large ribosomal subunit","",NA,"ISO","P05386 ","J:164563 "
"84","Rplp1","MGI:1927099","Rplp1","ribosomal protein, large, P1","9","","cytosolic ribosome","",NA,"ISO","P05386 ","J:164563 "
"85","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000205184 ","J:265628 "
"86","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"87","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"88","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62067 ","J:155856 "
"89","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic large ribosomal subunit","",NA,"ISO","P62829 ","J:164563 "
"90","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic ribosome","",NA,"ISO","X52839 ","J:66696 "
"91","Rpl23","MGI:1929455","Rpl23","ribosomal protein L23","11","","cytosolic ribosome","",NA,"ISO","P62829 ","J:164563 "
"92","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic ribosome","",NA,"ISO","P62979 ","J:164563 "
"93","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:620240 ","J:155856 "
"94","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:6489478 ","J:155856 "
"95","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"ISO","P62979 ","J:164563 "
"96","Rps27a","MGI:1925544","Rps27a","ribosomal protein S27A","11","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"97","Fau","MGI:102547","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","19","","cytosolic ribosome","",NA,"ISO","P62861 ","J:164563 "
"98","Fau","MGI:102547","Fau","FAU ubiquitin like and ribosomal protein S30 fusion","19","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
