X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,MGI.Gene.Marker.ID,Symbol,Name,Chr,Qualifier,Annotated.Term,Context,Proteoform,Evidence,Inferred.From,Reference.s.
Adcy1,6.27E-07,0.22771881,0.356,0.241,0.012235154,Adcy1,MGI:99677,Adcy1,adenylate cyclase 1,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:57343 
Adcy1,6.27E-07,0.22771881,0.356,0.241,0.012235154,Adcy1,MGI:99677,Adcy1,adenylate cyclase 1,11,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:57343 
Adcy1,6.27E-07,0.22771881,0.356,0.241,0.012235154,Adcy1,MGI:99677,Adcy1,adenylate cyclase 1,11,,positive regulation of long-term synaptic potentiation,,,IMP,,J:57343 
Adcy1,6.27E-07,0.22771881,0.356,0.241,0.012235154,Adcy1,MGI:99677,Adcy1,adenylate cyclase 1,11,,presynaptic modulation of chemical synaptic transmission,"happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:47002 
Adcy1,6.27E-07,0.22771881,0.356,0.241,0.012235154,Adcy1,MGI:99677,Adcy1,adenylate cyclase 1,11,,presynaptic modulation of chemical synaptic transmission,"happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:47002 
Adcyap1,2.52E-14,0.359517559,0.279,0.12,4.92E-10,Adcyap1,MGI:105094,Adcyap1,adenylate cyclase activating polypeptide 1,17,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2037 ,J:155856 
Agt,8.72E-08,-0.240621899,0.571,0.708,0.001701028,Agt,MGI:87963,Agt,angiotensinogen,8,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2069 ,J:155856 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,long-term synaptic potentiation,,,TAS,,J:239203 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,modulation of excitatory postsynaptic potential,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,negative regulation of long-term synaptic potentiation,,,IDA,,J:314379 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,negative regulation of long-term synaptic potentiation,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,negative regulation of long-term synaptic potentiation,,,NAS,,J:145956 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of excitatory postsynaptic potential,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of long-term synaptic depression,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of long-term synaptic depression,,,NAS,,J:145956 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,positive regulation of long-term synaptic potentiation,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,regulation of acetylcholine-gated cation channel activity,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,regulation of long-term neuronal synaptic plasticity,,,ISO,P05067 ,J:164563 
App,1.47E-10,0.234051152,0.993,0.979,2.87E-06,App,MGI:88059,App,amyloid beta precursor protein,16,,regulation of spontaneous synaptic transmission,,,ISO,P05067 ,J:164563 
Atp2a2,3.90E-15,0.315253741,0.967,0.893,7.60E-11,Atp2a2,MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,regulation of calcium ion-dependent exocytosis of neurotransmitter,happens in hippocampus,,IMP,,J:166977 
Atp2b2,6.16E-13,0.344650233,0.696,0.549,1.20E-08,Atp2b2,MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,regulation of synaptic plasticity,,,IMP,MGI:1857876 ,J:121220 
Camk2a,6.64E-20,0.408717618,0.649,0.428,1.30E-15,Camk2a,MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18,,regulation of neuronal synaptic plasticity,happens in hippocampus,,IMP,,J:126092 
Camk2a,6.64E-20,0.408717618,0.649,0.428,1.30E-15,Camk2a,MGI:88256,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,18,,regulation of neurotransmitter secretion,,,IMP,MGI:2655688 ,J:82744 
Camkv,2.31E-06,0.218573459,0.538,0.421,0.044988967,Camkv,MGI:2384296,Camkv,CaM kinase-like vesicle-associated,9,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:242635 
Camkv,2.31E-06,0.218573459,0.538,0.421,0.044988967,Camkv,MGI:2384296,Camkv,CaM kinase-like vesicle-associated,9,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:242635 
Cfl1,1.43E-08,-0.157556365,0.993,0.996,0.000278136,Cfl1,MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,modulation of chemical synaptic transmission,,,ISO,RGD:69285 ,J:155856 
Cfl1,1.43E-08,-0.157556365,0.993,0.996,0.000278136,Cfl1,MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,positive regulation of synaptic plasticity,,,ISO,RGD:69285 ,J:155856 
Clstn1,5.44E-19,0.358905786,0.976,0.908,1.06E-14,Clstn1,MGI:1929895,Clstn1,calsyntenin 1,4,,positive regulation of synaptic transmission,,,IBA,PTN001020450 ,J:265628 
Clstn1,5.44E-19,0.358905786,0.976,0.908,1.06E-14,Clstn1,MGI:1929895,Clstn1,calsyntenin 1,4,,positive regulation of synaptic transmission,,,IGI,MGI:1929897 ,J:211830 
Clstn1,5.44E-19,0.358905786,0.976,0.908,1.06E-14,Clstn1,MGI:1929895,Clstn1,calsyntenin 1,4,,positive regulation of synaptic transmission,,,IGI,MGI:2178323 ,J:211830 
Cnih2,7.41E-08,-0.196607044,0.482,0.639,0.001444829,Cnih2,MGI:1277225,Cnih2,cornichon family AMPA receptor auxiliary protein 2,19,,regulation of postsynaptic neurotransmitter receptor activity,,,ISO,RGD:1304930 ,J:155856 
Dbi,2.40E-34,-0.501072615,0.981,0.996,4.68E-30,Dbi,MGI:94865,Dbi,diazepam binding inhibitor,1,,long-term synaptic potentiation,,,IDA,,J:123254 
Dbi,2.40E-34,-0.501072615,0.981,0.996,4.68E-30,Dbi,MGI:94865,Dbi,diazepam binding inhibitor,1,,"regulation of synaptic transmission, GABAergic",,,ISO,P11030 ,J:73065 
Dnm1,1.86E-14,0.276861387,0.99,0.977,3.63E-10,Dnm1,MGI:107384,Dnm1,dynamin 1,2,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:263390 
Dnm1,1.86E-14,0.276861387,0.99,0.977,3.63E-10,Dnm1,MGI:107384,Dnm1,dynamin 1,2,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:263390 
Dtnbp1,2.29E-06,-0.144629753,0.218,0.344,0.044658916,Dtnbp1,MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization,,,ISO,RGD:1590759 ,J:155856 
Dtnbp1,2.29E-06,-0.144629753,0.218,0.344,0.044658916,Dtnbp1,MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,positive regulation of neurotransmitter secretion,,,IMP,,J:137024 
Dtnbp1,2.29E-06,-0.144629753,0.218,0.344,0.044658916,Dtnbp1,MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,regulation of synaptic vesicle exocytosis,,,IBA,PTN002702071 ,J:265628 
Dtnbp1,2.29E-06,-0.144629753,0.218,0.344,0.044658916,Dtnbp1,MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,regulation of synaptic vesicle exocytosis,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:137024 
Dtnbp1,2.29E-06,-0.144629753,0.218,0.344,0.044658916,Dtnbp1,MGI:2137586,Dtnbp1,dystrobrevin binding protein 1,13,,regulation of synaptic vesicle exocytosis,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IMP,,J:137024 
Egr1,4.90E-07,-0.146033174,0.108,0.216,0.009553215,Egr1,MGI:95295,Egr1,early growth response 1,18,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2544 ,J:155856 
Gabbr1,3.13E-08,0.219268209,0.913,0.841,0.0006101,Gabbr1,MGI:1860139,Gabbr1,gamma-aminobutyric acid type B receptor subunit 1,17,,negative regulation of synaptic transmission,,,ISO,RGD:621537 ,J:155856 
Glul,6.44E-07,0.235485619,0.958,0.929,0.012569365,Glul,MGI:95739,Glul,glutamate-ammonia ligase,1,,"positive regulation of synaptic transmission, glutamatergic",,,ISO,RGD:2710 ,J:155856 
Gnai2,8.53E-08,-0.23176349,0.464,0.617,0.001663782,Gnai2,MGI:95772,Gnai2,G protein subunit alpha i2,9,,negative regulation of synaptic transmission,,,ISO,RGD:620243 ,J:155856 
Gria2,1.08E-11,0.348328563,0.567,0.429,2.11E-07,Gria2,MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,modulation of chemical synaptic transmission,,,IBA,PTN001826301 ,J:265628 
Gria2,1.08E-11,0.348328563,0.567,0.429,2.11E-07,Gria2,MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,positive regulation of synaptic transmission,,,ISO,RGD:61862 ,J:155856 
Gria2,1.08E-11,0.348328563,0.567,0.429,2.11E-07,Gria2,MGI:95809,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",3,,"regulation of synaptic transmission, glutamatergic",,,ISO,RGD:61862 ,J:155856 
Hcrt,2.58E-32,-1.605369218,0.005,0.227,5.03E-28,Hcrt,MGI:1202306,Hcrt,hypocretin,11,,regulation of neurotransmitter secretion,,,IBA,PTN002689309 ,J:265628 
Hcrt,2.58E-32,-1.605369218,0.005,0.227,5.03E-28,Hcrt,MGI:1202306,Hcrt,hypocretin,11,,regulation of neurotransmitter secretion,,,ISO,RGD:2786 ,J:155856 
Mapk1,1.98E-09,0.26976704,0.714,0.579,3.86E-05,Mapk1,MGI:1346858,Mapk1,mitogen-activated protein kinase 1,16,,long-term synaptic potentiation,,,IGI,MGI:95820 ,J:163089 
Ncdn,1.00E-07,0.210593961,0.99,0.972,0.001956395,Ncdn,MGI:1347351,Ncdn,neurochondrin,4,,regulation of neuronal synaptic plasticity,,,IBA,PTN000992123 ,J:265628 
Ncdn,1.00E-07,0.210593961,0.99,0.972,0.001956395,Ncdn,MGI:1347351,Ncdn,neurochondrin,4,,regulation of neuronal synaptic plasticity,,,ISO,RGD:621734 ,J:155856 
Nptn,3.12E-16,0.338787242,0.934,0.853,6.10E-12,Nptn,MGI:108077,Nptn,neuroplastin,9,,long-term synaptic potentiation,,,ISO,RGD:620296 ,J:155856 
