,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color,MGI.Gene.Marker.ID,Symbol,Name,Chr,Qualifier,Annotated.Term,Context,Proteoform,Evidence,Inferred.From,Reference.s.
34,Adcy1,5.86E-18,0.379742484,0.426,0.166,1.14E-13,Adcy1,red,MGI:99677,Adcy1,adenylate cyclase 1,11,,modulation of chemical synaptic transmission,"happens in glutamatergic synapse,happens in hippocampal formation,happens in Schaffer collateral - CA1 synapse",,IDA,,J:57343 
35,Adcy1,5.86E-18,0.379742484,0.426,0.166,1.14E-13,Adcy1,red,MGI:99677,Adcy1,adenylate cyclase 1,11,,modulation of chemical synaptic transmission,"happens in Schaffer collateral - CA1 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:57343 
36,Adcy1,5.86E-18,0.379742484,0.426,0.166,1.14E-13,Adcy1,red,MGI:99677,Adcy1,adenylate cyclase 1,11,,positive regulation of long-term synaptic potentiation,,,IMP,,J:57343 
37,Adcy1,5.86E-18,0.379742484,0.426,0.166,1.14E-13,Adcy1,red,MGI:99677,Adcy1,adenylate cyclase 1,11,,presynaptic modulation of chemical synaptic transmission,"happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IDA,,J:47002 
38,Adcy1,5.86E-18,0.379742484,0.426,0.166,1.14E-13,Adcy1,red,MGI:99677,Adcy1,adenylate cyclase 1,11,,presynaptic modulation of chemical synaptic transmission,"happens in hippocampal mossy fiber to CA3 synapse,happens in glutamatergic synapse,happens in hippocampal formation",,IMP,,J:47002 
172,Agt,4.81E-11,-0.405452437,0.697,0.832,9.38E-07,Agt,blue,MGI:87963,Agt,angiotensinogen,8,,regulation of long-term neuronal synaptic plasticity,,,ISO,RGD:2069 ,J:155856 
32,Atp2a2,1.49E-17,0.408881973,0.944,0.847,2.92E-13,Atp2a2,red,MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,regulation of calcium ion-dependent exocytosis of neurotransmitter,happens in hippocampus,,IMP,,J:166977 
14,Atp2b2,8.38E-18,0.47815735,0.664,0.413,1.63E-13,Atp2b2,red,MGI:105368,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",6,,regulation of synaptic plasticity,,,IMP,MGI:1857876 ,J:121220 
163,Baiap3,3.10E-07,-0.269369242,0.577,0.736,0.006051157,Baiap3,blue,MGI:2685783,Baiap3,BAI1-associated protein 3,17,,modulation of chemical synaptic transmission,"happens in GABA-ergic synapse,happens in hippocampal formation",,IDA,,J:221234 
164,Baiap3,3.10E-07,-0.269369242,0.577,0.736,0.006051157,Baiap3,blue,MGI:2685783,Baiap3,BAI1-associated protein 3,17,,modulation of chemical synaptic transmission,"happens in GABA-ergic synapse,happens in hippocampal formation",,IMP,,J:221234 
