clusters,sample,cell.no,sample.total,ratio,groups,avg,sem
0,XXO_NTG_E4_1,425,1236,0.343851133,XXO_NTG_E4,0.339362126,0.009277493
1,XXO_NTG_E4_1,404,1236,0.326860841,XXO_NTG_E4,0.3352074,0.004262897
2,XXO_NTG_E4_1,216,1236,0.174757282,XXO_NTG_E4,0.174104116,0.001952498
3,XXO_NTG_E4_1,176,1236,0.142394822,XXO_NTG_E4,0.135997086,0.007430312
4,XXO_NTG_E4_1,14,1236,0.011326861,XXO_NTG_E4,0.011978195,0.003138852
5,XXO_NTG_E4_1,1,1236,0.000809061,XXO_NTG_E4,0.003351078,0.002270973
0,XXO_NTG_E4_2,236,734,0.321525886,XXO_NTG_E4,0.339362126,0.009277493
1,XXO_NTG_E4_2,248,734,0.337874659,XXO_NTG_E4,0.3352074,0.004262897
2,XXO_NTG_E4_2,130,734,0.177111717,XXO_NTG_E4,0.174104116,0.001952498
3,XXO_NTG_E4_2,106,734,0.144414169,XXO_NTG_E4,0.135997086,0.007430312
4,XXO_NTG_E4_2,13,734,0.017711172,XXO_NTG_E4,0.011978195,0.003138852
5,XXO_NTG_E4_2,1,734,0.001362398,XXO_NTG_E4,0.003351078,0.002270973
0,XXO_NTG_E4_3,358,1015,0.35270936,XXO_NTG_E4,0.339362126,0.009277493
1,XXO_NTG_E4_3,346,1015,0.3408867,XXO_NTG_E4,0.3352074,0.004262897
2,XXO_NTG_E4_3,173,1015,0.17044335,XXO_NTG_E4,0.174104116,0.001952498
3,XXO_NTG_E4_3,123,1015,0.121182266,XXO_NTG_E4,0.135997086,0.007430312
4,XXO_NTG_E4_3,7,1015,0.006896552,XXO_NTG_E4,0.011978195,0.003138852
5,XXO_NTG_E4_3,8,1015,0.007881773,XXO_NTG_E4,0.003351078,0.002270973
0,XXO_P301S_E4_1,425,1246,0.341091493,XXO_P301S_E4,0.335640375,0.005112156
1,XXO_P301S_E4_1,359,1246,0.28812199,XXO_P301S_E4,0.307339056,0.010200395
2,XXO_P301S_E4_1,338,1246,0.271268058,XXO_P301S_E4,0.226929034,0.034634085
3,XXO_P301S_E4_1,94,1246,0.075441413,XXO_P301S_E4,0.106601054,0.022148036
4,XXO_P301S_E4_1,20,1246,0.016051364,XXO_P301S_E4,0.017482754,0.001406299
5,XXO_P301S_E4_1,10,1246,0.008025682,XXO_P301S_E4,0.006007727,0.002157887
0,XXO_P301S_E4_2,369,1084,0.340405904,XXO_P301S_E4,0.335640375,0.005112156
1,XXO_P301S_E4_2,350,1084,0.322878229,XXO_P301S_E4,0.307339056,0.010200395
2,XXO_P301S_E4_2,172,1084,0.158671587,XXO_P301S_E4,0.226929034,0.034634085
3,XXO_P301S_E4_2,162,1084,0.149446494,XXO_P301S_E4,0.106601054,0.022148036
4,XXO_P301S_E4_2,22,1084,0.020295203,XXO_P301S_E4,0.017482754,0.001406299
5,XXO_P301S_E4_2,9,1084,0.008302583,XXO_P301S_E4,0.006007727,0.002157887
0,XXO_P301S_E4_3,384,1180,0.325423729,XXO_P301S_E4,0.335640375,0.005112156
1,XXO_P301S_E4_3,367,1180,0.311016949,XXO_P301S_E4,0.307339056,0.010200395
2,XXO_P301S_E4_3,296,1180,0.250847458,XXO_P301S_E4,0.226929034,0.034634085
3,XXO_P301S_E4_3,112,1180,0.094915254,XXO_P301S_E4,0.106601054,0.022148036
4,XXO_P301S_E4_3,19,1180,0.016101695,XXO_P301S_E4,0.017482754,0.001406299
5,XXO_P301S_E4_3,2,1180,0.001694915,XXO_P301S_E4,0.006007727,0.002157887
0,XYO_NTG_E4_1,576,1286,0.447900467,XYO_NTG_E4,0.403043446,0.0233544
1,XYO_NTG_E4_1,421,1286,0.327371695,XYO_NTG_E4,0.348309949,0.010878538
2,XYO_NTG_E4_1,121,1286,0.094090202,XYO_NTG_E4,0.109509491,0.012846463
3,XYO_NTG_E4_1,145,1286,0.112752722,XYO_NTG_E4,0.125963561,0.007034578
4,XYO_NTG_E4_1,22,1286,0.017107309,XYO_NTG_E4,0.011399771,0.004458313
5,XYO_NTG_E4_1,1,1286,0.000777605,XYO_NTG_E4,0.001773782,0.000535665
0,XYO_NTG_E4_2,424,1148,0.369337979,XYO_NTG_E4,0.403043446,0.0233544
1,XYO_NTG_E4_2,406,1148,0.353658537,XYO_NTG_E4,0.348309949,0.010878538
2,XYO_NTG_E4_2,155,1148,0.135017422,XYO_NTG_E4,0.109509491,0.012846463
3,XYO_NTG_E4_2,157,1148,0.136759582,XYO_NTG_E4,0.125963561,0.007034578
4,XYO_NTG_E4_2,3,1148,0.00261324,XYO_NTG_E4,0.011399771,0.004458313
5,XYO_NTG_E4_2,3,1148,0.00261324,XYO_NTG_E4,0.001773782,0.000535665
0,XYO_NTG_E4_3,406,1036,0.391891892,XYO_NTG_E4,0.403043446,0.0233544
1,XYO_NTG_E4_3,377,1036,0.363899614,XYO_NTG_E4,0.348309949,0.010878538
2,XYO_NTG_E4_3,103,1036,0.099420849,XYO_NTG_E4,0.109509491,0.012846463
3,XYO_NTG_E4_3,133,1036,0.128378378,XYO_NTG_E4,0.125963561,0.007034578
4,XYO_NTG_E4_3,15,1036,0.014478764,XYO_NTG_E4,0.011399771,0.004458313
5,XYO_NTG_E4_3,2,1036,0.001930502,XYO_NTG_E4,0.001773782,0.000535665
0,XYO_P301S_E4_2,410,1091,0.375802016,XYO_P301S_E4,0.353485867,0.011704319
1,XYO_P301S_E4_2,336,1091,0.307974335,XYO_P301S_E4,0.313772423,0.011645405
2,XYO_P301S_E4_2,176,1091,0.16131989,XYO_P301S_E4,0.165517186,0.005601357
3,XYO_P301S_E4_2,128,1091,0.117323556,XYO_P301S_E4,0.129060668,0.005914736
4,XYO_P301S_E4_2,15,1091,0.013748854,XYO_P301S_E4,0.022683656,0.004996337
5,XYO_P301S_E4_2,26,1091,0.023831347,XYO_P301S_E4,0.015480199,0.004306021
0,XYO_P301S_E4_3,390,1160,0.336206897,XYO_P301S_E4,0.353485867,0.011704319
1,XYO_P301S_E4_3,390,1160,0.336206897,XYO_P301S_E4,0.313772423,0.011645405
2,XYO_P301S_E4_3,184,1160,0.15862069,XYO_P301S_E4,0.165517186,0.005601357
3,XYO_P301S_E4_3,158,1160,0.136206897,XYO_P301S_E4,0.129060668,0.005914736
4,XYO_P301S_E4_3,27,1160,0.023275862,XYO_P301S_E4,0.022683656,0.004996337
5,XYO_P301S_E4_3,11,1160,0.009482759,XYO_P301S_E4,0.015480199,0.004306021
0,XYO_P301S_E4_4,292,838,0.348448687,XYO_P301S_E4,0.353485867,0.011704319
1,XYO_P301S_E4_4,249,838,0.297136038,XYO_P301S_E4,0.313772423,0.011645405
2,XYO_P301S_E4_4,148,838,0.176610979,XYO_P301S_E4,0.165517186,0.005601357
3,XYO_P301S_E4_4,112,838,0.133651551,XYO_P301S_E4,0.129060668,0.005914736
4,XYO_P301S_E4_4,26,838,0.031026253,XYO_P301S_E4,0.022683656,0.004996337
5,XYO_P301S_E4_4,11,838,0.013126492,XYO_P301S_E4,0.015480199,0.004306021
0,XXT_NTG_E4_1,240,740,0.324324324,XXT_NTG_E4,0.352987471,0.014334155
1,XXT_NTG_E4_1,243,740,0.328378378,XXT_NTG_E4,0.319464616,0.005521203
2,XXT_NTG_E4_1,162,740,0.218918919,XXT_NTG_E4,0.185468902,0.016784803
3,XXT_NTG_E4_1,87,740,0.117567568,XXT_NTG_E4,0.126484961,0.007939539
4,XXT_NTG_E4_1,8,740,0.010810811,XXT_NTG_E4,0.011024355,0.000386971
5,XXT_NTG_E4_1,0,740,0,XXT_NTG_E4,0.004569695,0.002905676
0,XXT_NTG_E4_2,405,1104,0.366847826,XXT_NTG_E4,0.352987471,0.014334155
1,XXT_NTG_E4_2,354,1104,0.320652174,XXT_NTG_E4,0.319464616,0.005521203
2,XXT_NTG_E4_2,189,1104,0.171195652,XXT_NTG_E4,0.185468902,0.016784803
3,XXT_NTG_E4_2,132,1104,0.119565217,XXT_NTG_E4,0.126484961,0.007939539
4,XXT_NTG_E4_2,13,1104,0.011775362,XXT_NTG_E4,0.011024355,0.000386971
5,XXT_NTG_E4_2,11,1104,0.009963768,XXT_NTG_E4,0.004569695,0.002905676
0,XXT_NTG_E4_3,491,1335,0.367790262,XXT_NTG_E4,0.352987471,0.014334155
1,XXT_NTG_E4_3,413,1335,0.309363296,XXT_NTG_E4,0.319464616,0.005521203
2,XXT_NTG_E4_3,222,1335,0.166292135,XXT_NTG_E4,0.185468902,0.016784803
3,XXT_NTG_E4_3,190,1335,0.142322097,XXT_NTG_E4,0.126484961,0.007939539
4,XXT_NTG_E4_3,14,1335,0.010486891,XXT_NTG_E4,0.011024355,0.000386971
5,XXT_NTG_E4_3,5,1335,0.003745318,XXT_NTG_E4,0.004569695,0.002905676
0,XXT_P301S_E4_1,416,1261,0.329896907,XXT_P301S_E4,0.325196955,0.00400932
1,XXT_P301S_E4_1,404,1261,0.32038065,XXT_P301S_E4,0.326353915,0.017103525
2,XXT_P301S_E4_1,210,1261,0.166534496,XXT_P301S_E4,0.177556494,0.0232146
3,XXT_P301S_E4_1,178,1261,0.141157811,XXT_P301S_E4,0.132269188,0.01087443
4,XXT_P301S_E4_1,42,1261,0.033306899,XXT_P301S_E4,0.025684075,0.00388344
5,XXT_P301S_E4_1,11,1261,0.008723236,XXT_P301S_E4,0.012939373,0.002714795
0,XXT_P301S_E4_2,383,1166,0.328473413,XXT_P301S_E4,0.325196955,0.00400932
1,XXT_P301S_E4_2,350,1166,0.300171527,XXT_P301S_E4,0.326353915,0.017103525
2,XXT_P301S_E4_2,259,1166,0.22212693,XXT_P301S_E4,0.177556494,0.0232146
3,XXT_P301S_E4_2,129,1166,0.110634648,XXT_P301S_E4,0.132269188,0.01087443
4,XXT_P301S_E4_2,24,1166,0.02058319,XXT_P301S_E4,0.025684075,0.00388344
5,XXT_P301S_E4_2,21,1166,0.018010292,XXT_P301S_E4,0.012939373,0.002714795
0,XXT_P301S_E4_4,315,993,0.317220544,XXT_P301S_E4,0.325196955,0.00400932
1,XXT_P301S_E4_4,356,993,0.358509567,XXT_P301S_E4,0.326353915,0.017103525
2,XXT_P301S_E4_4,143,993,0.144008056,XXT_P301S_E4,0.177556494,0.0232146
3,XXT_P301S_E4_4,144,993,0.145015106,XXT_P301S_E4,0.132269188,0.01087443
4,XXT_P301S_E4_4,23,993,0.023162135,XXT_P301S_E4,0.025684075,0.00388344
5,XXT_P301S_E4_4,12,993,0.012084592,XXT_P301S_E4,0.012939373,0.002714795
0,XYT_NTG_E4_1,262,712,0.367977528,XYT_NTG_E4,0.336433577,0.018314952
1,XYT_NTG_E4_1,244,712,0.342696629,XYT_NTG_E4,0.316566489,0.01569805
2,XYT_NTG_E4_1,87,712,0.122191011,XYT_NTG_E4,0.201026322,0.039483334
3,XYT_NTG_E4_1,109,712,0.153089888,XYT_NTG_E4,0.132654521,0.010616542
4,XYT_NTG_E4_1,8,712,0.011235955,XYT_NTG_E4,0.010727143,0.000503968
5,XYT_NTG_E4_1,2,712,0.002808989,XYT_NTG_E4,0.002591948,0.00044994
0,XYT_NTG_E4_2,282,926,0.304535637,XYT_NTG_E4,0.336433577,0.018314952
1,XYT_NTG_E4_2,295,926,0.318574514,XYT_NTG_E4,0.316566489,0.01569805
2,XYT_NTG_E4_2,219,926,0.23650108,XYT_NTG_E4,0.201026322,0.039483334
3,XYT_NTG_E4_2,118,926,0.127429806,XYT_NTG_E4,0.132654521,0.010616542
4,XYT_NTG_E4_2,9,926,0.009719222,XYT_NTG_E4,0.010727143,0.000503968
5,XYT_NTG_E4_2,3,926,0.003239741,XYT_NTG_E4,0.002591948,0.00044994
0,XYT_NTG_E4_3,390,1158,0.336787565,XYT_NTG_E4,0.336433577,0.018314952
1,XYT_NTG_E4_3,334,1158,0.288428325,XYT_NTG_E4,0.316566489,0.01569805
2,XYT_NTG_E4_3,283,1158,0.244386874,XYT_NTG_E4,0.201026322,0.039483334
3,XYT_NTG_E4_3,136,1158,0.117443869,XYT_NTG_E4,0.132654521,0.010616542
4,XYT_NTG_E4_3,13,1158,0.011226252,XYT_NTG_E4,0.010727143,0.000503968
5,XYT_NTG_E4_3,2,1158,0.001727116,XYT_NTG_E4,0.002591948,0.00044994
0,XYT_P301S_E4_1,361,1136,0.31778169,XYT_P301S_E4,0.314595946,0.00703066
