,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
mt-Cytb,0,-1.046301784,0.084,0.265,0,1,mt-Cytb
mt-Co2,0,-1.195845747,0.12,0.323,0,1,mt-Co2
mt-Co1,0,-1.241322277,0.161,0.363,0,1,mt-Co1
mt-Atp6,0,-1.284502858,0.142,0.342,0,1,mt-Atp6
Kirrel3,0,-1.285380808,0.488,0.642,0,1,Kirrel3
mt-Co3,0,-1.417355329,0.163,0.367,0,1,mt-Co3
Anln,1.35E-254,0.305934881,0.666,0.456,3.63E-250,1,Anln
4930420G21Rik,1.17E-176,0.501201735,0.63,0.453,3.13E-172,1,4930420G21Rik
Lama2,1.80E-140,0.521967552,0.502,0.346,4.82E-136,1,Lama2
9330111N05Rik,1.35E-131,0.897481474,0.331,0.207,3.62E-127,1,9330111N05Rik
Spock3,9.98E-121,0.290971265,0.734,0.589,2.68E-116,1,Spock3
Abca8a,6.50E-107,0.413033573,0.52,0.382,1.74E-102,1,Abca8a
Grm7,7.27E-107,0.532376342,0.641,0.525,1.95E-102,1,Grm7
Ctnna3,4.52E-106,0.269778284,0.889,0.796,1.21E-101,1,Ctnna3
A330049N07Rik,7.02E-97,0.32729352,0.608,0.473,1.88E-92,1,A330049N07Rik
Prr5l,3.78E-96,0.175198309,0.988,0.963,1.01E-91,1,Prr5l
Dgki,4.36E-96,0.226170615,0.903,0.818,1.17E-91,1,Dgki
St6galnac3,9.20E-93,0.192140638,0.979,0.947,2.47E-88,1,St6galnac3
Gm44866,1.66E-90,0.42865298,0.339,0.223,4.45E-86,1,Gm44866
C030029H02Rik,3.56E-78,0.2331518,0.762,0.654,9.56E-74,1,C030029H02Rik
Plekha1,3.51E-75,-0.375789753,0.52,0.583,9.43E-71,1,Plekha1
Ppp1cc,3.34E-73,0.373864711,0.42,0.313,8.97E-69,1,Ppp1cc
Ctnna2,3.64E-67,0.146390857,0.797,0.699,9.76E-63,1,Ctnna2
Bfsp2,1.16E-64,-0.469421825,0.175,0.257,3.11E-60,1,Bfsp2
Apod,2.16E-64,0.120494736,0.743,0.64,5.81E-60,1,Apod
Trf,1.72E-63,0.163713181,0.925,0.868,4.62E-59,1,Trf
Lrp1b,4.13E-61,0.126559876,0.996,0.987,1.11E-56,1,Lrp1b
Rnf220,1.37E-58,0.182388986,0.943,0.899,3.67E-54,1,Rnf220
Ptgds,1.13E-57,-0.356682697,0.692,0.698,3.02E-53,1,Ptgds
Plcl1,1.51E-57,0.14565364,0.997,0.99,4.05E-53,1,Plcl1
Grm3,4.67E-51,0.171169069,0.932,0.896,1.25E-46,1,Grm3
Slc24a2,4.41E-49,0.104558296,0.998,0.996,1.18E-44,1,Slc24a2
Tmem117,9.53E-49,0.220687207,0.419,0.328,2.56E-44,1,Tmem117
Zdhhc20,1.76E-48,0.201070716,0.766,0.688,4.71E-44,1,Zdhhc20
Neat1,5.13E-48,0.119923285,0.951,0.907,1.38E-43,1,Neat1
Sez6l2,2.90E-46,0.23625511,0.574,0.483,7.78E-42,1,Sez6l2
Lrrtm3,4.79E-46,0.278513358,0.52,0.431,1.28E-41,1,Lrrtm3
Prickle1,7.39E-46,-0.356019777,0.42,0.469,1.98E-41,1,Prickle1
7-Sep,8.11E-46,0.169654686,0.892,0.842,2.18E-41,1,7-Sep
Adipor2,2.06E-44,0.230621032,0.768,0.708,5.52E-40,1,Adipor2
1-Mar,4.10E-42,0.191747921,0.821,0.759,1.10E-37,1,1-Mar
Nav2,4.25E-38,-0.405962723,0.286,0.345,1.14E-33,1,Nav2
Otud7a,1.24E-37,0.18766422,0.709,0.634,3.34E-33,1,Otud7a
