gene,OL4,DAO
Abca8a,-0.831350112,-0.278451739
Abtb2,0.447277567,-0.568331534
Adamtsl1,-0.301587732,0.290661887
Adgrv1,-0.605673463,-0.283242214
Agmo,-0.58379522,-1.705779003
Alcam,0.660045537,-0.659352647
Aldh1a1,-0.112773191,-0.510803966
Arhgap15,-0.226192368,0.304319268
Aspa,-0.992190071,-0.220640758
Astn2,0.747401418,1.613290777
Atp10b,-0.115470956,-0.759481647
Cachd1,0.152097121,0.78265981
Cadps2,-0.214854307,0.639042236
Camk2d,0.444908445,0.568941641
Cdh10,-0.627510871,-0.686861629
Cdh19,-0.675444612,-0.240133882
Cntn3,-0.107874225,-0.760366709
Cobl,-0.544052705,-0.341993371
Col9a3,-0.141187517,-0.29119453
Cpq,-0.118858154,1.126576342
Cux2,0.160870545,-0.360552899
Daam2,-1.003715898,-0.415711708
Dock5,-0.473954152,-0.306585922
Efr3b,-0.235787621,-0.7321611
Elmo1,-0.811069032,-0.153065536
Enpp2,-0.5222062,-0.209342398
Enpp6,-0.16678859,-1.179991452
Epb41l2,0.204258884,-0.323622066
Epb41l4a,0.450325364,-0.70875012
Ermn,-0.408848031,-0.150696139
Eya4,0.32494006,0.597898213
Fgd6,0.17480195,-0.60929376
Fgf1,-0.255939311,-0.628010494
Fign,0.54547552,0.151208555
Gfra1,1.355488878,1.163058237
Gjc3,-0.622414498,-0.246154649
Glul,-0.533676026,-0.260455968
Grik1,-0.14875469,-1.484639244
Grik3,1.013009028,1.821172753
Hhip,-0.266099582,-0.212626056
Il33,-0.222789505,0.319395109
Kcnk2,0.163994066,0.793005902
Lama2,-0.269759781,-0.677733701
Lpar1,-0.132596283,-0.227079162
Luzp2,-0.331962646,-0.56082871
Lypd6,-0.20355218,0.52076296
Lypd6b,-0.236772662,-0.701977105
Matn2,0.193160508,-0.632270226
Meis2,0.388425294,0.608832801
Mob3b,-0.52277458,-0.321245817
Mobp,-0.569161104,-0.22934604
Mog,-1.500683767,-0.241000483
Myo1e,1.134912919,-0.330702994
Myof,0.45774989,1.954562762
Ndrg2,-0.236474615,-1.090245817
Parm1,-0.124786912,-0.255528841
Pbx3,0.361147707,-0.666805447
Pcdh7,0.187894724,1.538909122
Pde10a,0.326490655,0.397388125
Pde4b,-0.486085229,0.132967658
Pid1,0.193326805,0.857472824
Plcb4,-0.201335687,0.272524653
Plp1,-1.102373458,-0.246877607
Plpp3,0.145946451,0.517728394
Plxdc2,-0.340918907,-0.144795631
Prr5l,-1.301186989,-0.245568946
Prrg1,-0.373097824,-0.728534217
Rdh5,0.411566774,0.458670405
Rgs20,1.573463496,1.727772806
Rhoj,0.387261746,1.821411762
Robo1,-0.854731518,-0.641697762
Runx1,1.155947322,3.160221018
Sema6a,0.492393758,-0.290453926
Shc4,-0.107197478,0.42444993
Shroom3,-0.237495257,-0.486983255
Slc6a1,-0.58037819,-0.402584714
Sorcs1,-0.255230921,-0.272025236
Spock3,-0.49336749,-0.807075227
Srgap1,0.223456352,0.37345771
Sulf2,0.202041588,0.48495598
Svil,0.167752967,-0.328492673
Tenm4,1.564319876,-1.049987116
Tgfbr1,0.166246266,0.300204289
Thsd4,-0.65855205,-1.147252762
Thsd7a,0.349487826,-0.755863885
Tmem132d,-0.510711215,-0.338700518
Tns3,-0.287254089,-0.174722167
Ugt8a,-0.391298371,-0.349567269
Unc5d,-0.231093789,-1.66564387
Wnt5b,-0.12322636,-0.658644539
Zfp462,0.338327384,-0.438487473
