"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","LogFC","FDR"
"1","Abca8a",2.15252435667034e-102,-0.831350112276905,1,0.865,2.27306572064388e-99,"Abca8a",-0.278451739,0.007892735
"2","Abtb2",1.45481445060933e-17,0.447277567375354,0.658,0.661,1.53628405984345e-14,"Abtb2",-0.568331534,8.41e-05
"3","Adamtsl1",1.36486860157676e-73,-0.301587732318842,0.939,0.823,1.44130124326506e-70,"Adamtsl1",0.290661887,7.18e-07
"4","Adgrv1",3.20074369701595e-158,-0.605673463440117,0.991,0.751,3.37998534404884e-155,"Adgrv1",-0.283242214,0.00205387
"5","Agmo",5.34004820851999e-94,-0.583795219805523,0.872,0.683,5.63909090819711e-91,"Agmo",-1.705779003,1.49e-21
"6","Alcam",1.44742180649791e-64,0.660045537391692,0.889,0.701,1.52847742766179e-61,"Alcam",-0.659352647,1.07e-09
"7","Aldh1a1",1.54256895272517e-121,-0.112773191008428,0.961,0.725,1.62895281407778e-118,"Aldh1a1",-0.510803966,0.011188235
"8","Arhgap15",3.09784599141476e-21,-0.226192368393891,0.437,0.565,3.27132536693399e-18,"Arhgap15",0.304319268,0.029180724
"9","Aspa",3.14186889865587e-114,-0.992190070934424,0.999,0.951,3.3178135569806e-111,"Aspa",-0.220640758,0.011225876
"10","Astn2",4.0991336131675e-33,0.747401417542979,0.56,0.431,4.32868509550488e-30,"Astn2",1.613290777,3.77e-06
"11","Atp10b",3.78702255845129e-36,-0.115470956337405,0.783,0.636,3.99909582172456e-33,"Atp10b",-0.759481647,3.29e-12
"12","Cachd1",9.26817413366878e-55,0.152097120570409,0.79,0.585,9.78719188515424e-52,"Cachd1",0.78265981,0.014028736
"13","Cadps2",5.91457028775056e-44,-0.214854307191222,0.295,0.486,6.2457862238646e-41,"Cadps2",0.639042236,9.32e-07
"14","Camk2d",1.37950783690902e-151,0.444908444541906,0.329,0.509,1.45676027577592e-148,"Camk2d",0.568941641,4.34e-07
"15","Cdh10",3.16760444471276e-90,-0.627510870922752,0.817,0.73,3.34499029361667e-87,"Cdh10",-0.686861629,1.54e-11
"16","Cdh19",2.98466919011131e-75,-0.675444611503715,0.985,0.89,3.15181066475755e-72,"Cdh19",-0.240133882,0.003566894
"17","Cntn3",8.3580665914159e-13,-0.107874224742972,0.562,0.502,8.82611832053519e-10,"Cntn3",-0.760366709,0.00018296
"18","Cobl",7.53435482044455e-128,-0.54405270464584,0.966,0.774,7.95627869038944e-125,"Cobl",-0.341993371,0.000270186
"19","Col9a3",4.95593319087065e-35,-0.141187516663385,0.787,0.646,5.2334654495594e-32,"Col9a3",-0.29119453,0.02202789
"20","Cpq",1.1223611703357e-16,-0.118858153563791,0.603,0.491,1.1852133958745e-13,"Cpq",1.126576342,1.81e-05
"21","Cux2",1.27683224306071e-169,0.160870545236853,0.972,0.671,1.34833484867211e-166,"Cux2",-0.360552899,0.016403604
"22","Daam2",4.54752501720082e-96,-1.00371589790625,0.996,0.951,4.80218641816407e-93,"Daam2",-0.415711708,1.18e-05
